Query fragment: [*:1]N([*:2])C([*:3])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]CN([*:2])C([*:3])=O","237 (#1)","68","143","26","0.35","0.00","14.03"
"[*:1]N([*:2])C[*:3]","236 (#2)","77","90","69","0.87","-17.07","-13.98"
"[*:1]N([*:2])S([*:3])(=O)=O","221 (#3)","53","116","52","-0.21","17.07","36.05"
"[*:1]N([*:3])[*:2]","198 (#4)","60","80","58","0.66","-17.07","-28.01"
"[*:1]N([*:2])C(=O)C[*:3]","189 (#5)","60","95","34","-0.02","0.00","14.02"
"[*:1]C([*:2])NC([*:3])=O","186 (#6)","41","105","40","0.55","8.79","14.02"
"[*:1]CN(C[*:2])C([*:3])=O","157 (#7)","43","90","24","0.72","0.00","28.05"
"[*:1]N(C[*:2])C([*:3])=O","150 (#8)","36","93","21","0.07","0.00","14.03"
"OC([*:1])([*:3])[*:2]","91 (#9)","25","51","15","0.94","-0.08","-13.00"
"CC([*:1])N([*:2])C([*:3])=O","91 (#10)","20","67","4","0.77","0.00","28.05"
"OC([*:3])C(=O)N([*:1])[*:2]","85 (#11)","3","72","10","-0.93","20.23","30.03"
"[*:1]N([*:2])C(=O)N[*:3]","76 (#12)","24","35","17","-0.43","12.03","15.01"
"[*:1]N([*:2])C(=O)CC[*:3]","63 (#13)","23","32","8","1.15","0.00","28.05"
"[*:1]C([*:3])[*:2]","58 (#14)","23","19","16","1.95","-20.31","-29.00"
"[*:1]OCCN([*:2])C([*:3])=O","57 (#15)","6","45","6","-0.04","9.23","44.06"
"[*:1]N(CC[*:2])C([*:3])=O","55 (#16)","21","26","8","0.87","0.00","28.05"
"[*:1]N([*:2])CCNC([*:3])=O","54 (#17)","16","25","13","-0.20","12.03","43.07"
"CN(C([*:1])[*:2])C([*:3])=O","54 (#18)","13","39","2","0.77","0.00","28.05"
"[*:1]N([*:2])C(=O)O[*:3]","52 (#19)","10","35","7","0.15","9.23","16.00"
"CC([*:1])([*:2])NC([*:3])=O","51 (#20)","5","22","6","0.83","8.79","28.05"
"[*:1]C(=O)N([*:3])[*:2]","44 (#21)","16","10","18","0.10","0.00","0.00"
"[*:1]CCN([*:2])C([*:3])=O","43 (#22)","18","17","8","0.88","0.00","28.05"
"[*:1]N([*:3])C([*:2])=O","42 (#23)","13","18","11","0.12","0.00","0.00"
"CC(C)([*:3])C(=O)N([*:1])[*:2]","39 (#24)","14","21","4","1.06","0.00","42.08"
"[*:1]C([*:2])OC([*:3])=O","38 (#25)","13","19","6","1.27","5.99","15.01"
"[*:1]C([*:2])O[*:3]","37 (#26)","8","20","9","1.31","-11.08","-13.00"
"CC([*:1])([*:3])[*:2]","35 (#27)","9","10","4","2.25","-20.31","-14.97"
"CC([*:1])N(C(C)[*:2])C([*:3])=O","34 (#28)","11","10","2","1.55","0.00","56.11"
"CC([*:1])([*:2])OC([*:3])=O","33 (#29)","8","7","5","1.56","5.99","29.04"
"[*:1]N(CCC[*:2])C([*:3])=O","31 (#30)","10","15","6","1.32","0.00","42.08"
"CC(C)N(C([*:1])[*:2])C([*:3])=O","31 (#31)","9","9","2","1.55","0.00","56.11"
