Query fragment: [*:1]N([*:2])S([*:3])(=O)=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]N([*:2])C([*:3])=O","221 (#1)","52","116","53","0.21","-17.07","-36.05"
"[*:1]C([*:2])S([*:3])(=O)=O","67 (#2)","9","45","13","1.04","-3.24","-0.99"
"[*:1]N(C[*:2])S([*:3])(=O)=O","62 (#3)","13","35","14","0.36","0.00","14.03"
"[*:1]N([*:2])S(=O)(=O)C[*:3]","61 (#4)","19","31","11","0.51","0.00","14.03"
"[*:1]CN([*:2])S([*:3])(=O)=O","57 (#5)","10","31","16","0.07","0.00","14.03"
"[*:1]N([*:3])[*:2]","51 (#6)","13","24","14","1.06","-34.14","-64.06"
"CC([*:2])N([*:1])S([*:3])(=O)=O","41 (#7)","9","20","12","0.78","0.00","28.06"
"CN([*:3])S(=O)(=O)N([*:1])[*:2]","40 (#8)","4","18","0","-0.01","3.24","29.05"
"[*:1]P([*:3])([*:2])=O","39 (#9)","1","19","19","0.20","-20.31","-31.09"
"CC([*:3])C(=O)N([*:1])[*:2]","30 (#10)","8","14","8","1.75","-17.07","-8.00"
"[*:1]N(CC[*:2])S([*:3])(=O)=O","30 (#11)","6","16","8","0.88","0.00","28.05"
"[*:1]N([*:2])C(=O)O[*:3]","25 (#12)","6","15","4","0.97","-7.84","-20.06"
"[*:1]N([*:2])C(=O)C[*:3]","24 (#13)","8","11","5","1.20","-17.07","-22.02"
"[*:1]N([*:3])S([*:2])(=O)=O","24 (#14)","7","10","7","0.00","0.00","0.00"
"[*:1]N([*:2])C[*:3]","23 (#15)","7","11","5","1.87","-34.14","-50.03"
"[*:1]N([*:2])C(=O)N[*:3]","20 (#16)","3","13","4","0.29","-5.04","-21.04"
"CN([*:3])C(=O)N([*:1])[*:2]","20 (#17)","0","11","2","0.62","-13.83","-7.01"
"[*:1]N([*:2])C(=O)OC[*:3]","19 (#18)","8","10","1","1.48","-7.84","-6.03"
"[*:1]CN(C[*:2])S([*:3])(=O)=O","18 (#19)","3","13","2","0.71","0.00","28.05"
"CC(C)([*:3])C(=O)N([*:1])[*:2]","17 (#20)","2","15","0","2.31","-17.07","6.02"
