Query fragment: N[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"O[*:1]","4213 (#1)","1136","2229","848","0.71","-5.79","0.98"
"CN[*:1]","2570 (#2)","519","1547","504","0.43","-13.99","14.03"
"CN(C)[*:1]","2377 (#3)","464","1268","645","0.82","-22.78","28.06"
"C[*:1]","2077 (#4)","527","1117","433","1.53","-26.02","-0.99"
"CC(=O)N[*:1]","1888 (#5)","483","907","498","0.06","3.08","42.04"
"CO[*:1]","1830 (#6)","470","961","399","0.67","-16.79","15.01"
"[O-][N+]([*:1])=O","1314 (#7)","320","666","328","0.76","17.12","29.99"
"Cl[*:1]","1159 (#8)","429","521","209","1.43","-26.02","19.43"
"F[*:1]","1123 (#9)","397","558","168","0.98","-26.02","2.97"
"CC(C)(C)OC(=O)N[*:1]","757 (#10)","207","375","175","1.49","12.31","100.12"
"CS(=O)(=O)N[*:1]","753 (#11)","158","402","193","-0.68","20.15","78.09"
"NC[*:1]","653 (#12)","130","410","113","-0.27","0.00","14.03"
"CCN[*:1]","621 (#13)","133","334","154","0.63","-13.99","28.06"
"[*:1]N1CCOCC1","609 (#14)","136","326","147","0.32","-13.55","70.10"
"[*:1]C#N","577 (#15)","133","282","162","0.69","-2.23","9.99"
"FC(F)(F)[*:1]","564 (#16)","159","231","174","1.71","-26.02","52.98"
"OC[*:1]","544 (#17)","140","302","102","0.06","-5.79","15.01"
"OC([*:1])=O","543 (#18)","120","265","158","0.97","11.28","29.00"
"[*:1]N1CCCC1","541 (#19)","142","288","111","0.94","-22.78","54.10"
"CC(C)N[*:1]","527 (#20)","155","272","100","1.21","-13.99","42.08"
"[*:1]NCc1ccccc1","518 (#21)","149","202","167","2.02","-13.99","90.12"
"Br[*:1]","513 (#22)","227","219","67","1.60","-26.02","63.88"
"[*:1]NC(=O)c1ccccc1","435 (#23)","185","147","103","1.67","3.08","104.11"
"NC([*:1])=O","427 (#24)","120","203","104","-0.30","17.07","28.01"
"Nc1ccc(cc1)S(=O)(=O)N[*:1]","380 (#25)","315","62","3","0.90","46.17","155.18"
"NC(=N)N[*:1]","364 (#26)","137","179","48","-0.19","35.88","42.04"
"[*:1]c1ccccc1","342 (#27)","110","146","86","2.48","-26.02","61.08"
"[*:1]N1CCCCC1","342 (#28)","108","162","72","1.39","-22.78","68.12"
"CCN([*:1])CC","310 (#29)","58","160","92","1.25","-22.78","56.11"
"OCCN[*:1]","260 (#30)","30","154","76","-0.39","6.24","44.06"
"COC([*:1])=O","255 (#31)","64","120","71","0.83","0.28","43.02"
"[*:1]NC1CCCC1","237 (#32)","134","68","35","1.79","-13.99","68.12"
"CN1CCN([*:1])CC1","237 (#33)","55","127","55","0.39","-19.54","83.14"
"[*:1]Nc1ccccc1","234 (#34)","90","82","62","0.74","-13.99","76.10"
"CS([*:1])(=O)=O","228 (#35)","56","119","53","-0.33","8.12","63.08"
"CCC(=O)N[*:1]","224 (#36)","64","116","44","0.76","3.08","56.07"
"NCC[*:1]","221 (#37)","55","155","11","-0.06","0.00","28.05"
"CCO[*:1]","213 (#38)","71","76","66","1.03","-16.79","29.03"
"COC(=O)N[*:1]","212 (#39)","81","95","36","0.69","12.31","58.04"
"NCC(=O)N[*:1]","211 (#40)","55","132","24","-1.11","29.10","57.05"
"[*:1]NS(=O)(=O)c1ccccc1","208 (#41)","117","64","27","1.32","20.15","140.17"
"CS[*:1]","208 (#42)","76","76","56","1.67","-26.02","31.08"
"[*:1]OCc1ccccc1","208 (#43)","72","74","62","2.40","-16.79","91.11"
"[*:1]NC1CCCCC1","206 (#44)","82","72","52","2.10","-13.99","82.14"
"CCCN[*:1]","195 (#45)","52","89","54","1.18","-13.99","42.08"
"[*:1]NC(=O)Nc1ccccc1","193 (#46)","87","65","41","1.97","15.11","119.12"
"[*:1]NC1CC1","192 (#47)","45","105","42","0.77","-13.99","40.06"
"[*:1]NC(=O)Cc1ccccc1","191 (#48)","72","69","50","1.25","3.08","118.13"
"CC[*:1]","191 (#49)","57","75","59","1.06","-26.02","13.04"
"CCCC(=O)N[*:1]","189 (#50)","47","97","45","0.96","3.08","70.09"
"I[*:1]","182 (#51)","79","74","29","2.08","-26.02","110.88"
"CCNC(=O)N[*:1]","175 (#52)","82","64","29","0.07","15.11","71.08"
"NN[*:1]","174 (#53)","20","121","33","-0.23","12.03","15.02"
"[*:1]N1CCNCC1","170 (#54)","39","95","36","0.00","-10.75","69.11"
"[*:1]NC(=O)OCc1ccccc1","165 (#55)","57","78","30","2.17","12.31","134.13"
"COc1ccc(NC(=O)N[*:1])cc1","159 (#56)","64","35","60","1.81","24.34","149.15"
"FC(F)(F)CN[*:1]","157 (#57)","17","87","53","1.23","-13.99","82.02"
"CN(C)C[*:1]","153 (#58)","17","81","55","0.77","-22.78","42.08"
"CC([*:1])=O","151 (#59)","39","70","42","0.39","-8.95","27.03"
"CC(C)[*:1]","151 (#60)","36","60","55","1.61","-26.02","27.07"
"CNC(=O)N[*:1]","148 (#61)","53","73","22","-0.29","15.11","57.05"
"[*:1]N=[N+]=[N-]","145 (#62)","45","74","26","1.25","22.74","26.00"
"OCC[*:1]","144 (#63)","39","100","5","0.35","-5.79","29.04"
"CN(C)CC(=O)N[*:1]","129 (#64)","22","52","55","-0.29","6.32","85.10"
"NC(N)=N[*:1]","124 (#65)","41","74","9","-0.56","38.38","42.04"
"NCCN[*:1]","120 (#66)","26","57","37","-0.50","12.03","43.07"
"CNCC(=O)N[*:1]","119 (#67)","55","56","8","-0.68","15.11","71.08"
"[*:1]NC(=O)C1CC1","118 (#68)","39","55","24","0.60","3.08","68.08"
"FC(F)(F)C(=O)N[*:1]","118 (#69)","30","66","22","0.29","3.08","96.00"
"CC(C)CN[*:1]","117 (#70)","36","40","41","1.67","-13.99","56.11"
"[*:1]NCCc1ccccc1","117 (#71)","32","55","30","2.32","-13.99","104.16"
"NC(=O)N[*:1]","115 (#72)","33","51","31","-0.52","29.10","43.03"
"COCCN[*:1]","114 (#73)","20","53","41","0.26","-4.76","58.08"
"CC(C)C(=O)N[*:1]","113 (#74)","38","54","21","1.06","3.08","70.09"
"CN=C(N[*:1])NC#N","112 (#75)","34","19","59","0.15","34.19","81.08"
"[*:1]NC(=O)C=C","111 (#76)","54","37","20","0.82","3.08","54.04"
"CNC([*:1])=O","111 (#77)","27","54","30","0.32","3.08","42.04"
"[*:1]NCC1CC1","106 (#78)","48","42","16","1.08","-13.99","54.09"
"Nc1nccc(N[*:1])n1","105 (#79)","98","5","2","0.79","37.81","93.09"
"CCOC([*:1])=O","104 (#80)","30","56","18","1.01","0.28","57.05"
"OC1CCN([*:1])C1","103 (#81)","23","55","25","0.07","-2.55","70.09"
"CNC[*:1]","102 (#82)","37","53","12","0.00","0.00","-105.14"
"Nc1ccc(cc1)S(=O)(=O)NC[*:1]","100 (#83)","88","12","0","0.55","46.17","169.20"
"NS([*:1])(=O)=O","97 (#84)","35","46","16","-1.01","34.14","64.06"
"Nc1ccc(cc1)S(=O)(=O)NCC[*:1]","96 (#85)","85","11","0","0.84","46.17","183.23"
"Clc1cccc(NC(=O)N[*:1])c1","95 (#86)","60","8","27","2.58","15.11","153.57"
"CC(C)(C)C(=O)N[*:1]","93 (#87)","33","48","12","1.86","3.08","84.12"
"CC(C)(C)NC(=O)N[*:1]","90 (#88)","70","16","4","1.02","15.11","99.13"
"CCCN([*:1])CCC","88 (#89)","27","35","26","2.41","-22.78","84.16"
"Clc1c[nH]c2c(NS([*:1])(=O)=O)cccc12","87 (#90)","80","7","0","2.02","35.94","213.64"
"Fc1ccc(cc1)C(=O)N[*:1]","87 (#91)","36","34","17","2.06","3.08","122.10"
"[*:1]NC=O","87 (#92)","18","54","15","-0.23","3.08","28.01"
"CCCCN[*:1]","86 (#93)","24","36","26","1.63","-13.99","56.11"
"FC(F)(F)O[*:1]","85 (#94)","17","36","32","2.26","-16.79","68.99"
"OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CCN(CC(O)=O)CC(=O)N[*:1]","84 (#95)","66","18","0","-4.98","162.00","375.33"
"[*:1]Oc1ccccc1","83 (#96)","34","24","25","0.44","-16.79","77.08"
"CC(C)(C)[*:1]","83 (#97)","27","24","32","2.37","-26.02","41.09"
"NCCC(=O)N[*:1]","82 (#98)","48","23","11","-0.86","29.10","71.08"
"Cc1ccc(cc1)-c1cc(nn1[*:1])C(F)(F)F","81 (#99)","47","33","1","4.26","-8.20","209.17"
"[*:1]N1CCC1","81 (#100)","27","38","16","0.43","-22.78","40.07"
"CCOC(=O)N[*:1]","80 (#101)","30","30","20","1.04","12.31","72.06"
"Cc1onc(c1[*:1])-c1ccccc1","79 (#102)","46","31","2","3.07","0.01","142.16"
"CN([*:1])C(N)=N","79 (#103)","3","76","0","-0.17","27.09","56.07"
"OC(=O)CN[*:1]","74 (#104)","15","34","25","-2.74","23.31","58.03"
"[*:1]NC(=O)c1ccco1","73 (#105)","33","28","12","0.73","16.22","94.06"
"[*:1]C=O","73 (#106)","30","38","5","0.54","-8.95","12.99"
"CN([*:1])Cc1ccccc1","72 (#107)","29","18","25","2.66","-22.78","104.15"
"COc1ccc(CN[*:1])cc1","72 (#108)","23","25","24","1.87","-4.76","120.15"
"CN(C)C([*:1])=O","72 (#109)","19","34","19","0.13","-5.71","56.06"
"COC[*:1]","72 (#110)","17","35","20","0.70","-16.79","29.04"
"[*:1]NC1CCOCC1","71 (#111)","32","30","9","0.26","-4.76","84.12"
"[*:1]NC1CCC1","71 (#112)","25","31","15","1.19","-13.99","54.09"
"OC1CCN([*:1])CC1","71 (#113)","18","37","16","0.26","-2.55","84.12"
"S[*:1]","70 (#114)","22","25","23","0.36","-26.02","17.06"
"NC1CCN([*:1])C1","70 (#115)","16","49","5","-1.27","3.24","69.10"
"CN([*:1])C(C)=O","70 (#116)","13","20","37","0.05","-5.71","56.06"
"[*:1]NC(=O)c1cccnc1","69 (#117)","36","26","7","0.46","15.97","105.09"
"COc1ccc(cc1)C(=O)N[*:1]","69 (#118)","29","27","13","1.76","12.31","134.13"
"Fc1ccc(NC(=O)N[*:1])cc1","68 (#119)","38","19","11","2.27","15.11","137.12"
"COCC(=O)N[*:1]","68 (#120)","27","35","6","-0.11","12.31","72.06"
"[*:1]C1CC1","68 (#121)","21","27","20","1.14","-26.02","25.05"
"CC(=O)O[*:1]","67 (#122)","25","32","10","0.55","0.28","43.02"
"[*:1]N1CCCCS1(=O)=O","66 (#123)","63","3","0","-0.02","11.36","118.16"
"Ic1cccc(CN[*:1])c1","66 (#124)","28","33","5","2.96","-13.99","216.02"
"NC(=O)CN[*:1]","66 (#125)","21","35","10","-0.89","29.10","57.05"
"CN(C)CCN[*:1]","66 (#126)","15","26","25","0.32","-10.75","71.13"
"Clc1ccc(CN[*:1])cc1","65 (#127)","27","23","15","2.77","-13.99","124.57"
"[*:1]NCCCc1ccccc1","65 (#128)","21","27","17","2.76","-13.99","118.18"
"CCS(=O)(=O)N[*:1]","65 (#129)","16","25","24","-0.78","20.15","92.12"
"[*:1]N1CCCC1=O","65 (#130)","15","29","21","0.48","-5.71","68.08"
"[*:1]n1ccnc1","65 (#131)","14","31","20","0.70","-8.20","51.04"
"FC(F)CN[*:1]","65 (#132)","7","34","24","0.74","-13.99","64.04"
"NC1CCC(CC1)N[*:1]","64 (#133)","37","14","13","0.73","12.03","97.16"
"[*:1]NCc1cccnc1","63 (#134)","13","28","22","0.81","-1.10","91.11"
"CC(C)O[*:1]","62 (#135)","32","13","17","1.44","-16.79","43.06"
"[*:1]NCCN1CCOCC1","62 (#136)","10","39","13","0.10","-1.52","113.16"
"OCC(=O)N[*:1]","61 (#137)","29","24","8","-1.40","23.31","58.03"
"CC(C)(O)[*:1]","61 (#138)","15","36","10","1.24","-5.79","43.06"
"Cc1cc(cc(C)[n+]1CC(=O)N[*:1])-c1ccccc1","60 (#139)","33","24","3","-2.44","6.96","224.28"
"CC(C)c1cc(cc(C(C)C)[n+]1CC(=O)N[*:1])-c1ccccc1","60 (#140)","32","25","3","0.05","6.96","280.39"
"CCc1cc(cc(CC)[n+]1CC(=O)N[*:1])-c1ccccc1","60 (#141)","32","25","3","-1.04","6.96","252.34"
"Cc1cc(C)[n+](CC(=O)N[*:1])c(C)c1","60 (#142)","27","30","3","-3.58","6.96","162.21"
"[*:1]NCc1ccccn1","60 (#143)","15","26","19","0.89","-1.10","91.11"
"[*:1]NC(=O)NCc1ccccc1","59 (#144)","30","19","10","1.68","15.11","133.15"
"[*:1]NC(=O)C1CCCCC1","59 (#145)","26","18","15","1.93","3.08","110.16"
"OCCO[*:1]","59 (#146)","7","46","6","-0.02","3.44","45.04"
"CN(CC(=O)N[*:1])C(N)=N","57 (#147)","30","25","2","-1.33","56.19","113.12"
"NCC(=O)NCC(=O)N[*:1]","57 (#148)","26","27","4","-2.59","58.20","114.10"
"[*:1]n1cccn1","57 (#149)","17","28","12","1.02","-8.20","51.05"
"CN1CCN(CCCN[*:1])CC1","57 (#150)","14","32","11","0.22","-7.51","140.23"
