Query fragment: [*:1]NC(=O)N([*:2])[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]OC(=O)N([*:3])[*:2]","81 (#1)","6","60","15","0.37","-2.80","0.98"
"[*:1]C(=O)N([*:3])[*:2]","76 (#2)","17","35","24","0.43","-12.03","-15.01"
"CC(C)N(C([*:3])[*:2])C(=O)N[*:1]","64 (#3)","3","25","4","1.55","0.00","56.11"
"CC([*:3])N(C(C)[*:2])C(=O)N[*:1]","64 (#4)","3","25","4","1.55","0.00","56.11"
"[*:1]NC(=S)N([*:3])[*:2]","50 (#5)","10","39","1","0.89","-17.07","16.07"
"[*:1]NS(=O)(=O)N([*:3])[*:2]","50 (#6)","8","34","8","-0.63","17.07","36.06"
"[*:1]N([*:3])C(=O)N[*:2]","42 (#7)","10","22","10","0.36","0.00","0.00"
"[*:1]NC(=O)N(C[*:3])C[*:2]","38 (#8)","3","34","1","0.70","0.00","28.06"
"CC([*:3])([*:2])OC(=O)N[*:1]","34 (#9)","4","8","6","2.73","5.99","29.04"
"[*:1]CC(=O)N([*:3])[*:2]","31 (#10)","5","16","10","0.76","-12.03","-0.99"
"[*:1]NC(=O)C([*:3])[*:2]","29 (#11)","10","13","6","1.17","-3.24","-0.99"
"CC([*:3])([*:2])C(=O)N[*:1]","28 (#12)","1","11","3","1.72","-3.24","13.04"
"[*:1]N([*:3])[*:2]","20 (#13)","5","6","9","0.33","-29.10","-43.02"
"[*:1]S(=O)(=O)N([*:3])[*:2]","20 (#14)","4","13","3","-0.29","5.04","21.04"
"[*:1]NC(=O)C([*:3])O[*:2]","20 (#15)","3","13","4","0.23","5.99","15.01"
"[*:1]N([*:2])C(=O)N[*:3]","18 (#16)","6","6","6","-0.36","0.00","0.00"
"[*:1]NC(=O)N([*:3])C[*:2]","16 (#17)","3","10","3","0.35","0.00","14.02"
"CN([*:1])C(=O)N([*:3])[*:2]","15 (#18)","1","8","6","0.22","-8.79","14.02"
"OC([*:3])([*:2])C(=O)N[*:1]","14 (#19)","4","6","4","0.07","16.99","15.01"
"CC([*:3])([*:2])NC(=O)N[*:1]","14 (#20)","2","5","0","0.83","8.79","28.05"
"[*:1]NC(=O)CC([*:3])[*:2]","13 (#21)","5","5","3","1.32","-3.24","13.04"
"OC([*:3])([*:2])CC(=O)N[*:1]","12 (#22)","4","7","1","0.01","16.99","29.04"
"[*:1]CNC(=O)N([*:3])[*:2]","12 (#23)","3","8","1","-0.29","0.00","14.03"
"CC([*:3])([*:2])CC(=O)N[*:1]","12 (#24)","2","3","1","1.62","-3.24","27.07"
"CN([*:2])C(=O)N([*:1])[*:3]","12 (#25)","1","5","5","0.22","-8.79","14.02"
"CC([*:2])C(N(C)[*:3])C(=O)N[*:1]","12 (#26)","0","6","0","-0.23","0.00","56.11"
"SC(=N[*:1])N([*:3])[*:2]","11 (#27)","1","8","2","2.56","-16.74","16.06"
"CC([*:3])([*:2])c1ccc(cc1)C(=O)N[*:1]","10 (#28)","2","2","1","3.29","-3.24","89.14"
"[*:1]NC(=O)C([*:3])C[*:2]","10 (#29)","2","6","2","1.38","-3.24","13.03"
"CC([*:3])([*:2])Oc1ccc(cc1)C(=O)N[*:1]","10 (#30)","0","4","1","2.64","5.99","105.14"
"[*:1]NC(=O)CC([*:3])O[*:2]","9 (#31)","2","5","2","0.37","5.99","29.04"
"[*:1]NC(=O)OC([*:3])[*:2]","9 (#32)","2","6","1","1.17","5.99","15.01"
"[*:1]CN([*:3])[*:2]","9 (#33)","1","4","4","0.59","-29.10","-28.99"
"[*:1]NC(=O)N([*:3])CC[*:2]","8 (#34)","2","5","1","0.87","0.00","28.05"
"[*:1]S(=O)(=O)NC(=O)N([*:3])[*:2]","8 (#35)","1","7","0","-0.64","34.14","64.06"
"[*:1]NC(=O)NC([*:3])[*:2]","8 (#36)","0","6","2","0.55","8.79","14.02"
"[*:1]NC(=O)CN([*:3])[*:2]","7 (#37)","4","3","0","-0.22","0.00","14.03"
"[*:1]OCC(=O)N([*:3])[*:2]","7 (#38)","1","5","1","-0.39","-2.80","15.01"
"[*:1]C([*:2])N[*:3]","6 (#39)","3","2","1","0.62","-20.31","-29.00"
"[*:1]N([*:2])C(=O)N([*:3])N=O","6 (#40)","2","4","0","0.25","20.64","28.99"
"[*:1]NC(=O)C=C([*:3])[*:2]","6 (#41)","2","4","0","1.28","-3.24","11.02"
"[*:1]NC(=O)CCC([*:3])[*:2]","6 (#42)","2","2","2","1.77","-3.24","27.07"
"[*:1]COC(=O)N([*:3])[*:2]","6 (#43)","1","5","0","1.08","-2.80","15.01"
"CC(C)C(N([*:3])[*:2])C(=O)N[*:1]","6 (#44)","0","6","0","-0.23","0.00","56.11"
"CC([*:3])C(O[*:2])C(=O)N[*:1]","6 (#45)","0","5","1","1.17","5.99","43.06"
"CN([*:3])C([*:2])C(=O)N[*:1]","6 (#46)","0","6","0","-1.14","0.00","28.06"
"CN([*:3])CCN([*:2])C(=O)N[*:1]","6 (#47)","0","3","3","0.02","3.24","57.10"
"COC(C([*:3])[*:2])C(=O)N[*:1]","6 (#48)","0","5","1","1.17","5.99","43.06"
"OC(C([*:3])[*:2])C(=O)N[*:1]","6 (#49)","0","6","0","0.53","16.99","29.04"
"[*:1]NC(=O)CCC(=O)N([*:3])[*:2]","6 (#50)","0","4","2","-0.65","17.07","56.06"
"CC([*:2])N([*:3])C(=O)N[*:1]","5 (#51)","1","4","0","0.77","0.00","28.06"
"[*:1]NC(=O)N([*:2])C[*:3]","5 (#52)","1","4","0","0.36","0.00","14.02"
"CN([*:3])C(=O)N([*:1])[*:2]","5 (#53)","0","3","2","0.22","-8.79","14.03"
"[*:1]C([*:2])NC[*:3]","4 (#54)","3","1","0","1.08","-20.31","-14.97"
"[*:1]N([*:2])C[*:3]","4 (#55)","2","0","2","1.24","-29.10","-29.00"
"[*:1]NC([*:3])[*:2]","4 (#56)","2","2","0","0.94","-20.31","-29.00"
"OC([*:2])C([*:1])N[*:3]","4 (#57)","1","3","0","-0.01","-0.08","1.03"
"[*:1]NC(=O)N([*:2])C1CCN([*:3])CC1","4 (#58)","1","2","1","0.02","3.24","83.14"
"CC([*:1])NC(=O)N([*:3])[*:2]","4 (#59)","0","3","1","0.78","0.00","28.05"
"CN([*:3])CCCN([*:2])C(=O)N[*:1]","4 (#60)","0","2","2","0.00","3.24","71.13"
"[*:1]CCC(=O)N([*:3])[*:2]","4 (#61)","0","2","2","0.37","-12.03","13.04"
"[*:1]NC(=O)N1CCC(C1)N([*:3])[*:2]","4 (#62)","0","0","4","-0.04","3.24","69.10"
"[*:1]c1cc([*:2])n([*:3])n1","4 (#63)","0","0","4","1.27","-14.52","8.03"
"OCC(C[*:2])Nc1ncc([*:3])c(N[*:1])n1","3 (#64)","3","0","0","0.99","37.73","108.14"
"[*:1]Nc1nc(ncc1[*:3])N1CCN([*:2])CC1","3 (#65)","3","0","0","1.23","11.95","119.17"
"[*:1]Oc1cccc(CN([*:3])C(=O)N[*:2])c1","3 (#66)","3","0","0","1.92","9.23","106.13"
"CC([*:2])CCN([*:1])C(=O)N[*:3]","3 (#67)","2","0","1","1.97","0.00","56.11"
"CC([*:2])CN([*:1])C(=O)N[*:3]","3 (#68)","2","0","1","1.60","0.00","42.08"
"CC([*:2])N([*:1])C(=O)N[*:3]","3 (#69)","2","0","1","1.13","0.00","28.05"
"CN([*:3])CCN([*:1])C(=O)N[*:2]","3 (#70)","2","0","1","0.02","3.24","57.10"
"[*:1]N(CC[*:2])C(=O)N[*:3]","3 (#71)","2","1","0","1.24","0.00","28.05"
"[*:1]N(C[*:2])C(=O)N[*:3]","3 (#72)","2","0","1","0.71","0.00","14.03"
"[*:1]N(O[*:2])C(=O)N[*:3]","3 (#73)","2","1","0","0.51","9.23","16.00"
"[*:1]N([*:3])S([*:2])(=O)=O","3 (#74)","2","1","0","-0.40","5.04","21.04"
"CC([*:3])(O[*:2])C(=O)N[*:1]","3 (#75)","1","1","1","0.72","5.99","29.04"
"CC([*:3])N([*:2])C(=O)N[*:1]","3 (#76)","1","2","0","0.77","0.00","28.06"
"COC([*:3])([*:2])C(=O)N[*:1]","3 (#77)","1","1","1","0.72","5.99","29.04"
"[*:1]N([*:2])C([*:3])=O","3 (#78)","1","2","0","-0.25","-12.03","-15.01"
