Query fragment: [*:1]OC([*:2])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]NC([*:2])=O","1846 (#1)","331","985","530","-0.93","2.80","-0.98"
"[*:1]O[*:2]","950 (#2)","220","589","141","-0.16","-17.07","-28.01"
"[*:1]COC([*:2])=O","767 (#3)","111","543","113","0.36","0.00","14.03"
"CN([*:1])C([*:2])=O","424 (#4)","73","183","168","-0.71","-5.99","13.04"
"[*:1]OC[*:2]","379 (#5)","131","163","85","0.18","-17.07","-13.99"
"CC([*:1])OC([*:2])=O","348 (#6)","49","208","91","0.77","0.00","28.05"
"CN([*:1])[*:2]","305 (#7)","48","83","45","0.10","-23.06","-14.96"
"[*:1]OC(=O)C[*:2]","284 (#8)","51","164","69","-0.22","0.00","14.03"
"[*:1]C(=O)O[*:2]","282 (#9)","52","178","52","-0.40","0.00","0.00"
"[*:1]C([*:2])=O","276 (#10)","53","171","52","-0.10","-9.23","-16.00"
"CC([*:1])[*:2]","236 (#11)","46","58","24","1.24","-26.30","-15.96"
"[*:1]CCOC([*:2])=O","168 (#12)","36","102","30","0.88","0.00","28.05"
"[*:1]C[*:2]","164 (#13)","62","83","19","0.96","-26.30","-29.99"
"[*:1]C(=O)N[*:2]","160 (#14)","42","79","39","-0.76","2.80","-0.99"
"CC([*:1])NC([*:2])=O","126 (#15)","42","61","23","-0.16","2.80","27.07"
"[*:1]S[*:2]","123 (#16)","34","76","13","1.03","-26.30","-11.94"
"[*:1]OC(=O)CC[*:2]","122 (#17)","23","77","22","0.22","0.00","28.06"
"[*:1]OCCOC([*:2])=O","119 (#18)","4","109","5","-0.04","9.23","44.06"
"[*:1]CO[*:2]","115 (#19)","28","63","24","0.19","-17.07","-13.98"
"[*:1]S([*:2])(=O)=O","112 (#20)","20","71","21","-1.17","7.84","20.05"
"[*:1]CNC([*:2])=O","109 (#21)","20","62","27","-0.57","2.80","13.04"
"[*:1]CC[*:2]","106 (#22)","46","50","10","1.05","-26.30","-15.96"
"[*:1]OC(=O)N[*:2]","102 (#23)","16","71","15","-0.45","12.03","15.02"
"[*:1]C(=O)OC[*:2]","98 (#24)","27","44","27","-0.02","0.00","14.02"
"[*:1]CCCOC([*:2])=O","98 (#25)","27","38","33","1.32","0.00","42.08"
"CCN(C[*:1])C([*:2])=O","92 (#26)","22","41","29","0.01","-5.99","41.10"
"[*:1]OC(=O)C=C[*:2]","87 (#27)","31","45","11","0.54","0.00","26.04"
"CCN([*:1])C([*:2])=O","81 (#28)","24","33","24","-0.15","-5.99","27.07"
"[*:1]NS([*:2])(=O)=O","80 (#29)","19","50","11","-1.42","19.87","35.07"
"CC(O)([*:1])[*:2]","80 (#30)","11","20","12","-0.07","-6.07","0.04"
"[*:1]c1noc([*:2])n1","78 (#31)","18","41","19","0.37","12.62","24.03"
"OC([*:1])[*:2]","77 (#32)","15","43","19","-0.35","-6.07","-13.99"
"[*:1]OS([*:2])(=O)=O","74 (#33)","19","42","13","-0.45","17.07","36.05"
