Query fragment: [*:1]C#N
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"Cl[*:1]","4526 (#1)","1388","2578","560","0.75","-23.79","9.44"
"F[*:1]","4233 (#2)","992","2544","697","0.29","-23.79","-7.02"
"CO[*:1]","3196 (#3)","797","1810","589","-0.01","-14.56","5.02"
"C[*:1]","3027 (#4)","842","1651","534","0.66","-23.79","-10.98"
"FC(F)(F)[*:1]","2529 (#5)","668","1306","555","1.03","-23.79","42.99"
"Br[*:1]","1743 (#6)","605","881","257","0.91","-23.79","53.89"
"NC([*:1])=O","1271 (#7)","294","595","382","-0.87","19.30","18.01"
"[O-][N+]([*:1])=O","1181 (#8)","234","796","151","0.08","19.35","19.99"
"O[*:1]","1152 (#9)","321","565","266","-0.16","-3.56","-9.01"
"CS([*:1])(=O)=O","673 (#10)","106","377","190","-1.01","10.35","53.08"
"FC(F)(F)O[*:1]","651 (#11)","175","346","130","1.57","-14.56","58.99"
"COC([*:1])=O","649 (#12)","129","379","141","0.15","2.51","33.03"
"OC[*:1]","619 (#13)","139","331","149","-0.38","-3.56","5.01"
"N[*:1]","577 (#14)","162","282","133","-0.69","2.23","-9.99"
"OC([*:1])=O","574 (#15)","128","208","238","-0.20","13.51","19.00"
"[*:1]c1ccccc1","566 (#16)","146","247","173","1.79","-23.79","51.09"
"CC[*:1]","540 (#17)","183","266","91","1.10","-23.79","3.04"
"CC([*:1])=O","533 (#18)","109","302","122","-0.30","-6.72","17.03"
"CCO[*:1]","356 (#19)","91","210","55","0.33","-14.56","19.04"
"CN(C)[*:1]","335 (#20)","85","177","73","0.25","-20.55","18.06"
"[*:1]C=O","333 (#21)","72","187","74","-0.14","-6.72","3.00"
"CC(=O)N[*:1]","327 (#22)","59","167","101","-0.62","5.31","32.04"
"CC(C)[*:1]","325 (#23)","108","142","75","1.39","-23.79","17.07"
"CS[*:1]","312 (#24)","112","138","62","0.77","-23.79","21.09"
"I[*:1]","297 (#25)","121","129","47","1.07","-23.79","100.89"
