Query fragment: [*:1]C=C[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]CC[*:2]","1262 (#1)","233","716","313","0.36","0.00","2.02"
"[*:1]C#C[*:2]","395 (#2)","83","229","83","-0.07","0.00","-2.02"
"[*:1]C[*:2]","351 (#3)","73","167","111","-0.16","0.00","-12.01"
"[*:1]CO[*:2]","155 (#4)","37","74","44","-0.84","9.23","3.99"
"[*:1]CCC[*:2]","154 (#5)","27","71","56","0.81","0.00","16.04"
"[*:1]OC[*:2]","117 (#6)","27","61","29","-0.69","9.23","3.99"
"[*:1]C1CC1[*:2]","100 (#7)","16","59","25","-0.16","0.00","14.03"
"[*:1]c1ccc([*:2])cc1","79 (#8)","26","38","15","1.11","0.00","50.06"
"CC([*:1])[*:2]","66 (#9)","10","16","23","0.12","0.00","2.02"
"CC([*:1])=C[*:2]","64 (#10)","13","27","24","0.39","0.00","14.02"
"CC([*:2])=C[*:1]","60 (#11)","11","33","16","0.30","0.00","14.03"
"[*:1]NC([*:2])=O","58 (#12)","13","27","18","-0.89","29.10","16.99"
"[*:1]O[*:2]","55 (#13)","14","18","23","-1.28","9.23","-10.03"
"[*:1]C=CC[*:2]","53 (#14)","7","30","16","0.36","0.00","14.03"
"[*:1]C([*:2])=C","51 (#15)","7","28","16","0.01","0.00","0.00"
"[*:1]C=CC=C[*:2]","49 (#16)","7","25","17","0.53","0.00","26.04"
"[*:1]c1ccccc1[*:2]","47 (#17)","17","22","8","1.14","0.00","50.06"
"[*:1]CC=C[*:2]","46 (#18)","8","20","18","0.00","0.00","14.03"
"[*:1]CCCC[*:2]","43 (#19)","13","22","8","0.80","0.00","30.07"
"CC([*:2])C[*:1]","43 (#20)","12","21","10","0.46","0.00","16.05"
"[*:1]N=N[*:2]","41 (#21)","11","20","10","0.06","24.72","1.98"
"[*:1]C(=O)N[*:2]","40 (#22)","10","14","16","-1.24","29.10","16.98"
"[*:1]c1cccc([*:2])c1","35 (#23)","7","15","13","1.00","0.00","50.06"
"[*:1]NC[*:2]","33 (#24)","4","16","13","-1.21","12.03","3.01"
"CN([*:2])CC=C[*:1]","27 (#25)","17","8","2","-0.58","3.24","43.07"
"[*:1]CN[*:2]","27 (#26)","6","7","14","-0.78","12.03","3.00"
"Fc1ccc([*:2])cc1NC([*:1])=O","25 (#27)","3","22","0","0.70","29.10","111.07"
"[*:1]CCCCCCCC[*:2]","24 (#28)","3","16","5","2.31","0.00","86.18"
"[*:1]SC[*:2]","23 (#29)","10","9","4","-0.09","0.00","20.05"
"[*:1]c1ccc([*:2])s1","22 (#30)","10","10","2","2.79","0.00","56.09"
"[*:1]C([*:2])=O","22 (#31)","3","8","11","-0.88","17.07","1.97"
"[*:1]C(=O)C[*:2]","20 (#32)","0","8","12","-0.87","17.07","16.00"
"CC([*:1])O[*:2]","19 (#33)","9","7","3","-0.27","9.23","18.02"
"[*:1]CS[*:2]","19 (#34)","7","9","3","0.64","0.00","20.05"
"CC([*:1])C[*:2]","18 (#35)","3","7","8","0.20","0.00","16.05"
"[*:1]OC=C[*:2]","18 (#36)","0","6","12","-0.87","9.23","15.99"
"[*:1]S[*:2]","16 (#37)","5","6","5","-0.15","0.00","6.03"
"[*:1]C([*:2])c1ccccc1","15 (#38)","9","4","2","1.15","0.00","64.08"
"[*:1]c1ccc(C=C[*:2])cc1","15 (#39)","5","5","5","0.00","0.00","76.10"
"OC([*:1])C[*:2]","15 (#40)","4","9","2","-1.15","20.23","18.02"
"[*:1]C#CC[*:2]","14 (#41)","7","7","0","0.23","0.00","12.01"
"CC(C)([*:1])[*:2]","14 (#42)","2","9","1","0.33","0.00","16.04"
"[*:1]C(=O)NC[*:2]","14 (#43)","2","6","6","-1.45","29.10","31.02"
"[*:1]Oc1ccc([*:2])cc1","13 (#44)","8","4","1","0.00","0.00","66.06"
"[*:1]C(=O)C=C[*:2]","13 (#45)","3","7","3","-0.42","17.07","28.01"
"[*:1]COC[*:2]","13 (#46)","2","6","5","-0.20","9.23","18.01"
"[*:1]C=CCN1CCCC1CO[*:2]","12 (#47)","7","5","0","-0.15","12.47","113.16"
"FC([*:2])=C[*:1]","12 (#48)","2","6","4","-0.30","0.00","17.99"
"[*:1]C=C([*:2])C#N","12 (#49)","2","9","1","-0.19","23.79","25.01"
"Fc1ccc([*:2])cc1NC(=O)C=C[*:1]","12 (#50)","0","12","0","1.20","29.10","137.11"
"[*:1]C=CC([*:2])=O","12 (#51)","0","6","6","-0.63","17.07","28.01"
"[*:1]C#CCO[*:2]","11 (#52)","5","4","2","-0.54","9.23","28.01"
"[*:1]OC([*:2])=O","11 (#53)","0","4","7","-1.12","26.30","17.98"
"CC([*:2])O[*:1]","10 (#54)","7","3","0","-0.14","9.23","18.02"
"CN([*:2])C[*:1]","10 (#55)","7","0","3","-0.68","3.24","17.03"
"[*:1]C=C([*:2])c1ccccc1","10 (#56)","5","5","0","1.43","0.00","76.10"
"ClC([*:2])=C[*:1]","10 (#57)","3","4","3","0.47","0.00","34.45"
"OCC([*:2])N[*:1]","10 (#58)","3","5","2","-1.56","32.26","33.03"
"[*:1]COC([*:2])=O","10 (#59)","3","2","5","-0.76","26.30","32.00"
"FC([*:1])=C[*:2]","10 (#60)","2","8","0","0.54","0.00","17.99"
"[*:1]CCCCCC[*:2]","10 (#61)","2","4","4","1.69","0.00","58.12"
"CN([*:2])CC[*:1]","10 (#62)","0","6","4","-1.03","3.24","31.06"
"[*:1]CC([*:2])=O","10 (#63)","0","3","7","-0.72","17.07","16.00"
"[*:1]N[*:2]","10 (#64)","0","5","5","-0.90","12.03","-11.02"
"CCCN(CC[*:2])CC#C[*:1]","9 (#65)","9","0","0","1.28","3.24","97.16"
"CN([*:1])CC=C[*:2]","9 (#66)","9","0","0","-0.57","3.24","43.07"
"[*:1]C#CCN1CCCC1CO[*:2]","9 (#67)","9","0","0","-0.06","12.47","111.15"
"CN1CCC([*:2])C([*:1])C1","9 (#68)","5","2","2","-0.30","3.24","71.12"
"[*:1]C#CCOCCO[*:2]","9 (#69)","5","4","0","-0.59","18.46","72.06"
"Fc1cc([*:1])ccc1[*:2]","9 (#70)","4","4","1","1.10","0.00","68.05"
"OC(=C[*:1])C=C[*:2]","9 (#71)","2","4","3","-0.14","20.23","42.04"
"[*:1]c1ccc(OC[*:2])cc1","9 (#72)","2","6","1","0.80","9.23","80.09"
"OC([*:1])[*:2]","9 (#73)","1","3","5","-1.35","20.23","3.99"
"CC([*:2])C=C[*:1]","9 (#74)","0","9","0","0.73","0.00","28.05"
"[*:1]C1CCCCC1[*:2]","9 (#75)","0","2","7","1.15","0.00","56.11"
"CC(C)N(CC#C[*:1])C(C)[*:2]","8 (#76)","6","2","0","1.07","3.24","97.16"
"CC(C)([*:1])O[*:2]","8 (#77)","5","2","1","0.16","9.23","32.05"
"[*:1]C(=O)O[*:2]","8 (#78)","5","2","1","-0.96","26.30","17.97"
"CC(C)([*:2])C[*:1]","8 (#79)","2","2","4","0.74","0.00","30.07"
"[*:1]CCO[*:2]","8 (#80)","2","3","3","0.91","9.23","18.01"
"[*:1]c1ccc(C[*:2])cc1","8 (#81)","1","4","3","1.12","0.00","64.09"
"[*:1]c1ccc([*:2])o1","8 (#82)","1","2","5","0.44","13.14","40.02"
"OC1CC([*:1])CCC1[*:2]","8 (#83)","0","4","4","0.44","20.23","72.10"
"[*:1]C1OC1[*:2]","8 (#84)","0","7","1","-0.86","12.53","16.00"
"[*:1]C#CCOCO[*:2]","7 (#85)","7","0","0","-0.48","18.46","58.04"
"CN([*:1])C[*:2]","7 (#86)","3","4","0","-0.58","3.24","17.03"
"[*:1]COc1ccc(C=C[*:2])cc1","7 (#87)","3","3","1","1.57","9.23","106.13"
