Query fragment: [*:1]S[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]O[*:2]","2833 (#1)","505","1646","682","-0.79","9.23","-16.07"
"[*:1]S([*:2])(=O)=O","1553 (#2)","211","717","625","-1.54","34.14","32.00"
"[*:1]N[*:2]","793 (#3)","192","357","244","-1.39","12.03","-17.06"
"[O-][S+]([*:1])[*:2]","636 (#4)","77","275","284","-1.12","17.07","16.00"
"CN([*:1])[*:2]","548 (#5)","65","196","115","-0.52","3.24","-3.02"
"[*:1]C[*:2]","465 (#6)","58","296","111","0.02","0.00","-18.04"
"CC([*:1])[*:2]","441 (#7)","44","126","77","0.01","0.00","-4.01"
"[*:1]CS[*:2]","286 (#8)","77","163","46","0.25","0.00","14.03"
"[*:1]SC[*:2]","274 (#9)","49","174","51","0.25","0.00","14.03"
"[*:1]OC[*:2]","256 (#10)","44","147","65","-0.43","9.23","-2.04"
"[*:1]C([*:2])=O","216 (#11)","39","101","76","-0.73","17.07","-4.06"
"[*:1]CCS[*:2]","152 (#12)","43","82","27","0.94","0.00","28.05"
"[*:1]CS([*:2])(=O)=O","125 (#13)","5","43","77","-1.25","34.14","46.03"
"CC(C)([*:1])[*:2]","121 (#14)","14","41","19","0.92","0.00","10.02"
"[*:1]SCC[*:2]","108 (#15)","39","51","18","0.94","0.00","28.05"
"[*:1]CC[*:2]","100 (#16)","20","50","30","0.77","0.00","-4.01"
"[*:1]CO[*:2]","99 (#17)","17","39","43","-0.62","9.23","-2.04"
"[*:1]C(=O)O[*:2]","99 (#18)","12","56","31","-1.03","26.30","11.94"
"CC([*:2])O[*:1]","90 (#19)","21","40","29","-0.01","9.23","11.99"
"[*:1]C(=O)N[*:2]","79 (#20)","18","37","24","-1.76","29.10","10.95"
"[*:1]NC([*:2])=O","79 (#21)","18","31","30","-1.39","29.10","10.96"
"CC([*:2])S[*:1]","53 (#22)","7","31","15","0.57","0.00","28.06"
"[*:1]OCC[*:2]","50 (#23)","16","21","13","0.10","9.23","11.99"
