Query fragment: [*:1]OC(=O)N([*:2])[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]NC(=O)N([*:3])[*:2]","81 (#1)","15","60","6","-0.37","2.80","-0.98"
"[*:1]C(=O)N([*:3])[*:2]","52 (#2)","7","35","10","-0.15","-9.23","-16.00"
"[*:1]S(=O)(=O)N([*:3])[*:2]","25 (#3)","4","15","6","-0.97","7.84","20.06"
"[*:1]OC(=O)N([*:3])C[*:2]","23 (#4)","0","17","6","0.36","0.00","14.02"
"[*:1]OC(=O)N(C[*:3])C[*:2]","19 (#5)","3","13","3","0.71","0.00","28.06"
"[*:1]CC(=O)N([*:3])[*:2]","15 (#6)","4","11","0","0.08","-9.23","-1.97"
"[*:1]COC(=O)N([*:3])[*:2]","14 (#7)","5","7","2","0.36","0.00","14.02"
"[*:1]OC(=O)N([*:2])C[*:3]","13 (#8)","5","7","1","0.00","0.00","14.02"
"CN([*:1])C(=O)N([*:3])[*:2]","13 (#9)","0","6","3","-0.50","-5.99","13.04"
"CN([*:1])S(=O)(=O)N([*:3])[*:2]","12 (#10)","0","6","0","-1.13","11.08","49.10"
"CC([*:1])([*:3])OC(=O)N[*:2]","10 (#11)","1","3","1","0.83","8.79","28.06"
"[*:1]N([*:3])[*:2]","9 (#12)","4","1","4","0.16","-26.30","-44.01"
"[*:1]OC(=O)NC([*:3])[*:2]","9 (#13)","1","5","3","0.88","8.79","14.03"
"[*:1]C([*:3])C(=O)N[*:2]","8 (#14)","3","4","1","0.40","-0.44","-1.97"
"[*:1]CN([*:3])[*:2]","7 (#15)","3","2","2","0.22","-26.30","-29.98"
"CC(C)N(C([*:3])[*:2])C(=O)O[*:1]","7 (#16)","2","2","1","1.54","0.00","56.11"
"CC([*:3])N(C(C)[*:2])C(=O)O[*:1]","7 (#17)","2","2","1","1.54","0.00","56.11"
"[*:1]N([*:2])C(=O)O[*:3]","6 (#18)","6","0","0","0.00","0.00","0.00"
"[*:1]C([*:3])OC(=O)N[*:2]","6 (#19)","3","2","1","0.55","8.79","14.02"
"[*:1]CS(=O)(=O)N([*:3])[*:2]","6 (#20)","1","5","0","-0.61","7.84","34.08"
"CC([*:1])S(=O)(=O)N([*:3])[*:2]","6 (#21)","0","3","0","-0.04","7.84","48.11"
"[*:1]N([*:3])C(=O)O[*:2]","6 (#22)","0","0","6","0.00","0.00","0.00"
"[*:1]C([*:3])[*:2]","5 (#23)","2","1","2","1.74","-29.54","-45.00"
"CC([*:3])([*:2])C(=O)O[*:1]","5 (#24)","1","1","1","1.69","-3.24","13.04"
"[*:1]CCOC(=O)N([*:3])[*:2]","5 (#25)","1","4","0","0.88","0.00","28.06"
"CC(C[*:1])C(N)C(=O)N([*:3])[*:2]","4 (#26)","4","0","0","0.35","16.79","55.12"
"CCC([*:1])C(N)C(=O)N([*:3])[*:2]","4 (#27)","4","0","0","0.35","16.79","55.12"
"CN([*:2])C(=O)C(N)C([*:3])C[*:1]","4 (#28)","4","0","0","0.35","16.79","55.12"
"CC([*:1])C(=O)N([*:3])[*:2]","4 (#29)","2","2","0","0.63","-9.23","12.05"
"CC([*:1])OC(=O)N([*:3])[*:2]","4 (#30)","1","3","0","0.78","0.00","28.05"
"[*:1]CCC(=O)N([*:3])[*:2]","4 (#31)","1","3","0","0.53","-9.23","12.05"
"CC([*:1])NC(=O)N([*:3])[*:2]","4 (#32)","0","4","0","0.04","2.80","27.07"
"CC([*:3])([*:2])OC(=O)N1CCC(C1)NC([*:1])=O","4 (#33)","0","1","1","0.22","29.10","125.17"
"[*:1]OC(=O)N([*:2])c1ccc([*:3])cc1","4 (#34)","0","2","2","1.65","0.00","76.09"
"[*:1]OC(=O)N([*:2])c1cccc([*:3])c1","4 (#35)","0","0","4","1.65","0.00","76.09"
"[*:1]OC(=O)N([*:2])CC[*:3]","3 (#36)","3","0","0","0.35","0.00","28.05"
"CC([*:1])CC(=O)N([*:3])[*:2]","3 (#37)","1","2","0","0.81","-9.23","26.08"
"[*:1]OC(=O)C([*:3])[*:2]","3 (#38)","1","0","2","1.31","-3.24","-0.99"
"[*:1]OCC(=O)N([*:3])[*:2]","3 (#39)","1","1","1","-0.80","0.00","14.03"
"[*:1]Oc1ccc(OC(=O)N([*:3])[*:2])cc1","3 (#40)","1","2","0","1.50","9.23","92.10"
"CC(C)([*:1])C(=O)N([*:3])[*:2]","3 (#41)","0","3","0","1.18","-9.23","26.08"
"CC([*:1])COC(=O)N([*:3])[*:2]","3 (#42)","0","3","0","1.24","0.00","42.08"
"[*:1]CCS(=O)(=O)N([*:3])[*:2]","3 (#43)","0","3","0","-0.09","7.84","48.11"
"[*:1]OC(=S)N([*:3])[*:2]","3 (#44)","0","1","2","0.89","-17.07","16.07"
"[*:1]S(=O)(=O)CC(=O)N([*:3])[*:2]","3 (#45)","0","3","0","-1.92","24.91","62.09"
"CC(C)C(N[*:1])C(=O)N([*:3])[*:2]","2 (#46)","2","0","0","0.34","2.80","55.12"
"CC(C)CC(NC([*:1])=O)C(=O)N([*:3])[*:2]","2 (#47)","2","0","0","0.09","19.87","97.16"
"CC([*:1])CC(NC(C)=O)C(=O)N([*:3])[*:2]","2 (#48)","2","0","0","0.09","19.87","97.16"
"CC([*:1])CC(NC([*:3])=O)C(=O)N(C)[*:2]","2 (#49)","2","0","0","0.09","19.87","97.16"
"CC([*:3])C(N[*:1])C(=O)N(C)[*:2]","2 (#50)","2","0","0","0.34","2.80","55.12"
"CN([*:2])C(=O)C(CC([*:1])[*:3])NC(C)=O","2 (#51)","2","0","0","0.09","19.87","97.16"
"CNC(C(C)[*:1])C(=O)N([*:3])[*:2]","2 (#52)","2","0","0","0.34","2.80","55.12"
"CNC(C([*:1])[*:3])C(=O)N(C)[*:2]","2 (#53)","2","0","0","0.34","2.80","55.12"
"[*:1]COC(=O)N([*:2])C[*:3]","2 (#54)","2","0","0","0.72","0.00","28.05"
"[*:1]N([*:2])C(=O)CNC([*:3])=O","2 (#55)","2","0","0","-1.73","19.87","41.06"
"[*:1]N([*:2])C[*:3]","2 (#56)","2","0","0","0.51","-26.30","-29.98"
"[*:1]c1ccc(COC(=O)N([*:3])[*:2])cc1","2 (#57)","2","0","0","2.24","0.00","90.13"
"[*:1]c1cccc(COC(=O)N([*:3])[*:2])c1","2 (#58)","2","0","0","2.24","0.00","90.13"
"[*:1]c1ccccc1COC(=O)N([*:3])[*:2]","2 (#59)","2","0","0","2.24","0.00","90.13"
"C[N+]([*:1])([*:3])[*:2]","2 (#60)","1","1","0","-4.00","-29.54","-28.98"
"[*:1]C(NC(=O)N([*:3])[*:2])c1ccccc1","2 (#61)","1","0","1","1.42","2.80","89.14"
"[*:1]CCCOC(=O)N([*:3])[*:2]","2 (#62)","1","1","0","1.32","0.00","42.08"
"[*:1]CN([*:2])C([*:3])=O","2 (#63)","1","1","0","-0.27","-9.23","-1.97"
"[*:1]N([*:2])C([*:3])=O","2 (#64)","1","1","0","-0.62","-9.23","-16.00"
"[*:1]NC(=O)C([*:3])[*:2]","2 (#65)","1","1","0","0.40","-0.44","-1.97"
"[*:1]OC(=O)Nc1ccc(cc1)C([*:3])[*:2]","2 (#66)","1","0","1","3.04","8.79","90.12"
"[*:1]OC(=O)Nc1ccccc1C([*:3])[*:2]","2 (#67)","1","1","0","3.04","8.79","90.12"
"[*:1]OC([*:3])[*:2]","2 (#68)","1","0","1","0.90","-20.31","-28.99"
"[*:1]OCCN([*:3])[*:2]","2 (#69)","1","0","1","0.14","-17.07","0.04"
"CC(C)([*:1])OC(=O)N([*:3])[*:2]","2 (#70)","0","1","1","1.05","0.00","42.08"
"CC([*:3])([*:2])NC(=O)O[*:1]","2 (#71)","0","0","1","0.83","8.79","28.05"
"CC([*:3])([*:2])OC(=O)O[*:1]","2 (#72)","0","0","1","1.56","5.99","29.04"
"CCCN([*:2])C(=O)N([*:1])[*:3]","2 (#73)","0","0","2","0.37","-5.99","41.09"
"CN([*:1])C(=O)N(C)C([*:3])[*:2]","2 (#74)","0","2","0","-0.32","-5.99","41.10"
"OCC([*:2])N([*:3])C(=O)O[*:1]","2 (#75)","0","2","0","-0.34","20.23","44.06"
"[*:1]C(=O)NCCCN(C[*:3])C[*:2]","2 (#76)","0","1","1","0.14","2.80","69.15"
"[*:1]C(=O)NCCN(C[*:3])C[*:2]","2 (#77)","0","1","1","0.08","2.80","55.12"
"[*:1]CCC(=O)NC([*:3])[*:2]","2 (#78)","0","1","1","0.55","-0.44","26.08"
"[*:1]CCC(=O)NCCCN(C[*:3])C[*:2]","2 (#79)","0","1","1","0.57","2.80","97.21"
"[*:1]CCC(=O)NCCN(C[*:3])C[*:2]","2 (#80)","0","1","1","0.51","2.80","83.18"
"[*:1]N(Cc1ccccc1)C(=O)N([*:3])[*:2]","2 (#81)","0","2","0","1.22","-5.99","89.14"
"[*:1]N([*:3])C(=O)N[*:2]","2 (#82)","0","1","1","-0.73","2.80","-0.98"
"[*:1]N([*:3])CCO[*:2]","2 (#83)","0","2","0","-1.23","-17.07","0.05"
"[*:1]N1CCC(CC1)N([*:3])[*:2]","2 (#84)","0","1","1","-2.04","-23.06","39.13"
"[*:1]N1CCC(CN([*:3])[*:2])CC1","2 (#85)","0","2","0","-1.57","-23.06","53.15"
"[*:1]NC(=O)NC([*:3])[*:2]","2 (#86)","0","2","0","-0.76","11.59","13.04"
"[*:1]OC(=O)N([*:3])O[*:2]","2 (#87)","0","1","1","0.15","9.23","16.00"
"[*:1]OC(=O)Nc1c(C[*:3])cccc1C[*:2]","2 (#88)","0","1","1","3.71","8.79","104.15"
"[*:1]OC(=S)N(C[*:3])C[*:2]","2 (#89)","0","2","0","1.61","-17.07","44.12"
"[*:1]OC1CCN(CC1)C([*:3])[*:2]","2 (#90)","0","1","1","-1.52","-17.07","54.13"
"[*:1]OCC1CCN(CC1)C([*:3])[*:2]","2 (#91)","0","2","0","-1.06","-17.07","68.16"
"CC(C)C(NC(=O)N([*:3])[*:2])C(=O)OC[*:1]","1 (#92)","1","0","0","0.42","29.10","113.16"
"CC([*:2])C(=O)N([*:1])[*:3]","1 (#93)","1","0","0","0.71","-9.23","12.05"
"CN([*:1])CC(=O)NCC(=O)N([*:3])[*:2]","1 (#94)","1","0","0","-1.84","23.11","84.13"
"CN([*:2])C(=O)CNC(=O)CN([*:1])[*:3]","1 (#95)","1","0","0","-1.84","23.11","84.13"
"CN([*:3])C(=O)C([*:1])[*:2]","1 (#96)","1","0","0","0.71","-9.23","12.05"
"SC(=N[*:1])N([*:3])[*:2]","1 (#97)","1","0","0","2.19","-13.94","15.08"
"SC(O[*:1])=NC([*:3])[*:2]","1 (#98)","1","0","0","1.85","-7.95","30.09"
"[*:1]C([*:3])S(=O)(=O)N[*:2]","1 (#99)","1","0","0","-0.53","16.63","34.08"
"[*:1]CC(=O)NCC(=O)N([*:3])[*:2]","1 (#100)","1","0","0","-1.03","19.87","55.08"
"[*:1]CCC(=O)NCC(=O)N([*:3])[*:2]","1 (#101)","1","0","0","-0.58","19.87","69.11"
"[*:1]CCCC(=O)NCC(=O)N([*:3])[*:2]","1 (#102)","1","0","0","-0.14","19.87","83.14"
"[*:1]CCCN([*:3])[*:2]","1 (#103)","1","0","0","-1.49","-26.30","-1.93"
