Query fragment: Br[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"Cl[*:1]","9006 (#1)","862","7178","966","-0.16","0.00","-44.45"
"F[*:1]","5228 (#2)","763","3216","1249","-0.62","0.00","-60.91"
"C[*:1]","4529 (#3)","494","2914","1121","-0.25","0.00","-64.87"
"CO[*:1]","4046 (#4)","534","2369","1143","-0.93","9.23","-48.87"
"FC(F)(F)[*:1]","2370 (#5)","236","1498","636","0.11","0.00","-10.90"
"I[*:1]","1880 (#6)","225","1417","238","0.16","0.00","47.00"
"[*:1]C#N","1743 (#7)","257","881","605","-0.91","23.79","-53.89"
"[O-][N+]([*:1])=O","1695 (#8)","298","1002","395","-0.82","43.14","-33.90"
"[*:1]c1ccccc1","1168 (#9)","257","556","355","0.88","0.00","-2.79"
"O[*:1]","837 (#10)","153","387","297","-1.07","20.23","-62.90"
"CC[*:1]","807 (#11)","110","469","228","0.19","0.00","-50.84"
"N[*:1]","513 (#12)","67","219","227","-1.60","26.02","-63.88"
"FC(F)(F)O[*:1]","494 (#13)","53","276","165","0.66","9.23","5.10"
"CC(C)[*:1]","449 (#14)","78","258","113","0.48","0.00","-36.82"
"CC(C)(C)[*:1]","365 (#15)","59","174","132","0.78","0.00","-22.79"
"CS[*:1]","341 (#16)","70","199","72","-0.14","0.00","-32.80"
"CC([*:1])=O","323 (#17)","39","163","121","-1.21","17.07","-36.86"
"CCO[*:1]","318 (#18)","48","171","99","-0.57","9.23","-34.84"
"OC([*:1])=O","288 (#19)","51","109","128","-1.27","37.30","-34.89"
"CN(C)[*:1]","284 (#20)","36","152","96","0.00","0.00","-35.82"
"CS([*:1])(=O)=O","271 (#21)","32","108","131","-1.93","34.14","-0.80"
"NC([*:1])=O","268 (#22)","44","115","109","-1.92","43.09","-35.88"
"COC([*:1])=O","264 (#23)","34","126","104","-0.76","26.30","-20.86"
"[*:1]C1CC1","259 (#24)","35","144","80","0.01","0.00","-38.83"
"[*:1]Oc1ccccc1","240 (#25)","51","107","82","0.73","9.23","13.20"
"CCC[*:1]","209 (#26)","46","104","59","0.64","0.00","-36.82"
"OC[*:1]","209 (#27)","21","111","77","-1.54","20.23","-48.87"
"CC(=O)N[*:1]","190 (#28)","31","93","66","-1.53","29.10","-21.84"
"[*:1]c1cccs1","183 (#29)","73","71","39","0.65","0.00","3.23"
"[*:1]c1ccco1","181 (#30)","70","74","37","-0.06","13.14","-12.84"
"Fc1ccc([*:1])cc1","176 (#31)","53","75","48","1.02","0.00","15.19"
"[*:1]c1cccnc1","169 (#32)","65","63","41","-0.34","12.89","-1.81"
"[*:1]C#C","166 (#33)","24","91","51","-0.62","0.00","-54.87"
"[*:1]OCc1ccccc1","162 (#34)","37","86","39","0.80","9.23","27.22"
"[*:1]C=C","161 (#35)","9","100","52","0.19","0.00","-52.86"
"[*:1]c1ccncc1","157 (#36)","54","64","39","-0.51","12.89","-1.81"
"[*:1]N1CCOCC1","143 (#37)","25","66","52","-0.88","12.47","6.21"
"[*:1]c1cncnc1","133 (#38)","85","26","22","-1.04","25.78","-0.82"
"COc1ccc([*:1])cc1","133 (#39)","35","65","33","0.72","9.23","27.23"
"CC(C)O[*:1]","130 (#40)","17","63","50","-0.16","9.23","-20.82"
"[*:1]C=O","120 (#41)","17","61","42","-1.09","17.07","-50.89"
"CCOC([*:1])=O","119 (#42)","13","69","37","-0.41","26.30","-6.84"
"[*:1]c1ccsc1","106 (#43)","30","55","21","0.66","0.00","3.23"
"FC(F)(F)c1ccc([*:1])cc1","104 (#44)","25","51","28","1.76","0.00","65.20"
"NS([*:1])(=O)=O","100 (#45)","28","50","22","-2.16","60.16","0.18"
"[*:1]N1CCCCC1","87 (#46)","15","33","39","0.19","3.24","4.23"
"CCCC[*:1]","86 (#47)","15","39","32","1.07","0.00","-22.79"
"Clc1ccc([*:1])cc1","84 (#48)","32","32","20","1.49","0.00","31.64"
"[*:1]c1ccccn1","82 (#49)","28","34","20","-0.12","12.89","-1.81"
"[*:1]c1ccoc1","79 (#50)","23","41","15","0.02","13.14","-12.84"
"COCCO[*:1]","79 (#51)","9","34","36","-1.09","18.46","-4.82"
"[*:1]c1cccc(c1)C#N","77 (#52)","34","26","17","0.95","23.79","22.21"
"[*:1]Cc1ccccc1","77 (#53)","12","37","28","1.32","0.00","11.23"
"FC(F)O[*:1]","77 (#54)","11","43","23","0.00","9.23","-12.89"
"FC(F)[*:1]","74 (#55)","2","52","20","-0.38","0.00","-28.89"
"Fc1cccc([*:1])c1","71 (#56)","25","29","17","1.02","0.00","15.20"
"[*:1]c1cn[nH]c1","71 (#57)","22","38","11","-0.98","28.68","-12.84"
"Clc1cccc([*:1])c1","70 (#58)","28","26","16","1.70","0.00","31.65"
"Cc1ccc([*:1])cc1","70 (#59)","24","27","19","1.39","0.00","11.23"
"COc1ccccc1[*:1]","67 (#60)","27","26","14","0.73","9.23","27.23"
"Cn1cc([*:1])cn1","67 (#61)","24","27","16","-0.70","17.82","1.20"
"[*:1]Sc1ccccc1","67 (#62)","24","40","3","1.32","0.00","29.27"
