Query fragment: [*:1]S([*:2])(=O)=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]S[*:2]","1553 (#1)","625","717","211","1.54","-34.14","-32.00"
"[*:1]O[*:2]","846 (#2)","258","429","159","0.55","-24.91","-48.07"
"[O-][S+]([*:1])[*:2]","518 (#3)","80","313","125","-0.11","-17.07","-16.00"
"[*:1]C([*:2])=O","285 (#4)","71","175","39","0.72","-17.07","-36.05"
"CN([*:1])[*:2]","253 (#5)","49","72","42","1.27","-30.90","-35.02"
"CC([*:1])[*:2]","225 (#6)","48","64","17","2.04","-34.14","-36.01"
"[*:1]S(=O)(=O)N[*:2]","222 (#7)","50","120","52","-0.16","12.03","15.01"
"[*:1]C(=O)N[*:2]","194 (#8)","37","116","41","0.19","-5.04","-21.04"
"CC(O)([*:1])[*:2]","184 (#9)","16","100","17","0.88","-13.91","-20.02"
"CC(C)([*:1])[*:2]","148 (#10)","35","54","15","2.40","-34.14","-21.99"
"[*:1]S(=O)(=O)C[*:2]","143 (#11)","25","94","24","-0.24","0.00","14.03"
"[*:1]NS([*:2])(=O)=O","134 (#12)","27","80","27","-1.51","12.03","15.02"
"[*:1]CS([*:2])(=O)=O","131 (#13)","26","51","54","-0.23","0.00","14.03"
"[*:1]C[*:2]","119 (#14)","38","57","24","-0.28","-34.14","-50.04"
"[*:1]NC([*:2])=O","107 (#15)","20","69","18","0.40","-5.04","-21.04"
"[*:1]CS[*:2]","100 (#16)","36","49","15","1.62","-34.14","-17.97"
"[*:1]N[*:2]","99 (#17)","33","45","21","0.05","-22.11","-49.05"
"OC([*:1])[*:2]","98 (#18)","17","69","12","0.81","-13.91","-34.04"
"CC([*:1])([*:2])C(O)C(F)(F)F","92 (#19)","20","21","5","2.43","-13.91","62.01"
"CN([*:2])S([*:1])(=O)=O","88 (#20)","18","54","16","0.21","3.24","29.04"
"[*:1]C(=O)O[*:2]","79 (#21)","18","44","17","1.17","-7.84","-20.05"
"[*:1]N1CCN([*:2])CC1","76 (#22)","16","52","8","1.05","-27.66","20.06"
"CN([*:2])C([*:1])=O","61 (#23)","10","33","18","0.42","-13.83","-7.01"
"CN([*:1])C([*:2])=O","57 (#24)","6","31","20","0.46","-13.83","-7.01"
"[*:1]CCS[*:2]","55 (#25)","20","24","11","1.81","-34.14","-3.95"
"CC([*:1])([*:2])C(O)=O","53 (#26)","7","13","7","-0.45","3.16","7.99"
"[*:1]S(=O)(=O)CCO[*:2]","50 (#27)","23","18","9","-0.20","9.23","44.05"
"[*:1]OC[*:2]","47 (#28)","21","16","10","1.16","-24.91","-34.04"
"[*:1]SC[*:2]","45 (#29)","24","11","10","2.05","-34.14","-17.97"
"[*:1]S(=O)(=O)c1ccc(O[*:2])cc1","41 (#30)","36","5","0","1.95","9.23","92.10"
"CN([*:1])S([*:2])(=O)=O","39 (#31)","3","26","10","0.21","3.24","29.04"
"CC([*:1])S([*:2])(=O)=O","35 (#32)","7","17","11","0.99","0.00","28.06"
"CS(=O)(=O)N([*:1])[*:2]","34 (#33)","10","18","6","-0.25","3.24","29.04"
"[*:1]S(=O)(=O)O[*:2]","33 (#34)","8","21","4","0.26","9.23","16.00"
"[*:1]OC([*:2])=O","33 (#35)","3","27","3","0.98","-7.84","-20.05"
"[*:1]CO[*:2]","32 (#36)","8","16","8","0.61","-24.91","-34.03"
"CC([*:2])S([*:1])(=O)=O","32 (#37)","6","24","2","1.08","0.00","28.05"
"[*:1]S(=O)(=O)c1ccc([*:2])cc1","31 (#38)","21","6","4","2.63","0.00","76.10"
"CN(C[*:2])S([*:1])(=O)=O","30 (#39)","1","14","15","-0.17","3.24","43.06"
"CC([*:1])([*:2])C#N","27 (#40)","6","15","2","1.96","-10.35","-11.00"
"[*:1]S(=O)(=O)CC[*:2]","27 (#41)","3","20","4","0.95","0.00","28.06"
"CC([*:1])O[*:2]","25 (#42)","5","17","3","1.75","-24.91","-20.01"
"CN([*:2])C[*:1]","24 (#43)","8","11","5","1.10","-30.90","-21.00"
"[*:1]C(=O)OC[*:2]","24 (#44)","3","10","11","1.52","-7.84","-6.03"
"CP([*:1])([*:2])=O","21 (#45)","0","7","12","0.45","-17.07","-2.06"
"CC([*:1])([*:2])C(=O)NCC(F)(F)F","20 (#46)","8","2","0","2.27","-5.04","89.03"
"[*:1]C(=O)NC[*:2]","20 (#47)","5","8","7","-0.15","-5.04","-7.01"
"[*:1]CN1CCN([*:2])CC1","20 (#48)","5","13","2","0.95","-27.66","34.08"
"[*:1]c1nc([*:2])no1","19 (#49)","6","9","4","1.73","4.78","3.97"
"[*:1]S(=O)(=O)NC[*:2]","18 (#50)","5","11","2","0.35","12.03","29.05"
"[*:1]CC[*:2]","17 (#51)","8","8","1","0.16","-34.14","-36.01"
