Query fragment: [*:1]O[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]OC[*:2]","3350 (#1)","555","2131","664","0.36","0.00","14.03"
"CN([*:1])[*:2]","2987 (#2)","266","1093","418","-2.53","-5.99","13.04"
"[*:1]S[*:2]","2833 (#3)","682","1646","505","0.79","-9.23","16.07"
"[*:1]N[*:2]","2771 (#4)","670","1446","655","-0.24","2.80","-0.99"
"[*:1]C[*:2]","2175 (#5)","544","1225","406","1.11","-9.23","-1.97"
"CC([*:1])[*:2]","1819 (#6)","260","537","213","1.40","-9.23","12.06"
"[*:1]CO[*:2]","1558 (#7)","275","911","372","0.35","0.00","14.03"
"[*:1]OCCO[*:2]","1508 (#8)","148","666","171","-0.04","9.23","44.05"
"CC([*:2])O[*:1]","922 (#9)","236","478","208","0.78","0.00","28.06"
"[*:1]S([*:2])(=O)=O","846 (#10)","159","429","258","-0.55","24.91","48.07"
"[*:1]C([*:2])=O","828 (#11)","158","486","184","-0.07","7.84","12.01"
"CC(C)([*:1])[*:2]","793 (#12)","101","217","136","1.60","-9.23","26.08"
"[*:1]C(=O)O[*:2]","655 (#13)","103","399","153","0.16","17.07","28.01"
"[*:1]NC([*:2])=O","623 (#14)","105","331","187","-0.93","19.87","27.03"
"[*:1]OCC[*:2]","619 (#15)","171","311","137","0.78","0.00","28.05"
"[*:1]OCCOCCO[*:2]","557 (#16)","20","114","46","-0.09","18.46","88.11"
"[*:1]C(=O)N[*:2]","548 (#17)","107","276","165","-0.98","19.87","27.03"
"[*:1]CC[*:2]","374 (#18)","105","186","83","1.56","-9.23","12.06"
"[*:1]OCCC[*:2]","374 (#19)","88","202","84","1.32","0.00","42.09"
"[*:1]OCCOCCOCCO[*:2]","323 (#20)","5","62","23","-0.14","27.69","132.16"
"[*:1]OC([*:2])=O","295 (#21)","38","190","67","0.14","17.07","28.01"
"[*:1]N1CCN([*:2])CC1","272 (#22)","82","124","66","-0.06","-2.75","68.12"
"CC([*:1])O[*:2]","245 (#23)","55","130","60","0.77","0.00","28.06"
"CC(O)([*:1])[*:2]","243 (#24)","40","83","26","0.08","11.00","28.05"
"OC([*:1])[*:2]","232 (#25)","31","116","85","-0.17","11.00","14.02"
"[*:1]NS([*:2])(=O)=O","218 (#26)","51","128","39","-1.28","36.94","63.08"
"[*:1]OCCOCCOCCOCCO[*:2]","195 (#27)","0","38","12","-0.19","36.92","176.21"
"CCN([*:1])C[*:2]","194 (#28)","49","99","46","0.78","-5.99","41.10"
"[*:1]CCO[*:2]","187 (#29)","59","86","42","0.68","0.00","28.05"
"[*:1]C(=O)OC[*:2]","187 (#30)","32","99","56","0.52","17.07","42.04"
"[*:1]c1ccc(O[*:2])cc1","183 (#31)","67","90","26","1.65","0.00","76.10"
