Query fragment: [*:1]NC(N[*:2])=N[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"CC([*:2])CNC(N[*:1])=N[*:3]","15 (#1)","9","5","1","1.25","0.00","42.08"
"[*:1]NC(NC[*:2])=N[*:3]","7 (#2)","0","2","5","-0.18","0.00","14.03"
"CC(C)([*:3])N=C(N[*:1])N[*:2]","4 (#3)","1","1","2","1.05","0.00","42.08"
"[*:1]CCNC(N[*:2])=N[*:3]","3 (#4)","0","3","0","0.07","0.00","28.05"
"[*:1]NC(N[*:2])=NC[*:3]","3 (#5)","0","2","1","0.47","0.00","14.02"
"[*:1]NC(N[*:2])=NC(=O)c1ccc([*:3])cc1","2 (#6)","2","0","0","1.04","17.07","104.10"
"CC([*:3])CCN=C(N[*:1])N[*:2]","2 (#7)","1","1","0","1.61","0.00","56.11"
"CC([*:3])CN=C(N[*:1])N[*:2]","2 (#8)","1","1","0","1.24","0.00","42.08"
"CC([*:3])N=C(N[*:1])N[*:2]","2 (#9)","1","1","0","0.77","0.00","28.06"
"CN([*:3])C(N[*:1])=N[*:2]","2 (#10)","1","0","1","-0.01","-8.79","14.03"
"[*:1]NC(N[*:2])=NCC[*:3]","2 (#11)","1","1","0","0.84","0.00","28.05"
"CN([*:3])CCN=C(N[*:1])N[*:2]","2 (#12)","0","0","2","-1.83","3.24","57.10"
"[*:1]CNC(N[*:2])=N[*:3]","2 (#13)","0","0","2","-0.18","0.00","14.03"
"[*:1]NC(N[*:2])=NC(=O)c1ccc([*:3])nc1","2 (#14)","0","2","0","0.21","29.96","105.09"
"[*:1]NC(N[*:2])=NC(=O)c1cccc([*:3])c1","2 (#15)","0","2","0","1.04","17.07","104.10"
"[*:1]CNC(NC[*:2])=N[*:3]","1 (#16)","1","0","0","0.15","0.00","28.06"
"[*:1]NC(NCCC([*:2])c1ccccc1)=N[*:3]","1 (#17)","1","0","0","2.75","0.00","118.18"
"[*:1]NC(N[*:2])=C([*:3])C#N","1 (#18)","1","0","0","0.06","11.43","24.02"
"CC([*:2])NC(N[*:1])=N[*:3]","1 (#19)","0","1","0","0.77","0.00","28.05"
"CC([*:2])c1ccc(NC(N[*:1])=N[*:3])cc1","1 (#20)","0","1","0","3.15","0.00","104.16"
"CN([*:2])C(N[*:1])=N[*:3]","1 (#21)","0","1","0","0.22","-8.79","14.03"
"COc1cc(NC(N[*:1])=N[*:3])ccc1O[*:2]","1 (#22)","0","1","0","1.59","18.46","122.13"
"[*:1]CCNC(NC[*:2])=N[*:3]","1 (#23)","0","1","0","0.44","0.00","42.08"
"[*:1]NC(N[*:2])=NC(=O)c1cncc([*:3])c1","1 (#24)","0","1","0","-0.18","29.96","105.10"
"[*:1]NC(N[*:2])=Nc1cccc(OCCO[*:3])c1","1 (#25)","0","1","0","1.49","18.46","136.15"
"[*:1]NC(Nc1ccc(O[*:2])cc1)=N[*:3]","1 (#26)","0","1","0","1.75","9.23","92.10"
These data have been generated by SwissBioisostere version 2021, 08.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
