Query fragment: [O-][N+]([*:1])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"Cl[*:1]","2772 (#1)","620","1756","396","0.66","-43.14","-10.55"
"CO[*:1]","2519 (#2)","517","1505","497","-0.09","-33.91","-14.98"
"F[*:1]","2241 (#3)","513","1362","366","0.20","-43.14","-27.01"
"C[*:1]","1976 (#4)","461","1128","387","0.57","-43.14","-30.97"
"Br[*:1]","1695 (#5)","395","1002","298","0.82","-43.14","33.90"
"N[*:1]","1314 (#6)","328","666","320","-0.76","-17.12","-29.99"
"FC(F)(F)[*:1]","1208 (#7)","212","731","265","0.94","-43.14","23.00"
"[*:1]C#N","1181 (#8)","151","796","234","-0.08","-19.35","-19.99"
"O[*:1]","728 (#9)","168","420","140","-0.25","-22.91","-29.00"
"I[*:1]","384 (#10)","106","210","68","0.99","-43.14","80.90"
"OC([*:1])=O","340 (#11)","50","144","146","-0.28","-5.84","-0.99"
"[*:1]c1ccccc1","326 (#12)","77","157","92","1.71","-43.14","31.10"
"CN(C)[*:1]","303 (#13)","63","174","66","0.16","-39.90","-1.92"
"COC([*:1])=O","277 (#14)","42","163","72","0.06","-16.84","13.04"
"CC(=O)N[*:1]","264 (#15)","51","134","79","-0.70","-14.04","12.06"
"FC(F)(F)O[*:1]","219 (#16)","39","128","52","1.49","-33.91","39.00"
"CC([*:1])=O","213 (#17)","21","126","66","-0.38","-26.07","-2.96"
"CC(C)(C)[*:1]","190 (#18)","46","90","54","1.75","-43.14","11.11"
"NC([*:1])=O","187 (#19)","29","86","72","-1.09","-0.05","-1.97"
"CS([*:1])(=O)=O","178 (#20)","30","77","71","-1.10","-9.00","33.10"
"CC(C)[*:1]","161 (#21)","49","79","33","1.31","-43.14","-2.92"
"CC[*:1]","142 (#22)","38","72","32","1.02","-43.14","-16.94"
"NS([*:1])(=O)=O","118 (#23)","28","62","28","-1.33","17.02","34.08"
"CS[*:1]","116 (#24)","33","66","17","0.69","-43.14","1.09"
"CCO[*:1]","114 (#25)","45","49","20","0.26","-33.91","-0.95"
"OC[*:1]","104 (#26)","35","43","26","-0.71","-22.91","-14.97"
"[*:1]Oc1ccccc1","103 (#27)","29","53","21","1.56","-33.91","47.10"
"[*:1]OCc1ccccc1","94 (#28)","32","44","18","1.63","-33.91","61.13"
"CS(=O)(=O)N[*:1]","87 (#29)","17","43","27","-1.56","3.03","48.11"
"CCOC([*:1])=O","84 (#30)","14","52","18","0.45","-16.84","27.07"
"[*:1]NC(=O)c1ccccc1","63 (#31)","24","21","18","1.16","-14.04","74.12"
"CC(C)O[*:1]","53 (#32)","15","24","14","0.68","-33.91","13.08"
"CN[*:1]","51 (#33)","22","20","9","-0.47","-31.11","-15.96"
"[*:1]C=O","50 (#34)","7","33","10","-0.22","-26.07","-16.99"
"[*:1]N=[N+]=[N-]","44 (#35)","11","26","7","-2.44","5.62","-3.98"
"[*:1]N1CCOCC1","41 (#36)","12","18","11","-0.05","-30.67","40.11"
"CCC[*:1]","38 (#37)","13","16","9","1.61","-43.14","-2.92"
"CCCC[*:1]","37 (#38)","11","20","6","1.91","-43.14","11.12"
"[*:1]Cc1ccccc1","36 (#39)","5","18","13","2.15","-43.14","45.13"
"CN(C)C([*:1])=O","35 (#40)","11","10","14","-0.64","-22.83","26.08"
"CNC([*:1])=O","34 (#41)","10","16","8","-0.87","-14.04","12.05"
"CCC(=O)N[*:1]","32 (#42)","12","14","6","0.00","-14.04","26.08"
"Fc1cccc(CNC([*:1])=O)c1","31 (#43)","6","21","4","1.01","-14.04","106.14"
"[*:1]NC(=O)C=C","29 (#44)","10","18","1","0.06","-14.04","24.06"
"C[S@@+]([O-])[*:1]","29 (#45)","3","15","11","-1.20","-26.07","17.10"
"OS([*:1])(=O)=O","28 (#46)","5","12","11","-2.26","11.23","35.07"
"[*:1]c1cccs1","27 (#47)","7","14","6","1.49","-43.14","37.13"
"CCN([*:1])CC","26 (#48)","8","14","4","0.88","-39.90","26.12"
"NC[*:1]","26 (#49)","3","6","17","-2.18","-17.12","-15.95"
"[*:1]C#C","25 (#50)","9","13","3","0.21","-43.14","-20.97"
"Cc1ccc(cc1)S(=O)(=O)N[*:1]","24 (#51)","5","17","2","1.58","3.03","124.21"
"[*:1]N1CCCCC1","24 (#52)","5","12","7","1.02","-39.90","38.14"
"[*:1]N=C=S","24 (#53)","2","20","2","1.04","-30.78","12.08"
"[*:1]NS(=O)(=O)c1ccccc1","23 (#54)","4","13","6","0.54","3.03","110.18"
"CC(C)(C)OC(=O)N[*:1]","23 (#55)","3","18","2","0.97","-4.81","70.14"
"[*:1]c1ccco1","22 (#56)","9","7","6","0.77","-30.00","21.06"
"[*:1]NC(=O)Nc1ccccc1","21 (#57)","3","8","10","1.02","-2.01","89.15"
"[*:1]C(=O)c1ccccc1","20 (#58)","4","9","7","1.52","-26.07","59.11"
"CC(C)(O)[*:1]","20 (#59)","2","9","9","0.03","-22.91","13.09"
"[*:1]C1CC1","19 (#60)","7","4","8","0.85","-43.14","-4.93"
"NC([*:1])=N","19 (#61)","4","9","6","-1.30","6.73","-2.95"
"CN(C)C[*:1]","19 (#62)","3","8","8","0.00","-39.90","12.10"
"CCNC(=O)N[*:1]","18 (#63)","11","3","4","-0.46","-2.01","41.10"
"[*:1]NCc1ccccc1","18 (#64)","8","9","1","1.26","-31.11","60.14"
"CC(=O)NCCNC([*:1])=O","18 (#65)","6","8","4","-1.84","15.06","83.13"
"[*:1]c1ccncc1","18 (#66)","6","9","3","0.49","-30.25","32.09"
"[*:1]NC(=O)NCc1ccccc1","17 (#67)","5","9","3","0.91","-2.01","103.17"
"CC(=O)O[*:1]","17 (#68)","4","6","7","-0.33","-16.84","13.04"
"CC(O)[*:1]","17 (#69)","4","5","8","-0.29","-22.91","-0.95"
"Clc1ccc(NS([*:1])(=O)=O)cc1","17 (#70)","2","11","4","0.42","3.03","144.63"
"[*:1]NC(=O)COCc1ccccc1","16 (#71)","11","5","0","0.85","-4.81","118.18"
"COc1ccc([*:1])cc1","16 (#72)","7","4","5","1.55","-33.91","61.13"
"[*:1]S(=O)(=O)c1ccccc1","16 (#73)","7","8","1","0.90","-9.00","95.16"
"CCCO[*:1]","16 (#74)","5","7","4","0.78","-33.91","13.08"
"CNS([*:1])(=O)=O","16 (#75)","5","5","6","-1.11","3.03","48.11"
"CN(C)S([*:1])(=O)=O","16 (#76)","3","7","6","-0.89","-5.76","62.14"
"[*:1]c1ccccn1","16 (#77)","1","9","6","0.88","-30.25","32.09"
"OC(=O)CCC(NC([*:1])=O)C(O)=O","15 (#78)","13","2","0","-1.81","60.56","128.13"
"OCC(=O)N[*:1]","15 (#79)","10","5","0","-1.51","6.19","28.05"
"[*:1]NC(=O)CCOCc1ccccc1","15 (#80)","9","6","0","1.09","-4.81","132.20"
"OCCC(=O)N[*:1]","15 (#81)","8","7","0","-1.28","6.19","42.08"
"CN1CCN([*:1])CC1","15 (#82)","5","5","5","-0.11","-36.66","53.15"
"[*:1]C(=O)Nc1ccccc1","15 (#83)","5","6","4","0.94","-14.04","74.13"
"[*:1]N1CCCC1","15 (#84)","4","5","6","0.58","-39.90","24.11"
"CN(C)CC=CC(=O)N[*:1]","15 (#85)","0","15","0","-0.13","-10.80","81.16"
"COC(=O)N[*:1]","14 (#86)","4","9","1","-0.08","-4.81","28.05"
"[*:1]CC#N","14 (#87)","0","8","6","-0.32","-19.35","-5.96"
"COc1ccc(cc1)C(=O)N[*:1]","13 (#88)","8","3","2","0.99","-4.81","104.15"
"CC(C)C[*:1]","13 (#89)","4","6","3","1.75","-43.14","11.11"
"CS(=O)(=O)NC[*:1]","13 (#90)","3","6","4","-1.64","3.03","62.14"
"[*:1]n1ccnc1","13 (#91)","3","3","7","-0.17","-25.32","21.06"
"COCCO[*:1]","13 (#92)","1","8","4","-0.27","-24.68","29.08"
"Fc1ccc([*:1])cc1","13 (#93)","1","6","6","1.84","-43.14","49.09"
"[*:1]NC(=O)Cc1ccccc1","12 (#94)","6","5","1","1.13","-14.04","88.15"
"[*:1]OCC1CC1","12 (#95)","6","3","3","0.68","-33.91","25.09"
"CCCCO[*:1]","12 (#96)","4","6","2","1.22","-33.91","27.11"
"NC(=O)N[*:1]","12 (#97)","4","5","3","-1.04","11.98","13.04"
"[*:1]Nc1ccccc1","12 (#98)","3","5","4","1.50","-31.11","46.12"
"Clc1ccc([*:1])cc1","12 (#99)","2","5","5","2.46","-43.14","65.54"
"CCCCC(=O)N[*:1]","11 (#100)","8","3","0","0.89","-14.04","54.14"
"CC(C)C(=O)N[*:1]","11 (#101)","4","4","3","0.54","-14.04","40.11"
"[*:1]c1cccnc1","11 (#102)","4","4","3","0.49","-30.25","32.09"
"CCCCCCO[*:1]","11 (#103)","3","6","2","2.11","-33.91","55.17"
"CCCN[*:1]","11 (#104)","3","6","2","0.41","-31.11","12.10"
"CN([*:1])S(C)(=O)=O","11 (#105)","3","5","3","-1.35","-5.76","62.14"
"OC(=O)c1ccc([*:1])cc1","11 (#106)","3","4","4","1.36","-5.84","75.11"
"[*:1]n1cccc1","11 (#107)","3","6","2","1.02","-38.21","20.08"
"CCS(=O)(=O)N[*:1]","11 (#108)","2","7","2","-1.06","3.03","62.14"
"[*:1]c1ccsc1","11 (#109)","2","8","1","1.49","-43.14","37.13"
"FC(F)O[*:1]","11 (#110)","1","8","2","0.93","-33.91","21.01"
"CCN[*:1]","10 (#111)","7","2","1","-0.11","-31.11","-1.93"
