Query fragment: [*:1]C#C[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]C=C[*:2]","395 (#1)","83","229","83","0.07","0.00","2.02"
"[*:1]CC[*:2]","256 (#2)","48","120","88","-0.09","0.00","4.03"
"[*:1]C[*:2]","99 (#3)","18","37","44","-0.55","0.00","-9.99"
"[*:1]CO[*:2]","84 (#4)","10","42","32","-0.34","9.23","6.00"
"[*:1]O[*:2]","66 (#5)","10","27","29","-0.62","9.23","-8.03"
"CN([*:2])CC=C[*:1]","63 (#6)","17","39","7","-0.68","3.24","45.08"
"OC([*:1])C#C[*:2]","61 (#7)","49","11","1","-0.63","20.23","30.02"
"[*:1]OC[*:2]","59 (#8)","8","30","21","-0.55","9.23","6.01"
"[*:1]CCC[*:2]","33 (#9)","0","18","15","0.86","0.00","18.06"
"[*:1]C#CC[*:2]","30 (#10)","5","25","0","0.45","0.00","14.03"
"[*:1]CC#C[*:2]","29 (#11)","7","17","5","0.42","0.00","14.03"
"CC([*:1])[*:2]","26 (#12)","0","11","6","0.25","0.00","4.03"
"[*:1]c1ccc([*:2])cc1","24 (#13)","10","8","6","1.17","0.00","52.08"
"CC(C)([*:1])[*:2]","24 (#14)","0","5","7","0.56","0.00","18.06"
"[*:1]C#CCO[*:2]","23 (#15)","7","10","6","-0.64","9.23","30.03"
"[*:1]C(=O)N[*:2]","22 (#16)","4","7","11","-1.03","29.10","19.00"
"[*:1]C([*:2])=C","20 (#17)","3","6","11","0.05","0.00","2.02"
"[*:1]NC([*:2])=O","20 (#18)","3","4","13","-0.82","29.10","19.01"
"[*:1]NC[*:2]","19 (#19)","6","6","7","-0.93","12.03","5.02"
"[*:1]CCC#C[*:2]","19 (#20)","5","12","2","0.89","0.00","28.06"
"[*:1]CC=C[*:2]","19 (#21)","2","13","4","0.50","0.00","16.04"
"[*:1]C#CCC[*:2]","19 (#22)","1","8","10","0.88","0.00","28.05"
"CC(O)([*:1])[*:2]","18 (#23)","2","4","3","-1.06","20.23","20.03"
"[*:1]CCO[*:2]","15 (#24)","2","8","5","-0.08","9.23","20.03"
"CC([*:2])=C[*:1]","15 (#25)","0","13","2","0.38","0.00","16.04"
"OC(C[*:1])C[*:2]","15 (#26)","0","14","1","-0.88","20.23","34.06"
"[*:1]C(=O)O[*:2]","14 (#27)","2","8","4","-0.46","26.30","19.99"
"[*:1]N=N[*:2]","14 (#28)","1","10","3","0.28","24.72","3.99"
"[*:1]c1ccc(cc1)C#C[*:2]","14 (#29)","0","7","7","1.66","0.00","76.10"
"[*:1]C#Cc1ccc(O[*:2])cc1","13 (#30)","11","2","0","0.97","9.23","92.09"
"[*:1]CCCC#C[*:2]","13 (#31)","6","6","1","1.26","0.00","42.08"
"[*:1]c1ccc([*:2])nc1","13 (#32)","0","11","2","0.34","12.89","53.06"
"[*:1]c1ccc(cn1)C#C[*:2]","12 (#33)","10","2","0","0.82","12.89","77.08"
"[*:1]N[*:2]","12 (#34)","2","4","6","-0.68","12.03","-9.01"
"[*:1]c1cccc([*:2])c1","12 (#35)","2","4","6","1.18","0.00","52.07"
"[*:1]OCC#C[*:2]","11 (#36)","4","2","5","-0.08","9.23","30.03"
"[*:1]C#CCCC[*:2]","11 (#37)","0","3","8","1.34","0.00","42.08"
"[*:1]CS([*:2])(=O)=O","11 (#38)","0","8","3","-1.20","34.14","54.07"
"CC(C)N(CC#C[*:1])C(C)[*:2]","10 (#39)","4","2","4","0.98","3.24","99.18"
"[*:1]CCCO[*:2]","10 (#40)","2","4","4","0.37","9.23","34.06"
"[*:1]Cc1cc([*:2])no1","10 (#41)","2","6","2","0.13","26.03","57.05"
"[*:1]c1ccc(C[*:2])cc1","10 (#42)","2","4","4","1.11","0.00","66.11"
"[*:1]c1nc(CO[*:2])no1","10 (#43)","2","8","0","-0.48","48.15","74.04"
"[*:1]c1ccc(cc1)N1CCN([*:2])CC1","10 (#44)","1","9","0","0.57","6.48","136.20"
"[*:1]Oc1ccc([*:2])cc1","9 (#45)","4","2","3","1.03","9.23","68.07"
"[*:1]C#CCOCCO[*:2]","9 (#46)","3","4","2","-0.69","18.46","74.08"
"[*:1]c1cncc(c1)C#C[*:2]","9 (#47)","3","4","2","0.43","12.89","77.08"
"CN([*:1])CC=C[*:2]","9 (#48)","1","7","1","-0.67","3.24","45.09"
"CC(C)([*:2])C[*:1]","9 (#49)","0","8","1","0.49","0.00","32.09"
"CC(O)([*:2])C[*:1]","9 (#50)","0","9","0","-1.12","20.23","34.06"
"CC([*:1])C[*:2]","9 (#51)","0","8","1","0.45","0.00","18.06"
"CC([*:1])O[*:2]","9 (#52)","0","6","3","-0.37","9.23","20.04"
"CC([*:2])CC[*:1]","9 (#53)","0","8","1","0.64","0.00","32.09"
"CC([*:2])C[*:1]","9 (#54)","0","9","0","0.19","0.00","18.06"
"CCC([*:1])[*:2]","9 (#55)","0","8","1","0.45","0.00","18.06"
"CN([*:2])C(=O)CC[*:1]","9 (#56)","0","6","3","-1.78","20.31","61.08"
"COC(C[*:1])O[*:2]","9 (#57)","0","8","1","-0.90","18.46","50.06"
"[*:1]CCc1ccc(O[*:2])cc1","9 (#58)","0","9","0","1.92","9.23","96.13"
"[*:1]OCCC[*:2]","9 (#59)","0","4","5","0.19","9.23","34.06"
"[*:1]c1cc([*:2])no1","9 (#60)","0","9","0","-1.08","26.03","43.02"
"[*:1]c1ccc(s1)S([*:2])(=O)=O","9 (#61)","0","9","0","-0.47","34.14","122.17"
"[*:1]C([*:2])=O","8 (#62)","2","4","2","-1.21","17.07","3.99"
"[*:1]n1cc([*:2])nn1","8 (#63)","2","6","0","-0.38","30.71","43.03"
"[*:1]C#Cc1ccc([*:2])cc1","8 (#64)","1","3","4","1.65","0.00","76.10"
"CC(C)([*:2])Oc1ccc([*:1])cc1","8 (#65)","0","4","4","1.51","9.23","110.16"
"CC(C)([*:2])c1ccc([*:1])cc1","8 (#66)","0","3","5","2.16","0.00","94.16"
"[*:1]OC([*:2])=O","8 (#67)","0","3","5","-0.98","26.30","19.99"
"[*:1]OC=C[*:2]","8 (#68)","0","5","3","-0.81","9.23","18.01"
"[*:1]C#CCN1CCCC1CO[*:2]","7 (#69)","6","0","1","-0.16","12.47","113.16"
"CCCN(CC[*:2])CC#C[*:1]","7 (#70)","5","1","1","1.18","3.24","99.17"
"[*:1]c1ccc([*:2])s1","7 (#71)","3","3","1","1.08","0.00","58.10"
"[*:1]SC[*:2]","7 (#72)","2","4","1","-0.03","0.00","22.07"
"CCN(C[*:2])CC#C[*:1]","7 (#73)","1","1","5","0.14","3.24","71.12"
"[*:1]COC[*:2]","7 (#74)","1","6","0","-0.60","9.23","20.03"
"COC([*:1])[*:2]","7 (#75)","0","5","2","-0.46","9.23","20.03"
"[*:1]C=CC[*:2]","7 (#76)","0","1","6","0.58","0.00","16.04"
"[*:1]CCCC[*:2]","7 (#77)","0","0","7","1.31","0.00","32.09"
"[*:1]c1nccn1[*:2]","7 (#78)","0","2","5","-2.37","17.82","42.04"
"OCCN([*:2])CC=C[*:1]","6 (#79)","2","3","1","-1.36","23.47","75.11"
"CC([*:1])=C[*:2]","6 (#80)","1","4","1","0.51","0.00","16.05"
"CC([*:2])C#C[*:1]","6 (#81)","1","4","1","0.73","0.00","28.06"
"[*:1]CN[*:2]","6 (#82)","1","2","3","-0.93","12.03","5.02"
"[*:1]c1csc([*:2])c1","6 (#83)","1","5","0","0.95","0.00","58.11"
"OC([*:2])C#C[*:1]","6 (#84)","0","6","0","-0.71","20.23","30.03"
"OC1([*:2])CCC([*:1])CC1","6 (#85)","0","6","0","-0.24","20.23","74.12"
"[*:1]C=CCN1CCCC1CO[*:2]","6 (#86)","0","1","5","-0.25","12.47","115.18"
"[*:1]CC1CCC(CC1)O[*:2]","6 (#87)","0","5","1","0.31","9.23","88.15"
"[*:1]OCCO[*:2]","6 (#88)","0","4","2","-1.15","18.46","36.03"
"[*:1]c1ccc(cc1)-c1noc([*:2])n1","6 (#89)","0","4","2","0.79","38.92","120.11"
"[*:1]c1ccc(cc1)S([*:2])(=O)=O","6 (#90)","0","5","1","-0.55","34.14","116.14"
"CCN(C[*:2])CC=C[*:1]","5 (#91)","3","1","1","0.04","3.24","73.14"
"[*:1]C#CCCN1CCN([*:2])CC1","5 (#92)","1","4","0","-0.43","6.48","112.18"
"[*:1]C#CCCO[*:2]","5 (#93)","1","4","0","-0.35","9.23","44.05"
"[*:1]OCC=C[*:2]","5 (#94)","1","2","2","0.07","9.23","32.04"
"CCCCN(CCC[*:2])CC#C[*:1]","5 (#95)","0","0","5","2.08","3.24","127.23"
"[*:1]C#CCOCO[*:2]","5 (#96)","0","4","1","-0.58","18.46","60.05"
"[*:1]C=CCO[*:2]","5 (#97)","0","3","2","-0.74","9.23","32.05"
"[*:1]OCc1noc([*:2])n1","5 (#98)","0","5","0","-0.26","48.15","74.04"
"[*:1]S[*:2]","5 (#99)","0","2","3","0.07","0.00","8.04"
"[*:1]c1cccc(c1)C#C[*:2]","5 (#100)","0","1","4","1.65","0.00","76.10"
"[*:1]c1cncn1[*:2]","5 (#101)","0","2","3","-2.20","17.82","42.04"
"[*:1]c1cnnn1[*:2]","5 (#102)","0","2","3","-1.45","30.71","43.03"
"CN([*:1])CC#C[*:2]","4 (#103)","4","0","0","-0.57","3.24","43.07"
"Fc1ccc(C[*:1])c([*:2])c1","4 (#104)","4","0","0","1.67","0.00","84.10"
"[*:1]c1cnc(OCCO[*:2])cn1","4 (#105)","4","0","0","-1.05","44.24","114.10"
"FC(F)(F)c1cc([*:1])n([*:2])n1","4 (#106)","3","0","1","0.80","17.82","110.04"
"[*:1]NCc1cccc([*:2])c1","4 (#107)","2","2","0","0.20","12.03","81.12"
"[*:1]c1ccc([*:2])cn1","4 (#108)","2","1","1","0.34","12.89","53.06"
"CN([*:2])CC#C[*:1]","4 (#109)","1","3","0","-0.57","3.24","43.07"
"[*:1]Cn1cc([*:2])cn1","4 (#110)","1","1","2","-0.32","17.82","56.06"
"CN([*:2])C([*:1])=O","4 (#111)","0","4","0","-1.17","20.31","33.03"
"FC([*:2])=C[*:1]","4 (#112)","0","2","2","-0.18","0.00","20.01"
"[*:1]C(=O)C[*:2]","4 (#113)","0","1","3","-0.73","17.07","18.02"
"[*:1]C=C([*:2])c1ccccc1","4 (#114)","0","2","2","1.66","0.00","78.11"
"[*:1]CCCCO[*:2]","4 (#115)","0","2","2","0.81","9.23","48.09"
"[*:1]c1ccc(O[*:2])nc1","4 (#116)","0","4","0","-0.08","22.12","69.07"
"[*:1]c1cn(C[*:2])nn1","4 (#117)","0","2","2","-0.49","30.71","57.05"
"[*:1]C1CC1[*:2]","3 (#118)","2","1","0","-0.17","0.00","16.05"
"[*:1]C=CC=C[*:2]","3 (#119)","2","1","0","0.51","0.00","28.06"
"[*:1]c1ccccc1[*:2]","3 (#120)","2","0","1","1.18","0.00","52.08"
"CN([*:1])C[*:2]","3 (#121)","1","0","2","-0.29","3.24","19.05"
"[*:1]CCCC=C[*:2]","3 (#122)","1","2","0","1.46","0.00","44.10"
"[*:1]COc1ccc([*:2])cc1","3 (#123)","1","0","2","1.10","9.23","82.10"
"[*:1]CS[*:2]","3 (#124)","1","2","0","0.13","0.00","22.07"
"[*:1]N1CCN([*:2])CC1","3 (#125)","1","1","1","-0.80","6.48","60.10"
"[*:1]Oc1cccc([*:2])c1","3 (#126)","1","2","0","1.73","9.23","68.08"
"[*:1]c1ccccc1C#C[*:2]","3 (#127)","1","0","2","1.64","0.00","76.10"
"[*:1]c1cnn([*:2])c1","3 (#128)","1","2","0","-0.86","17.82","42.04"
"[*:1]c1csc([*:2])n1","3 (#129)","1","2","0","0.34","12.89","59.09"
"[*:1]n1cccc1[*:2]","3 (#130)","1","0","2","-0.12","4.93","41.05"
"[*:1]n1ccnc1[*:2]","3 (#131)","1","1","1","-2.37","17.82","42.04"
"CC(C)([*:2])C1CCC([*:1])CC1","3 (#132)","0","1","2","2.19","0.00","100.21"
"CC(C[*:1])O[*:2]","3 (#133)","0","3","0","-0.77","9.23","34.05"
"CC([*:2])Cc1ccc([*:1])cc1","3 (#134)","0","2","1","2.30","0.00","94.16"
"CC([*:2])c1ccc([*:1])cc1","3 (#135)","0","2","1","1.86","0.00","80.13"
"COC(CC[*:1])O[*:2]","3 (#136)","0","1","2","-0.84","18.46","64.08"
"COC([*:2])C[*:1]","3 (#137)","0","3","0","-0.77","9.23","34.05"
"Fc1cc([*:1])ccc1[*:2]","3 (#138)","0","2","1","1.27","0.00","70.06"
"OC([*:2])CC[*:1]","3 (#139)","0","3","0","-0.37","20.23","34.06"
"OC([*:2])CNc1ccc([*:1])cc1","3 (#140)","0","1","2","-0.19","32.26","111.15"
"[*:1]C#CC1([*:2])COC1","3 (#141)","0","0","3","-0.37","9.23","56.06"
"[*:1]C#CC=C1CCN([*:2])CC1","3 (#142)","0","1","2","0.77","3.24","95.14"
"[*:1]C#Cc1ccc(cc1)C#C[*:2]","3 (#143)","0","1","1","2.13","0.00","100.12"
