Query fragment: ON([*:1])C([*:2])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]NC([*:2])=O","18 (#1)","4","8","6","0.00","-11.44","-16.00"
"CN([*:1])C([*:2])=O","12 (#2)","4","2","6","0.22","-20.23","-1.97"
"[*:1]OC([*:2])=O","8 (#3)","4","4","0","0.73","-14.24","-15.02"
"[*:1]ONC([*:2])=O","6 (#4)","3","3","0","0.15","-2.21","0.00"
"ON([*:2])C([*:1])=O","6 (#5)","2","2","2","0.00","0.00","0.00"
"[*:1]NC(=S)N[*:2]","3 (#6)","3","0","0","0.67","-16.48","15.08"
"ON([*:1])C(S)=N[*:2]","3 (#7)","2","1","0","1.07","-4.71","31.08"
"ON([*:2])C(S)=N[*:1]","3 (#8)","2","1","0","1.07","-4.71","31.08"
"SC(O[*:2])=N[*:1]","3 (#9)","2","1","0","1.81","-18.95","16.06"
"SC(O[*:1])=N[*:2]","3 (#10)","1","2","0","1.81","-18.95","16.06"
"[*:1]NC(=O)N[*:2]","3 (#11)","1","2","0","-0.22","0.59","-0.99"
"CCN(C[*:1])C([*:2])=O","3 (#12)","0","0","3","0.95","-20.23","26.08"
"[*:1]C(=O)N[*:2]","3 (#13)","0","3","0","0.00","-11.44","-16.00"
"[*:1]NOC([*:2])=O","3 (#14)","0","3","0","0.44","-2.21","0.00"
"CC([*:2])C(=O)N(O)[*:1]","2 (#15)","1","1","0","1.25","0.00","28.06"
"OCCN([*:1])C([*:2])=O","2 (#16)","1","0","1","-0.37","0.00","28.05"
"CC(C)([*:1])ONC([*:2])=O","2 (#17)","0","0","2","1.22","-2.21","42.08"
"ON([*:1])C(=O)N[*:2]","2 (#18)","0","2","0","-0.22","12.03","15.01"
"[*:1]C[*:2]","2 (#19)","0","0","2","0.66","-40.54","-44.99"
"[*:1]NS([*:2])(=O)=O","2 (#20)","0","2","0","0.17","5.63","20.06"
"[*:1]S([*:2])(=O)=O","2 (#21)","0","2","0","0.40","-6.40","5.04"
"ON(CCCCCC[*:1])C([*:2])=O","1 (#22)","1","0","0","2.66","0.00","84.16"
"ON(CCCCC[*:1])C([*:2])=O","1 (#23)","1","0","0","2.21","0.00","70.13"
"ON(CCCC[*:1])C([*:2])=O","1 (#24)","1","0","0","1.77","0.00","56.11"
"ON(CCC[*:1])C([*:2])=O","1 (#25)","1","0","0","1.33","0.00","42.08"
"[*:1]N(C([*:2])=O)c1ccccc1","1 (#26)","1","0","0","1.88","-20.23","60.09"
"[*:1]N(C([*:2])=O)c1ccccn1","1 (#27)","1","0","0","1.26","-7.34","61.08"
"[*:1]N(C([*:2])=O)c1cccnc1","1 (#28)","1","0","0","0.67","-7.34","61.08"
"[*:1]N(C([*:2])=O)c1ccn[nH]1","1 (#29)","1","0","0","0.28","8.45","50.06"
"[*:1]N(C([*:2])=O)c1ccncc1","1 (#30)","1","0","0","0.67","-7.34","61.08"
"[*:1]N(C([*:2])=O)c1ccon1","1 (#31)","1","0","0","0.84","5.80","51.04"
"[*:1]N(C([*:2])=O)c1cn[nH]c1","1 (#32)","1","0","0","0.19","8.45","50.06"
"[*:1]N(C([*:2])=O)c1cnccn1","1 (#33)","1","0","0","0.04","5.55","62.07"
"[*:1]N(C([*:2])=O)c1ncco1","1 (#34)","1","0","0","0.51","5.80","51.04"
"[*:1]N(C([*:2])=O)c1nccs1","1 (#35)","1","0","0","1.23","-7.34","67.11"
"[*:1]N(C1CC1)C([*:2])=O","1 (#36)","1","0","0","0.69","-20.23","24.06"
"[*:1]N(CC=C)C([*:2])=O","1 (#37)","1","0","0","0.96","-20.23","24.06"
"CC(C)(C)N([*:1])C([*:2])=O","1 (#38)","0","1","0","1.28","-20.23","40.10"
"CN([*:1])CCCNC([*:2])=O","1 (#39)","0","1","0","0.08","-8.20","55.13"
"OCCCN([*:1])C([*:2])=O","1 (#40)","0","1","0","-0.41","0.00","42.08"
"ON(CC[*:1])C([*:2])=O","1 (#41)","0","1","0","0.88","0.00","28.05"
"ON(C[*:1])C([*:2])=O","1 (#42)","0","1","0","0.36","0.00","14.03"
"ON([*:2])C(=O)N[*:1]","1 (#43)","0","1","0","-0.22","12.03","15.01"
"[*:1]N(C([*:2])=O)c1ncccn1","1 (#44)","0","1","0","0.64","5.55","62.07"
"[*:1]N(C1CCCCC1)C([*:2])=O","1 (#45)","0","0","1","2.02","-20.23","66.14"
"[*:1]N(C1COC1)C([*:2])=O","1 (#46)","0","1","0","0.07","-11.00","40.06"
"[*:1]c1ccccc1NC([*:2])=O","1 (#47)","0","1","0","2.51","-11.44","60.10"
These data have been generated by SwissBioisostere version 2021, 08.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
