Query fragment: [*:1]OCO[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]O[*:2]","79 (#1)","24","40","15","-0.06","-9.23","-30.02"
"[*:1]OCCO[*:2]","35 (#2)","1","29","5","-0.11","0.00","14.02"
"[*:1]CO[*:2]","18 (#3)","0","15","3","-0.03","-9.23","-16.00"
"[*:1]OC[*:2]","16 (#4)","4","9","3","0.30","-9.23","-16.00"
"[*:1]OC([*:2])=O","16 (#5)","2","8","6","-0.30","7.84","-2.02"
"CC([*:2])O[*:1]","11 (#6)","1","8","2","0.71","-9.23","-1.97"
"[*:1]OCC[*:2]","10 (#7)","3","4","3","0.82","-9.23","-1.98"
"[*:1]OCCCO[*:2]","9 (#8)","0","8","1","-0.05","0.00","28.05"
"[*:1]C[*:2]","8 (#9)","5","1","2","1.07","-18.46","-32.00"
"[*:1]OC1COC([*:2])C1","8 (#10)","1","4","3","0.26","0.00","40.06"
"[*:1]OCOC[*:2]","8 (#11)","1","7","0","0.36","0.00","14.02"
"[*:1]S[*:2]","8 (#12)","0","8","0","0.72","-18.46","-13.95"
"CC(O[*:1])OC[*:2]","7 (#13)","0","1","6","0.59","0.00","28.05"
"CC(O[*:1])O[*:2]","7 (#14)","0","1","6","0.23","0.00","14.03"
"CCOC([*:2])O[*:1]","7 (#15)","0","1","6","0.59","0.00","28.05"
"CCN([*:1])C[*:2]","6 (#16)","2","1","3","0.43","-15.22","11.07"
"CC([*:1])CO[*:2]","6 (#17)","1","5","0","1.18","-9.23","12.06"
"CN([*:2])C[*:1]","6 (#18)","0","2","4","0.03","-15.22","-2.95"
"[*:1]SCO[*:2]","6 (#19)","0","4","2","0.63","-9.23","16.07"
"CC([*:1])O[*:2]","5 (#20)","0","5","0","0.71","-9.23","-1.97"
"CCCN([*:1])CC[*:2]","5 (#21)","0","5","0","1.76","-15.22","39.12"
"[*:1]N1CCCC1CO[*:2]","5 (#22)","0","5","0","0.42","-5.99","53.11"
"[*:1]OS([*:2])(=O)=O","4 (#23)","3","1","0","-0.80","24.91","34.04"
"CC([*:2])CO[*:1]","4 (#24)","2","2","0","1.18","-9.23","12.06"
"CN([*:1])[*:2]","4 (#25)","2","0","0","0.01","-15.22","-16.99"
"[*:1]OCCC[*:2]","4 (#26)","2","1","1","1.26","-9.23","12.06"
"CC(C)N([*:1])C(C)[*:2]","4 (#27)","0","4","0","1.55","-15.22","39.12"
"[*:1]CCO[*:2]","4 (#28)","0","1","3","0.81","-9.23","-1.97"
"[*:1]OCCOCO[*:2]","4 (#29)","0","4","0","-0.05","9.23","44.05"
"[*:1]OCS[*:2]","4 (#30)","0","1","3","0.43","-9.23","16.07"
"[*:1]C(=O)OC[*:2]","3 (#31)","1","0","2","0.45","7.84","12.01"
"[*:1]COC[*:2]","3 (#32)","1","2","0","0.45","-9.23","-1.97"
