Query fragment: [*:1]NC(=O)C=C[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]NC(=O)CC[*:2]","213 (#1)","27","109","72","-0.08","0.00","2.02"
"[*:1]NC([*:2])=O","203 (#2)","41","106","56","-0.51","0.00","-26.04"
"[*:1]NC(=O)C[*:2]","113 (#3)","18","56","35","-0.52","0.00","-12.01"
"[*:1]OC(=O)C=C[*:2]","50 (#4)","5","36","9","0.97","-2.80","0.98"
"[*:1]NC(=O)c1ccc([*:2])cc1","38 (#5)","15","15","8","1.14","0.00","50.06"
"[*:1]C=CC(=O)N[*:2]","38 (#6)","4","30","4","0.00","0.00","0.00"
"[*:1]NC(=O)C#C[*:2]","37 (#7)","10","25","2","0.01","0.00","-2.02"
"[*:1]NC(=O)CCC[*:2]","37 (#8)","7","18","11","0.36","0.00","16.05"
"[*:1]NC(=O)CO[*:2]","33 (#9)","9","15","9","-0.85","9.23","3.99"
"[*:1]NCC=C[*:2]","31 (#10)","4","15","12","0.44","-17.07","-13.99"
"[*:1]CCNC(=O)C=C[*:2]","30 (#11)","15","15","0","0.67","0.00","28.06"
"[*:1]NC(=O)CC=C[*:2]","27 (#12)","3","13","11","0.09","0.00","14.03"
"[*:1]NC(=O)C=CC=C[*:2]","26 (#13)","2","16","5","0.53","0.00","26.04"
"CN([*:2])CC=CC(=O)N[*:1]","25 (#14)","18","5","2","-0.58","3.24","43.07"
"[*:1]NC(=O)c1ccccc1[*:2]","25 (#15)","9","10","4","1.14","0.00","50.06"
"CC([*:2])=CC(=O)N[*:1]","24 (#16)","3","12","9","0.30","0.00","14.03"
"[*:1]CNC(=O)C=C[*:2]","24 (#17)","0","20","4","-0.29","0.00","14.03"
"[*:1]NC(=O)NC[*:2]","22 (#18)","3","10","9","-0.75","12.03","3.00"
"[*:1]NC(=O)N[*:2]","20 (#19)","5","9","6","-0.45","12.03","-11.02"
"[*:1]NC(=O)C([*:2])=C","20 (#20)","4","12","4","0.01","0.00","0.00"
"[*:1]NS([*:2])(=O)=O","18 (#21)","5","7","6","-0.75","17.07","10.01"
"[*:1]NC[*:2]","17 (#22)","1","8","8","-0.02","-17.07","-40.03"
"[*:1]NC(=O)c1cccc([*:2])c1","16 (#23)","3","5","6","1.33","0.00","50.06"
"CN([*:1])C(=O)C=C[*:2]","15 (#24)","2","8","5","0.23","-8.79","14.02"
"[*:1]NC(=O)OC[*:2]","14 (#25)","5","7","2","-0.02","9.23","3.99"
"[*:1]NC(=O)C([*:2])c1ccccc1","12 (#26)","8","2","2","1.06","0.00","64.09"
"[*:1]NC(=O)C=CCN1CCCC1CO[*:2]","12 (#27)","7","5","0","-0.15","12.47","113.16"
"[*:1]NC(=O)c1ccc([*:2])s1","12 (#28)","7","4","1","1.05","0.00","56.08"
"[*:1]NCC[*:2]","12 (#29)","2","4","6","0.27","-17.07","-25.99"
"[*:1]NCCC=C[*:2]","12 (#30)","1","6","5","0.88","-17.07","0.05"
"[*:1]NCC=CC[*:2]","12 (#31)","0","6","6","0.95","-17.07","0.05"
"[*:1]NCCCC[*:2]","12 (#32)","0","6","6","0.91","-17.07","2.06"
"[*:1]NCCC[*:2]","11 (#33)","7","2","2","0.46","-17.07","-11.96"
"[*:1]NC(=O)CCCC[*:2]","11 (#34)","4","4","0","0.81","0.00","30.07"
"[*:1]NC(=O)N=N[*:2]","11 (#35)","3","6","2","-0.06","24.72","1.98"
"[*:1]NC(=O)C=CC[*:2]","11 (#36)","2","6","3","0.36","0.00","14.03"
"CC([*:2])C(=O)N[*:1]","10 (#37)","5","2","3","0.10","0.00","2.01"
"[*:1]N1CC=C([*:2])NC1=O","10 (#38)","2","4","4","-1.04","3.24","27.02"
"[*:1]NC(=O)C1CC1[*:2]","10 (#39)","1","6","3","-0.16","0.00","14.03"
"CCCN(CC[*:2])CC#CC(=O)N[*:1]","9 (#40)","9","0","0","1.28","3.24","97.16"
"[*:1]NC(=O)C#CCN1CCCC1CO[*:2]","9 (#41)","9","0","0","-0.06","12.47","111.15"
"CN1CCC([*:2])C(C1)C(=O)N[*:1]","9 (#42)","5","2","2","-0.30","3.24","71.12"
"[*:1]NC(=O)C#CCOCCO[*:2]","9 (#43)","5","4","0","-0.59","18.46","72.06"
"[*:1]NC(=O)C#CCO[*:2]","9 (#44)","5","4","0","-0.54","9.23","28.01"
"[*:1]NCC([*:2])=O","9 (#45)","2","4","3","-0.91","0.00","-12.01"
"[*:1]NC(=O)C1CCCCC1[*:2]","9 (#46)","0","2","5","1.15","0.00","56.11"
"CC(C)N(CC#CC(=O)N[*:1])C(C)[*:2]","8 (#47)","6","2","0","1.07","3.24","97.16"
"Fc1cc(ccc1[*:2])C(=O)N[*:1]","8 (#48)","4","3","1","1.29","0.00","68.05"
"[*:1]NS(=O)(=O)C=C[*:2]","8 (#49)","2","4","2","-0.89","17.07","36.06"
"[*:1]NC(=O)C1CCCC1[*:2]","8 (#50)","1","3","0","0.71","0.00","42.08"
"[*:1]NC(=O)C#CCOCO[*:2]","7 (#51)","7","0","0","-0.48","18.46","58.04"
"CC(=C[*:2])C(=O)N[*:1]","7 (#52)","5","1","1","0.39","0.00","14.03"
"[*:1]NC(=O)CCO[*:2]","7 (#53)","2","2","3","-0.61","9.23","18.02"
"[*:1]NCC#C[*:2]","7 (#54)","1","4","2","0.46","-17.07","-16.00"
"[*:1]CCNC([*:2])=O","7 (#55)","0","6","1","-0.19","0.00","2.02"
"FC(=C[*:2])C(=O)N[*:1]","6 (#56)","3","3","0","-0.30","0.00","17.99"
"[*:1]NC(=O)COc1ccccc1OC[*:2]","6 (#57)","3","2","1","0.72","18.46","110.11"
