Query fragment: I[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"Cl[*:1]","1936 (#1)","265","1293","378","-0.32","0.00","-91.45"
"Br[*:1]","1880 (#2)","238","1417","225","-0.16","0.00","-47.00"
"F[*:1]","1287 (#3)","217","734","336","-0.78","0.00","-107.90"
"C[*:1]","847 (#4)","105","441","301","-0.42","0.00","-111.87"
"CO[*:1]","701 (#5)","88","372","241","-1.09","9.23","-95.87"
"FC(F)(F)[*:1]","440 (#6)","45","274","121","-0.05","0.00","-57.90"
"[O-][N+]([*:1])=O","384 (#7)","68","210","106","-0.99","43.14","-80.90"
"[*:1]c1ccccc1","311 (#8)","52","164","95","0.72","0.00","-49.79"
"[*:1]C#N","297 (#9)","47","129","121","-1.07","23.79","-100.89"
"O[*:1]","260 (#10)","55","115","90","-1.23","20.23","-109.89"
"N[*:1]","182 (#11)","29","74","79","-2.08","26.02","-110.88"
"CC[*:1]","178 (#12)","19","96","63","0.03","0.00","-97.84"
"CC(C)[*:1]","129 (#13)","17","76","36","0.32","0.00","-83.81"
"CC(C)(C)[*:1]","117 (#14)","15","54","48","0.62","0.00","-69.78"
"CS[*:1]","111 (#15)","22","57","32","0.26","0.00","-79.80"
"FC(F)(F)O[*:1]","95 (#16)","7","55","33","0.51","9.23","-41.90"
"[*:1]C#C","90 (#17)","7","59","24","-0.78","0.00","-101.87"
"CC([*:1])=O","81 (#18)","15","39","27","-1.02","17.07","-83.86"
"Fc1ccc([*:1])cc1","78 (#19)","11","38","29","0.86","0.00","-31.80"
"COC([*:1])=O","75 (#20)","7","30","38","-1.13","26.30","-67.86"
"CN(C)[*:1]","72 (#21)","6","40","26","-0.82","3.24","-82.83"
"OC([*:1])=O","70 (#22)","16","21","33","-1.22","37.30","-81.88"
"NC([*:1])=O","68 (#23)","17","21","30","-1.73","43.09","-82.87"
"CS([*:1])(=O)=O","67 (#24)","4","36","27","-2.09","34.14","-47.80"
"CC(=O)N[*:1]","64 (#25)","8","34","22","-1.66","29.10","-68.84"
"[*:1]C1CC1","62 (#26)","5","36","21","-0.15","0.00","-85.83"
"[*:1]Oc1ccccc1","57 (#27)","11","31","15","0.57","9.23","-33.80"
"CCO[*:1]","55 (#28)","3","26","26","-0.73","9.23","-81.85"
"[*:1]c1ccccn1","53 (#29)","15","32","6","0.24","12.89","-48.81"
"OC[*:1]","52 (#30)","7","22","23","-1.69","20.23","-95.87"
"[*:1]OCc1ccccc1","50 (#31)","10","27","13","0.64","9.23","-19.77"
"CCC[*:1]","49 (#32)","8","25","16","0.30","0.00","-83.81"
"[*:1]c1cccs1","47 (#33)","12","21","14","0.49","0.00","-43.77"
"NS([*:1])(=O)=O","45 (#34)","5","22","18","-2.32","60.16","-46.82"
"CCCC[*:1]","41 (#35)","2","22","17","0.92","0.00","-69.79"
"[*:1]C=C","40 (#36)","4","25","11","-1.26","0.00","-99.86"
"[*:1]C#Cc1ccccc1","39 (#37)","2","22","15","1.35","0.00","-25.78"
"[*:1]c1ccco1","37 (#38)","12","16","9","-0.22","13.14","-59.84"
"[*:1]N1CCOCC1","37 (#39)","8","9","20","-1.04","12.47","-40.79"
"[*:1]Cc1ccccc1","36 (#40)","4","23","9","1.17","0.00","-35.77"
"[*:1]c1ccsc1","35 (#41)","13","15","7","0.50","0.00","-43.77"
"CCCCC#C[*:1]","30 (#42)","13","10","7","1.42","0.00","-45.77"
"COc1cccc([*:1])c1","30 (#43)","8","8","14","0.57","9.23","-19.77"
"OCC#C[*:1]","30 (#44)","1","17","12","-1.22","20.23","-71.85"
"COc1ccc([*:1])cc1","29 (#45)","16","3","10","0.57","9.23","-19.77"
"[*:1]c1cccnc1","29 (#46)","10","14","5","-0.15","12.89","-48.81"
"CCOC([*:1])=O","29 (#47)","2","18","9","-0.57","26.30","-53.83"
