Query fragment: [*:1]SS[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1][Se][Se][*:2]","15 (#1)","7","8","0","0.00","0.00","93.78"
"[*:1]SSS[*:2]","3 (#2)","1","2","0","0.59","0.00","32.06"
"[*:1][Se][*:2]","3 (#3)","1","2","0","0.00","0.00","14.82"
"[*:1]OCCO[*:2]","3 (#4)","0","1","2","-0.76","18.46","-4.08"
"[*:1]S[*:2]","3 (#5)","0","2","1","-0.14","0.00","-32.07"
"[*:1]O[*:2]","2 (#6)","0","0","2","-0.72","9.23","-48.14"
"[*:1]SCS[*:2]","2 (#7)","0","0","2","0.00","0.00","14.03"
"[*:1]CS[*:2]","1 (#8)","0","0","1","-1.35","0.00","-18.04"
"[*:1]SC[*:2]","1 (#9)","0","0","1","-1.36","0.00","-18.04"
These data have been generated by SwissBioisostere version 2021, 08.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
