Query fragment: S[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"O[*:1]","142 (#1)","37","64","41","-0.58","20.23","-16.07"
"CC(=O)S[*:1]","92 (#2)","11","42","39","-0.16","17.07","42.04"
"N[*:1]","70 (#3)","23","25","22","-0.36","26.02","-17.06"
"CCCCCCCC(=O)S[*:1]","65 (#4)","0","4","61","2.76","17.07","126.20"
"SC[*:1]","58 (#5)","27","22","9","0.18","0.00","14.03"
"CS[*:1]","54 (#6)","22","16","16","0.09","0.00","14.02"
"ONC([*:1])=O","49 (#7)","9","26","14","-1.66","49.33","26.96"
"[*:1]c1ccccc1","33 (#8)","4","23","6","1.69","0.00","44.03"
"CC(C)[*:1]","29 (#9)","4","17","8","1.29","0.00","10.01"
"OC([*:1])=O","27 (#10)","1","12","14","-2.19","37.30","11.94"
"Oc1ccc([*:1])cc1","26 (#11)","7","15","4","1.23","20.23","60.03"
"C[*:1]","25 (#12)","3","12","10","-0.16","0.00","-18.04"
"[*:1]NC#N","23 (#13)","5","8","10","-1.92","35.82","7.96"
"CO[*:1]","19 (#14)","6","5","8","-0.25","9.23","-2.04"
"[*:1]CSC(=O)c1ccccc1","18 (#15)","8","3","7","2.31","17.07","118.13"
"[*:1]c1c[nH]c2ccccc12","17 (#16)","7","10","0","1.79","15.79","83.07"
"CN(C)[*:1]","17 (#17)","1","5","11","-0.39","3.24","11.00"
"NC(=N)S[*:1]","16 (#18)","3","6","7","-0.43","49.87","42.04"
"NC([*:1])=O","16 (#19)","0","12","4","-1.50","43.09","10.96"
"CN[*:1]","15 (#20)","4","5","6","-0.77","12.03","-3.02"
"FC(F)(F)[*:1]","15 (#21)","1","10","4","0.08","0.00","35.93"
"Cl[*:1]","14 (#22)","6","6","2","0.26","0.00","2.38"
"CCS[*:1]","14 (#23)","4","9","1","0.64","0.00","28.05"
"OC1CCN([*:1])C1","14 (#24)","0","2","12","-1.28","23.47","53.04"
"NS([*:1])(=O)=O","13 (#25)","5","8","0","-1.49","60.16","47.01"
"[*:1]SC(=O)c1ccccc1","13 (#26)","4","6","3","1.89","17.07","104.11"
"CCN(CC)CCS[*:1]","13 (#27)","0","12","1","0.83","3.24","99.18"
"F[*:1]","12 (#28)","5","4","3","-0.21","0.00","-14.08"
"[*:1]N=[N+]=[N-]","12 (#29)","2","7","3","0.33","48.76","8.95"
"[*:1]c1c[nH]cn1","12 (#30)","1","11","0","-0.39","28.68","33.99"
"OC(CN[*:1])c1ccccc1","12 (#31)","0","1","11","0.17","32.26","103.10"
