Query fragment: [*:1]N([*:2])[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]CN([*:3])C[*:2]","773 (#1)","70","552","151","0.71","0.00","28.05"
"[*:1]N([*:3])C[*:2]","580 (#2)","85","381","114","0.35","0.00","14.03"
"OC(=O)CN([*:2])CCN([*:1])[*:3]","370 (#3)","30","172","13","-0.93","40.54","101.11"
"[*:1]C([*:3])[*:2]","362 (#4)","99","197","66","0.68","-3.24","-0.99"
"OC(=O)CN([*:1])CCN([*:3])[*:2]","275 (#5)","30","172","13","-0.93","40.54","101.11"
"[*:1]C([*:2])N[*:3]","257 (#6)","62","136","59","0.40","8.79","14.03"
"C[N+]([*:1])([*:3])[*:2]","246 (#7)","50","65","28","-4.16","-3.24","15.03"
"[*:1]N([*:2])C[*:3]","220 (#8)","39","112","69","-0.16","0.00","14.02"
"[*:1]CN([*:3])[*:2]","207 (#9)","19","142","46","0.36","0.00","14.02"
"CC([*:1])([*:3])[*:2]","193 (#10)","36","61","24","1.96","-3.24","13.04"
"[*:1]N([*:3])CC[*:2]","175 (#11)","41","76","58","0.88","0.00","28.05"
"[*:1]CCN([*:3])CC[*:2]","166 (#12)","59","62","45","1.76","0.00","56.11"
"CC([*:1])([*:2])N[*:3]","147 (#13)","11","38","25","0.27","8.79","28.06"
"[*:1]N([*:3])CCOCCO[*:2]","142 (#14)","22","116","4","-1.48","18.46","88.10"
"CC([*:2])N([*:1])[*:3]","142 (#15)","17","73","52","0.77","0.00","28.05"
"[*:1]OCCOCCN([*:3])[*:2]","141 (#16)","22","115","4","-1.48","18.46","88.10"
"[*:1]N([*:3])CCO[*:2]","123 (#17)","18","80","25","-0.05","9.23","44.06"
"[*:1]N([*:2])C([*:3])=O","119 (#18)","29","48","42","-0.66","17.07","28.01"
"CN([*:2])CCN([*:1])[*:3]","114 (#19)","3","35","25","0.02","3.24","57.10"
"CC([*:1])([*:2])OC(=O)N[*:3]","100 (#20)","15","19","16","3.41","35.09","72.06"
"[*:1]C([*:2])O[*:3]","93 (#21)","25","48","20","0.24","5.99","15.01"
"CN([*:3])C([*:1])[*:2]","88 (#22)","10","38","40","0.78","0.00","28.06"
"[*:1]C([*:2])CN[*:3]","86 (#23)","25","43","18","0.60","8.79","28.05"
"[*:1]C([*:3])N[*:2]","72 (#24)","22","32","18","0.39","8.79","14.03"
"[*:1]CCN([*:3])[*:2]","69 (#25)","19","34","16","0.85","0.00","28.05"
"[*:1]N([*:3])C([*:2])=O","66 (#26)","28","29","9","-1.01","17.07","28.01"
"[*:1]N([*:2])CC(=O)N[*:3]","65 (#27)","15","38","12","-0.98","29.10","57.05"
"CN([*:3])CCN([*:1])[*:2]","62 (#28)","3","33","26","0.02","3.24","57.10"
"OC(=O)CN(CCN([*:1])CCN([*:3])[*:2])CC(O)=O","60 (#29)","30","30","0","-2.67","81.08","202.21"
"OC(=O)CN([*:1])CCN(CCN([*:3])[*:2])CC(O)=O","60 (#30)","30","30","0","-2.67","81.08","202.21"
"OC(=O)CN([*:1])CCN([*:3])CCN([*:2])CC(O)=O","60 (#31)","30","30","0","-2.67","81.08","202.21"
"OC(=O)CN([*:1])CCOCCOCCN([*:3])[*:2]","60 (#32)","30","30","0","-3.82","59.00","189.21"
