Query fragment: [*:1]C([*:2])=CC([*:3])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]C([*:2])=CC(=O)C=C[*:3]","6 (#1)","0","0","6","0.94","0.00","26.04"
"[*:1]C([*:2])CC([*:3])=O","5 (#2)","1","4","0","-0.21","0.00","2.01"
"[*:1]C([*:2])=CC(=O)c1cn(C[*:3])c2ccccc12","5 (#3)","0","4","1","2.05","4.93","129.16"
"OC([*:3])C=C([*:1])[*:2]","4 (#4)","1","2","1","-0.41","3.16","2.02"
"[*:1]C(=CC([*:3])=O)c1cccn1C[*:2]","3 (#5)","2","0","1","0.95","4.93","79.10"
"CC([*:1])([*:2])c1ccc(cc1)C([*:3])=O","3 (#6)","1","2","0","2.06","0.00","78.12"
"[*:1]C(=CC([*:3])=O)c1cccc(OC[*:2])c1","3 (#7)","1","2","0","1.57","9.23","106.12"
"[*:1]C(=CC([*:3])=O)c1ccc(O[*:2])cc1","3 (#8)","0","3","0","1.50","9.23","92.10"
"[*:1]C(=CC([*:3])=O)c1ccc(C[*:2])s1","2 (#9)","1","0","1","2.14","0.00","96.15"
"[*:1]C(CC([*:3])=O)O[*:2]","2 (#10)","0","2","0","-0.83","9.23","18.01"
"[*:1]C([*:2])=CC(=O)c1cccc(C[*:3])c1","2 (#11)","0","2","0","2.10","0.00","90.12"
"[*:1]C([*:2])=CC([*:3])=N","2 (#12)","0","1","1","0.01","6.78","-0.98"
"OC(=CC([*:3])=O)c1cc([*:1])cc(OC[*:2])c1","1 (#13)","1","0","0","1.26","29.46","122.12"
"OC([*:2])=CC(=O)C=Cc1ccc([*:1])c(O[*:3])c1","1 (#14)","1","0","0","1.90","29.46","134.14"
"Oc1cc(OC[*:2])cc(c1)C([*:1])=CC([*:3])=O","1 (#15)","1","0","0","1.26","29.46","122.12"
"Oc1ccc(C=CC(=O)C=C([*:1])[*:2])cc1O[*:3]","1 (#16)","1","0","0","1.90","29.46","134.14"
"[*:1]C(=CC([*:3])=O)c1cccc(C[*:2])c1","1 (#17)","1","0","0","2.09","0.00","90.13"
"[*:1]C(=CC([*:3])=O)c1ccsc1C[*:2]","1 (#18)","1","0","0","2.01","0.00","96.15"
"COc1cc(C=C(C([*:3])=O)C([*:2])=O)ccc1[*:1]","1 (#19)","0","1","0","1.96","26.30","134.13"
"Oc1c([*:1])nc([*:2])nc1[*:3]","1 (#20)","0","0","1","-0.97","28.94","40.02"
"Oc1nc([*:2])nc([*:3])c1[*:1]","1 (#21)","0","0","1","-0.97","28.94","40.02"
"[*:1]C(=CC([*:3])=O)c1cccc(NC([*:2])=O)c1","1 (#22)","0","1","0","1.09","29.10","119.12"
"[*:1]C(=CC([*:3])=O)c1cccc(NC[*:2])c1","1 (#23)","0","1","0","0.32","12.03","105.14"
"[*:1]C(=CC([*:3])=O)c1cccc(O[*:2])c1","1 (#24)","0","0","1","1.50","9.23","92.10"
"[*:1]C(=CC([*:3])=O)c1cccc([*:2])c1","1 (#25)","0","0","1","1.65","0.00","76.10"
"[*:1]C(=CC([*:3])=O)c1ccccc1OC[*:2]","1 (#26)","0","0","1","1.57","9.23","106.12"
These data have been generated by SwissBioisostere version 2021, 08.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
