Query fragment: OP(O)(=O)O[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"O[*:1]","110 (#1)","36","25","49","2.32","-46.53","-79.98"
"OP(O)(=S)O[*:1]","82 (#2)","16","60","6","0.89","-17.07","16.07"
"OC([*:1])P(O)(O)=O","23 (#3)","3","1","19","-1.10","11.00","14.03"
"OP(O)([*:1])=O","22 (#4)","2","12","8","-0.70","-9.23","-16.00"
"OP(O)(=O)C(F)(F)[*:1]","20 (#5)","5","10","5","-0.71","-9.23","34.01"
"OC([*:1])=O","20 (#6)","1","4","15","1.59","-29.46","-51.97"
"CO[*:1]","14 (#7)","5","4","5","2.90","-57.53","-65.95"
"OP(O)(=O)OP(O)(=O)O[*:1]","12 (#8)","6","5","1","-0.03","46.53","79.98"
"F[*:1]","11 (#9)","4","2","5","2.58","-66.76","-77.99"
"COP(=O)(OC)O[*:1]","8 (#10)","0","3","5","1.19","-22.00","28.05"
"OP(O)(=O)OP(O)(=O)OP(O)(=O)O[*:1]","7 (#11)","6","1","0","-1.07","93.06","159.96"
"[*:1]C#N","7 (#12)","1","0","6","3.78","-42.97","-70.97"
"CCOP(=O)(O[*:1])OCC","7 (#13)","0","6","1","4.61","-22.00","56.11"
"N[*:1]","6 (#14)","5","0","1","0.90","-40.74","-80.96"
"CC([*:1])=O","6 (#15)","3","0","3","0.52","-49.69","-53.94"
"CCO[*:1]","6 (#16)","2","1","3","3.25","-57.53","-51.93"
"OC[*:1]","6 (#17)","1","1","4","2.06","-46.53","-65.95"
"OC(=O)C[*:1]","6 (#18)","0","0","6","0.59","-29.46","-37.94"
"[*:1]N1CCOCC1","5 (#19)","4","1","0","2.72","-54.29","-10.87"
"CC(C)C(N)C(=O)O[*:1]","5 (#20)","2","0","3","1.68","-14.44","19.15"
"OP(O)(=O)CO[*:1]","5 (#21)","0","1","4","-0.67","0.00","14.03"
"COCCO[*:1]","4 (#22)","3","1","0","1.30","-48.30","-21.90"
"OCCO[*:1]","4 (#23)","3","1","0","0.66","-37.30","-35.93"
"CN1CCN([*:1])CC1","4 (#24)","2","1","1","2.84","-60.28","2.17"
"C[*:1]","4 (#25)","1","0","3","1.69","-66.76","-81.95"
"NC(=O)CO[*:1]","4 (#26)","1","0","3","2.15","-14.44","-22.93"
"OC(=O)CO[*:1]","4 (#27)","1","1","2","1.62","-20.23","-21.94"
"OP(=O)(O[*:1])OCc1ccccc1","4 (#28)","0","2","2","2.10","-11.00","90.12"
"CC(=O)N[*:1]","3 (#29)","3","0","0","0.20","-37.66","-38.93"
"CC(C)CO[*:1]","3 (#30)","3","0","0","5.15","-57.53","-23.87"
"COC1OC(CO)C(O[*:1])C1OP(O)(O)=O","3 (#31)","3","0","0","-0.50","47.92","146.15"
"CC(=O)NC[*:1]","3 (#32)","0","0","3","3.02","-37.66","-24.90"
"CC(C)(C)C(=O)O[*:1]","3 (#33)","0","2","1","5.51","-40.46","4.14"
"CCCS(=O)(=O)C[*:1]","3 (#34)","0","0","3","3.71","-32.62","24.19"
"CN(C)S(=O)(=O)C[*:1]","3 (#35)","0","0","3","2.89","-29.38","25.18"
"CS(=O)(=O)C[*:1]","3 (#36)","0","0","3","2.68","-32.62","-3.86"
"Cc1nnc([*:1])o1","3 (#37)","0","0","3","3.14","-27.84","-13.92"
"FC(F)(F)[*:1]","3 (#38)","0","0","3","5.09","-66.76","-27.98"
"Fc1ccc(OC[*:1])cc1","3 (#39)","0","0","3","5.79","-57.53","28.14"
