Query fragment: [*:1]N=C([*:2])[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]CN=C([*:3])[*:2]","35 (#1)","8","18","9","-0.61","0.00","14.03"
"CC([*:1])N=C([*:3])[*:2]","25 (#2)","5","10","1","0.77","0.00","28.06"
"[*:1]CCN=C([*:3])[*:2]","13 (#3)","5","7","1","0.88","0.00","28.06"
"[*:1]N=C([*:3])S[*:2]","11 (#4)","1","3","7","1.38","0.00","32.07"
"[*:1]NC(=O)C(Cc1c[nH]cn1)N=C([*:3])[*:2]","6 (#5)","3","3","0","-0.85","57.78","137.14"
"OC(=O)C([*:1])N=C([*:3])[*:2]","6 (#6)","0","6","0","0.21","37.30","58.03"
"CC(C)([*:1])N=C([*:3])[*:2]","5 (#7)","1","2","2","1.05","0.00","42.09"
"CC(C)([*:2])C([*:3])=N[*:1]","4 (#8)","1","2","1","1.80","0.00","42.08"
"CC([*:2])SC([*:3])=N[*:1]","4 (#9)","1","0","3","1.94","0.00","60.12"
"[*:1]N=C([*:3])SC[*:2]","4 (#10)","1","0","3","1.63","0.00","46.09"
"[*:1]N=C([*:3])c1cccc(O[*:2])c1","4 (#11)","1","1","2","1.70","9.23","92.10"
"[*:1]NC(=O)CN=C([*:3])[*:2]","4 (#12)","0","4","0","-0.63","29.10","57.05"
"[*:1]c1ccc(CN=C([*:3])[*:2])cc1","4 (#13)","0","1","3","1.02","0.00","90.13"
"CC([*:2])C([*:3])=N[*:1]","3 (#14)","1","1","1","1.24","0.00","28.05"
"OC(=O)CC(N=C([*:3])[*:2])C(=O)NC([*:1])C(O)=O","3 (#15)","0","3","0","-0.64","103.70","173.12"
"OC(=O)CC(N=C([*:3])[*:2])C(=O)N[*:1]","3 (#16)","0","3","0","-0.80","66.40","115.09"
"OC(=O)CC(NC(=O)C([*:1])N=C([*:3])[*:2])C(O)=O","3 (#17)","0","3","0","-0.64","103.70","173.12"
"[*:1]NC(=O)CCN=C([*:3])[*:2]","3 (#18)","0","3","0","-1.17","29.10","71.08"
"[*:1]NS(=O)(=O)c1ccc(cc1)N=C([*:3])[*:2]","3 (#19)","0","3","0","0.00","0.00","155.18"
"[*:1]N=C([*:3])C[*:2]","2 (#20)","2","0","0","0.70","0.00","14.02"
"[*:1]c1[nH]cnc1CSCCN=C([*:3])[*:2]","2 (#21)","2","0","0","0.21","28.68","140.22"
"[*:1]c1ccc(cc1)C(=O)N=C([*:3])[*:2]","2 (#22)","2","0","0","1.04","17.07","104.10"
"CC([*:1])CCN=C([*:3])[*:2]","2 (#23)","1","1","0","1.61","0.00","56.11"
"CC([*:1])CN=C([*:3])[*:2]","2 (#24)","1","1","0","1.24","0.00","42.08"
"[*:1]N=C([*:2])NCc1cccc([*:3])c1","2 (#25)","1","1","0","1.18","12.03","105.14"
"CN([*:1])CCN=C([*:3])[*:2]","2 (#26)","0","0","2","-1.83","3.24","57.10"
"[*:1]NC([*:3])=NCC[*:2]","2 (#27)","0","0","2","-1.82","12.03","43.07"
"[*:1]NC([*:3])=N[*:2]","2 (#28)","0","1","1","0.34","12.03","15.02"
"[*:1]ON=C([*:3])[*:2]","2 (#29)","0","1","1","-0.29","9.23","16.00"
"[*:1]c1ccc(cn1)C(=O)N=C([*:3])[*:2]","2 (#30)","0","2","0","0.21","29.96","105.09"
"[*:1]c1cccc(c1)C(=O)N=C([*:3])[*:2]","2 (#31)","0","2","0","1.04","17.07","104.10"
"COc1cc(CN=C([*:3])[*:2])ccc1O[*:1]","1 (#32)","1","0","0","1.41","18.46","136.16"
"COc1cc(O[*:1])ccc1N=C([*:3])[*:2]","1 (#33)","1","0","0","1.84","18.46","122.13"
"[*:1]C(C#N)=C([*:3])[*:2]","1 (#34)","1","0","0","0.06","11.43","24.02"
"[*:1]NCCC([*:3])[*:2]","1 (#35)","1","0","0","-0.46","-0.33","30.07"
"[*:1]OC(NC#N)=NCc1cccc(c1)N=C([*:3])[*:2]","1 (#36)","1","0","0","1.55","57.41","173.18"
"[*:1]OC([*:3])=NCc1cccc(c1)N=C([*:2])NC#N","1 (#37)","1","0","0","1.55","57.41","173.18"
"[*:1]Oc1ccc(cc1)N=C([*:3])[*:2]","1 (#38)","1","0","0","1.50","9.23","92.09"
"CCC([*:1])N=C([*:3])[*:2]","1 (#39)","0","1","0","1.56","0.00","42.08"
"[*:1]CCCN=C([*:3])[*:2]","1 (#40)","0","0","1","1.33","0.00","42.08"
"[*:1]NC(=O)CC([*:3])[*:2]","1 (#41)","0","1","0","-0.68","16.74","44.05"
"[*:1]NC([*:3])=NC(=O)CCCCC[*:2]","1 (#42)","0","0","1","-0.20","29.10","113.16"
"[*:1]NC([*:3])=NC(=O)NCCCCCC[*:2]","1 (#43)","0","0","1","-0.11","41.13","142.20"
"[*:1]NC([*:3])=NC(=O)NCCCC[*:2]","1 (#44)","0","0","1","-0.88","41.13","114.15"
"[*:1]NC([*:3])=NC(=O)NCCOCCOCC[*:2]","1 (#45)","0","0","1","-1.46","59.59","174.20"
"[*:1]NC([*:3])=NC(=O)NCC[*:2]","1 (#46)","0","0","1","-1.29","41.13","86.09"
"[*:1]OCCOc1cccc(c1)N=C([*:3])[*:2]","1 (#47)","0","1","0","1.49","18.46","136.15"
"[*:1]c1cncc(c1)C(=O)N=C([*:3])[*:2]","1 (#48)","0","1","0","-0.18","29.96","105.10"
These data have been generated by SwissBioisostere version 2021, 08.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
