Query fragment: [*:1]NC(=O)C(=O)N([*:2])[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"CN([*:1])C(=O)C(=O)N([*:3])[*:2]","3 (#1)","0","2","0","0.22","-8.79","14.03"
"CN([*:2])C(=O)C(=O)N([*:1])[*:3]","3 (#2)","0","2","0","0.22","-8.79","14.03"
"CC([*:3])([*:2])C(=O)N[*:1]","2 (#3)","1","0","0","2.20","-20.31","-14.97"
"CC([*:3])([*:2])NC(=O)N[*:1]","2 (#4)","0","1","0","1.34","-8.28","0.04"
"[*:1]NC(=O)N([*:3])[*:2]","2 (#5)","0","2","0","0.51","-17.07","-28.01"
"FC([*:3])([*:2])C(=O)N[*:1]","1 (#6)","1","0","0","1.47","-20.31","-11.01"
"OC([*:3])([*:2])C(=O)N[*:1]","1 (#7)","1","0","0","0.58","-0.08","-13.00"
"OCC([*:3])([*:2])C(=O)N[*:1]","1 (#8)","1","0","0","0.92","-0.08","1.02"
"[*:1]NC(=O)C([*:3])([*:2])n1cncn1","1 (#9)","1","0","0","0.82","10.40","38.05"
"[*:1]NC(=O)C([*:3])[*:2]","1 (#10)","1","0","0","1.64","-20.31","-29.00"
"[*:1]NC(=O)c1csc(NC([*:3])[*:2])n1","1 (#11)","1","0","0","2.23","4.61","69.13"
"CC(=O)N([*:1])CCN([*:3])[*:2]","1 (#12)","0","0","1","0.88","-25.86","14.07"
"CC(C)([*:3])OC(=O)N1CCN(CC1[*:2])C(=O)N[*:1]","1 (#13)","0","0","1","1.68","12.47","127.18"
"CC([*:3])(N[*:2])C(=O)N[*:1]","1 (#14)","0","1","0","0.91","-8.28","0.04"
"CC1CN(CCN1C(=O)OC(C)([*:3])[*:2])C(=O)N[*:1]","1 (#15)","0","0","1","1.68","12.47","127.18"
"CN([*:1])C(=O)CN([*:3])[*:2]","1 (#16)","0","0","1","0.75","-25.86","0.05"
"CN([*:2])CC(=O)N([*:1])[*:3]","1 (#17)","0","0","1","0.75","-25.86","0.05"
"CNC([*:3])([*:2])C(=O)N[*:1]","1 (#18)","0","1","0","0.91","-8.28","0.04"
"[*:1]N([*:2])C([*:3])=O","1 (#19)","0","1","0","0.62","-29.10","-43.02"
"[*:1]N([*:3])[*:2]","1 (#20)","0","0","1","0.84","-46.17","-71.03"
"[*:1]NC(=O)N1CC([*:3])NC([*:2])C1","1 (#21)","0","1","0","0.81","-5.04","41.09"
"[*:1]NC(=O)N1CCN(CC1)C([*:3])[*:2]","1 (#22)","0","1","0","1.13","-13.83","55.12"
"[*:1]NS(=O)(=O)N([*:3])[*:2]","1 (#23)","0","1","0","-0.12","0.00","8.05"
These data have been generated by SwissBioisostere version 2021, 09.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
