Query fragment: [*:1]OC(=O)C([*:2])=C[*:3]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]NC(=O)C([*:2])=C[*:3]","7 (#1)","2","4","1","-0.61","2.80","-0.98"
"[*:1]OC(=O)C=C([*:3])[*:2]","7 (#2)","0","7","0","-0.16","0.00","0.00"
"[*:1]OC(=O)C([*:2])C[*:3]","3 (#3)","0","3","0","-0.16","0.00","2.02"
"[*:1]OC(=O)C=Cc1cc(O[*:2])ccc1O[*:3]","2 (#4)","1","0","1","0.51","18.46","108.10"
"[*:1]OC(=O)C=Cc1ccc(O[*:2])cc1O[*:3]","2 (#5)","1","1","0","0.51","18.46","108.10"
"CC([*:3])([*:2])C(=O)N[*:1]","2 (#6)","0","1","0","-0.35","2.80","1.04"
"CC([*:3])([*:2])C(=O)O[*:1]","2 (#7)","0","1","0","0.02","0.00","2.02"
"CC([*:3])([*:2])OC(=O)N[*:1]","2 (#8)","0","0","1","-0.47","12.03","17.03"
"CC(CCC=C([*:3])[*:2])CC(=O)O[*:1]","1 (#9)","1","0","0","1.32","0.00","70.14"
"CC([*:2])=CCCC([*:3])CC(=O)O[*:1]","1 (#10)","1","0","0","1.32","0.00","70.14"
"[*:1]OCCNC(=O)C([*:2])=C[*:3]","1 (#11)","1","0","0","-1.01","12.03","43.07"
"COc1c(O[*:3])cc(C=CC(=O)O[*:1])cc1O[*:2]","1 (#12)","0","0","1","0.35","27.69","138.13"
"COc1cc(C=CC(=O)O[*:1])cc(O[*:2])c1O[*:3]","1 (#13)","0","0","1","0.35","27.69","138.13"
"COc1cc(C=CC(=O)O[*:1])cc(O[*:3])c1O[*:2]","1 (#14)","0","0","1","0.35","27.69","138.13"
"[*:1]NC(=O)C=C([*:3])[*:2]","1 (#15)","0","1","0","-0.76","2.80","-0.98"
"[*:1]NC(=O)CC=C([*:3])[*:2]","1 (#16)","0","1","0","-0.67","2.80","13.05"
"[*:1]NC(=O)CCC=C([*:3])[*:2]","1 (#17)","0","1","0","-0.23","2.80","27.07"
"[*:1]NC(=O)OCC([*:3])[*:2]","1 (#18)","0","0","1","-0.28","12.03","17.03"
"[*:1]OC(=O)C(C[*:3])C[*:2]","1 (#19)","0","1","0","0.36","0.00","16.04"
"[*:1]OC(=O)C([*:2])=NO[*:3]","1 (#20)","0","1","0","-0.71","21.59","16.99"
"[*:1]OC(=O)c1c(O[*:3])cccc1O[*:2]","1 (#21)","0","0","1","-0.04","18.46","82.06"
These data have been generated by SwissBioisostere version 2021, 09.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
