Query fragment: ON=C([*:1])[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]C([*:2])=O","151 (#1)","36","79","36","-0.01","-15.52","-15.01"
"OC([*:1])[*:2]","125 (#2)","25","65","35","0.08","-12.36","-13.00"
"CON=C([*:1])[*:2]","104 (#3)","17","60","27","0.38","-11.00","14.03"
"NC([*:1])[*:2]","58 (#4)","1","43","14","-0.32","-6.57","-13.98"
"CC([*:2])NCC(O)[*:1]","48 (#5)","15","32","1","-0.04","-0.33","44.10"
"OC([*:1])CN[*:2]","42 (#6)","31","10","1","-1.28","-0.33","16.04"
"[*:1]C([*:2])=NOCc1ccccc1","41 (#7)","8","9","24","2.32","-11.00","90.12"
"CC(C)NC([*:1])[*:2]","41 (#8)","5","30","6","0.65","-20.56","28.10"
"[*:1]C([*:2])=NOC1CCCCO1","39 (#9)","3","10","26","1.28","-1.77","84.12"
"[*:1]C([*:2])=C","35 (#10)","7","17","11","0.96","-32.59","-16.99"
"[*:1]C([*:2])=N","32 (#11)","18","5","9","-0.14","-8.74","-16.00"
"CC(=O)OC([*:1])[*:2]","32 (#12)","3","20","9","0.12","-6.29","29.04"
"COCC([*:1])OC([*:2])=O","32 (#13)","1","15","16","-0.06","2.94","59.07"
"[*:1]C1CCN([*:2])CC1","31 (#14)","1","28","2","0.20","-29.35","40.11"
"FC(F)(F)C([*:1])OC([*:2])=O","30 (#15)","4","6","20","0.94","-6.29","83.01"
"CC([*:2])C([*:1])=NO","28 (#16)","0","14","14","1.24","0.00","28.06"
"CC(O)([*:1])[*:2]","27 (#17)","0","21","5","1.09","-12.36","1.02"
"CC(C)C([*:1])N[*:2]","25 (#18)","0","19","6","0.65","-20.56","28.10"
"CC(C)C([*:1])NC(C)[*:2]","24 (#19)","0","4","20","1.89","-20.56","56.16"
"CC(C)NC([*:1])C(C)[*:2]","24 (#20)","0","4","20","1.89","-20.56","56.16"
"[*:1]C([*:2])=NOCC=C","22 (#21)","5","11","6","2.25","-11.00","40.07"
"CC([*:2])=NO[*:1]","22 (#22)","1","10","11","0.59","-11.00","14.03"
"CCON=C([*:1])[*:2]","19 (#23)","2","11","6","1.88","-11.00","28.06"
"NN=C([*:1])[*:2]","17 (#24)","2","8","7","-0.29","5.79","-0.98"
"CC1([*:2])COCC([*:1])N1","16 (#25)","12","4","0","0.35","-11.33","56.11"
"[*:1]c1cc([*:2])no1","16 (#26)","6","10","0","0.32","-6.56","24.03"
"CC([*:1])NC(C)[*:2]","16 (#27)","5","11","0","1.00","-20.56","28.10"
"[*:1]C([*:2])=NOCC#N","16 (#28)","5","9","2","1.06","12.79","39.04"
"[*:1]c1csc([*:2])n1","16 (#29)","4","12","0","0.77","-19.70","40.09"
"[*:1]O[*:2]","16 (#30)","3","10","3","-0.13","-23.36","-27.03"
"CC([*:2])N1CCC([*:1])CC1","16 (#31)","0","4","12","1.44","-29.35","68.17"
"[*:1]C1(CCCNC1)O[*:2]","16 (#32)","0","13","3","0.16","-11.33","56.11"
"[*:1]C1([*:2])COC1","16 (#33)","0","10","6","0.40","-23.36","13.04"
"[*:1]c1nccn1[*:2]","16 (#34)","0","13","3","0.08","-14.77","23.04"
"CC([*:1])N[*:2]","15 (#35)","10","5","0","-0.24","-20.56","0.04"
"Oc1ccc(CC([*:1])=NO[*:2])cc1","15 (#36)","2","6","7","1.80","9.23","106.12"
"[*:1]c1cc([*:2])on1","14 (#37)","4","10","0","0.55","-6.56","24.03"
"CCC(O)([*:1])[*:2]","14 (#38)","1","6","1","1.61","-12.36","15.05"
"CN([*:2])S(=O)(=O)n1ccnc1[*:1]","14 (#39)","1","13","0","-1.34","22.61","116.15"
"[*:1]C(=O)N[*:2]","14 (#40)","1","9","4","-0.33","-3.49","0.00"
"CC([*:2])NC([*:1])=O","14 (#41)","0","2","12","-0.15","-3.49","28.06"
"CC([*:2])NCC1([*:1])COC1","14 (#42)","0","8","6","0.22","-11.33","70.14"
"CN([*:2])c1cccc([*:1])n1","14 (#43)","0","0","14","1.47","-16.46","63.11"
"COc1cc(O[*:2])nc([*:1])n1","14 (#44)","0","3","11","1.01","11.65","81.08"
"Cc1cc([*:1])nn1[*:2]","14 (#45)","0","7","7","0.61","-14.77","37.07"
"Cn1nc([*:1])cc1[*:2]","14 (#46)","0","7","7","0.61","-14.77","37.07"
"FC(F)(F)CNC([*:1])[*:2]","14 (#47)","0","11","3","1.19","-20.56","68.05"
"[*:1]c1cc2ncccc2n1[*:2]","14 (#48)","0","5","9","1.31","-14.77","73.10"
"[*:1]c1cccc(O[*:2])n1","14 (#49)","0","6","8","1.20","-10.47","50.06"
"[*:1]C1(CN[*:2])COC1","13 (#50)","6","6","1","-1.02","-11.33","42.08"
"CC(C)C(O)COC([*:1])[*:2]","13 (#51)","0","5","8","0.81","-3.13","73.13"
"CC(C)C([*:1])OCC(O)[*:2]","13 (#52)","0","5","8","0.81","-3.13","73.13"
"NC(=O)CNC([*:1])[*:2]","12 (#53)","11","1","0","0.04","22.53","43.07"
"[*:1]C[*:2]","12 (#54)","2","8","2","2.71","-32.59","-29.00"
"CC(C)C(O)COC([*:1])C(C)[*:2]","12 (#55)","0","0","12","2.05","-3.13","101.19"
"CC(C)C([*:1])OCC(O)C(C)[*:2]","12 (#56)","0","0","12","2.05","-3.13","101.19"
"[*:1]C(=O)Nc1cc([*:2])ccn1","12 (#57)","0","4","8","0.98","9.40","77.09"
"[*:1]C(=O)Nc1ncccc1O[*:2]","12 (#58)","0","0","12","0.31","18.63","93.09"
"CC(C)(C)ON=C([*:1])[*:2]","10 (#59)","2","2","6","1.43","-11.00","56.11"
"[*:1]C(=O)Nc1nccc(O[*:2])n1","10 (#60)","0","0","10","0.28","31.52","94.08"
"[*:1]C(Cc1ccccc1)=NO[*:2]","9 (#61)","3","1","5","2.11","-11.00","90.13"
"FC(F)(F)c1ccc(OC([*:1])[*:2])cc1","9 (#62)","2","1","6","4.05","-23.36","131.09"
"[*:1]NC([*:2])=O","9 (#63)","2","7","0","-0.33","-3.49","0.00"
"NCCON=C([*:1])[*:2]","8 (#64)","0","1","7","-2.40","15.02","43.07"
"ON=C([*:2])C[*:1]","8 (#65)","0","3","5","0.69","0.00","14.03"
"[*:1]C([*:2])Oc1ccc2OCOc2c1","7 (#66)","2","2","3","2.79","-4.90","107.11"
"ON=C([*:1])C[*:2]","7 (#67)","1","6","0","0.19","0.00","14.03"
"ON=C([*:2])CC[*:1]","7 (#68)","1","1","5","1.14","0.00","28.05"
"OC(=O)CON=C([*:1])[*:2]","7 (#69)","0","0","7","-0.69","26.30","58.04"
"CCCON=C([*:1])[*:2]","6 (#70)","3","1","2","2.40","-11.00","42.08"
"CC([*:2])C(O)[*:1]","6 (#71)","1","5","0","0.79","-12.36","15.06"
"CC(=O)NC([*:1])[*:2]","6 (#72)","0","4","2","-0.51","-3.49","28.06"
"CC(C)CON=C([*:1])[*:2]","6 (#73)","0","1","5","2.84","-11.00","56.11"
"CC([*:1])C(O)[*:2]","6 (#74)","0","1","2","1.19","-12.36","15.05"
"CC([*:1])NC([*:2])=O","6 (#75)","0","4","2","-0.51","-3.49","28.06"
"CC([*:1])[*:2]","6 (#76)","0","2","2","1.84","-32.59","-14.97"
"CC([*:2])CON=C(C)[*:1]","6 (#77)","0","1","5","2.84","-11.00","56.11"
"OCCON=C([*:1])[*:2]","6 (#78)","0","5","1","1.18","9.23","44.05"
"[*:1]N[*:2]","5 (#79)","3","0","2","0.94","-20.56","-28.01"
"[*:1]OC([*:2])=O","5 (#80)","2","0","3","0.65","-6.29","0.98"
"Brc1cccc(CC([*:1])=NO[*:2])c1","5 (#81)","0","0","5","2.87","-11.00","169.03"
"CN=C([*:1])[*:2]","4 (#82)","3","1","0","0.25","-20.23","-1.98"
"[*:1]CCON=C([*:2])c1ccccc1","4 (#83)","3","1","0","2.48","-11.00","104.15"
"CC(C)ON=C([*:1])[*:2]","4 (#84)","2","0","2","2.30","-11.00","42.08"
"CN([*:1])[*:2]","4 (#85)","2","1","1","1.55","-29.35","-13.98"
"COc1ccc(OC([*:1])[*:2])cc1","4 (#86)","2","0","2","2.97","-14.13","93.12"
"[*:1]C(=O)c1ccc([*:2])cc1","4 (#87)","1","0","3","2.76","-15.52","61.08"
"[*:1]COC([*:2])=O","4 (#88)","1","2","1","0.16","-6.29","15.01"
"CC(C)([*:1])C([*:2])=NO","4 (#89)","0","1","3","1.80","0.00","42.08"
"CN([*:1])N=C(C)[*:2]","4 (#90)","0","0","2","-0.13","-16.99","27.07"
"FC1CC([*:2])N([*:1])C1","4 (#91)","0","3","1","0.41","-29.35","44.07"
"[*:1]C(=O)OC[*:2]","4 (#92)","0","4","0","2.29","-6.29","15.01"
"[*:1]CCON=C[*:2]","4 (#93)","0","4","0","0.89","-11.00","28.05"
"[*:1]N1CCC([*:2])C1","4 (#94)","0","0","4","0.27","-29.35","26.08"
"[*:1]N1CCC1[*:2]","4 (#95)","0","0","4","0.15","-29.35","12.05"
"[*:1]N1CCCC1[*:2]","4 (#96)","0","1","3","0.67","-29.35","26.08"
"[*:1]N1CCCCC1[*:2]","4 (#97)","0","2","2","1.11","-29.35","40.10"
