Query fragment: [*:1]N=[N+]=[N-]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"N[*:1]","145 (#1)","26","74","45","-1.25","-22.74","-26.00"
"O[*:1]","120 (#2)","24","55","41","-0.82","-28.53","-25.01"
"CC(=O)N[*:1]","63 (#3)","15","20","28","-1.11","-19.66","16.04"
"CO[*:1]","58 (#4)","13","23","22","-0.58","-39.53","-10.99"
"F[*:1]","57 (#5)","16","32","9","-0.28","-48.76","-23.03"
"Cl[*:1]","51 (#6)","14","32","5","0.18","-48.76","-6.57"
"[O-][N+]([*:1])=O","44 (#7)","7","26","11","2.44","-5.62","3.98"
"[*:1]N=C=S","44 (#8)","3","32","9","0.60","-36.40","16.06"
"C[*:1]","40 (#9)","8","19","13","0.09","-48.76","-26.99"
"CS(=O)(=O)N[*:1]","35 (#10)","4","9","22","-1.61","-2.59","52.09"
"[*:1]C#N","34 (#11)","10","14","10","2.34","-24.97","-16.00"
"Br[*:1]","32 (#12)","7","22","3","0.35","-48.76","37.88"
"CS([*:1])(=O)=O","24 (#13)","9","9","6","-1.58","-14.62","37.08"
"[*:1]n1cc(nn1)-c1ccccc1","24 (#14)","8","13","3","1.17","-18.05","102.13"
"COC(=O)N[*:1]","23 (#15)","4","11","8","-0.48","-10.43","32.03"
"CS[*:1]","22 (#16)","10","10","2","4.08","-48.76","5.08"
"CN[*:1]","18 (#17)","6","5","7","-0.49","-36.73","-11.98"
"C[S@@+]([O-])[*:1]","18 (#18)","6","8","4","-1.41","-31.69","21.08"
"I[*:1]","18 (#19)","6","12","0","0.94","-48.76","84.89"
"[*:1]n1ccnn1","16 (#20)","7","6","3","-0.72","-18.05","26.03"
"CN(C)[*:1]","16 (#21)","2","4","10","-0.32","-45.52","2.06"
"OCC(=O)N[*:1]","15 (#22)","8","7","0","-2.00","0.57","32.04"
"OCCC(=O)N[*:1]","15 (#23)","6","9","0","-1.77","0.57","46.07"
"[*:1]NC(=O)COCc1ccccc1","15 (#24)","6","9","0","0.36","-10.43","122.17"
"[*:1]n1cncn1","15 (#25)","6","6","3","-0.59","-18.05","26.04"
"[*:1]NC(=O)CCOCc1ccccc1","15 (#26)","5","8","2","0.60","-10.43","136.19"
"COC(=O)N(C)[*:1]","15 (#27)","3","7","5","-0.27","-19.22","46.07"
"FC(F)(F)[*:1]","15 (#28)","3","6","6","0.52","-48.76","26.99"
"[*:1]NC(=O)C=C","15 (#29)","3","9","3","-0.43","-19.66","28.05"
"CN(C)CC=CC(=O)N[*:1]","15 (#30)","2","9","4","-0.62","-16.42","85.15"
"CCO[*:1]","14 (#31)","7","1","6","-0.22","-39.53","3.04"
"OC1CCN([*:1])C1","14 (#32)","0","2","12","-0.85","-25.29","44.09"
"Fc1ncccc1OCCCCc1cn([*:1])nn1","12 (#33)","7","4","1","1.66","4.07","193.22"
"CC(=O)OCC1OC(OCc2cn([*:1])nn2)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O","12 (#34)","6","6","0","-1.41","105.61","386.35"
"CP(C)(=O)O[*:1]","12 (#35)","6","3","3","-1.02","-22.46","51.02"
