Query fragment: [*:1]N=N[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]C=C[*:2]","41 (#1)","10","20","11","-0.06","-24.72","-1.98"
"[*:1]O[*:2]","17 (#2)","4","6","7","-0.91","-15.49","-12.02"
"[*:1]C#C[*:2]","14 (#3)","3","10","1","-0.28","-24.72","-3.99"
"[*:1]C=N[*:2]","10 (#4)","2","5","3","-0.53","-12.36","-0.99"
"[*:1]CN[*:2]","8 (#5)","2","4","2","-1.21","-12.69","1.03"
"[*:1]N[*:2]","7 (#6)","4","2","1","-0.97","-12.69","-13.00"
"[*:1]C([*:2])=O","6 (#7)","2","3","1","-0.95","-7.65","0.00"
"[*:1]C[*:2]","6 (#8)","0","3","3","-0.32","-24.72","-13.99"
"[*:1]C=CC([*:2])=O","4 (#9)","1","1","2","-0.49","-7.65","26.03"
"[*:1]C(=O)N[*:2]","4 (#10)","0","3","1","-1.31","4.38","15.01"
"[*:1]NC([*:2])=O","3 (#11)","1","1","1","-1.31","4.38","15.01"
"[*:1]Oc1ccc([*:2])cc1","3 (#12)","1","0","2","0.74","-15.49","64.08"
"[*:1]C(=O)NN[*:2]","2 (#13)","2","0","0","0.18","16.41","30.02"
"[*:1]C(=O)NO[*:2]","2 (#14)","2","0","0","-0.54","13.61","31.01"
"[*:1]OC(=O)NN[*:2]","2 (#15)","2","0","0","0.05","25.64","46.02"
"[*:1]OC(=O)NO[*:2]","2 (#16)","2","0","0","-0.67","22.84","47.01"
"[*:1]S(=O)(=O)NCC[*:2]","2 (#17)","2","0","0","-1.57","21.45","79.12"
"[*:1]S(=O)(=O)NC[*:2]","2 (#18)","2","0","0","-1.86","21.45","65.09"
"[*:1]NC(=O)NN=N[*:2]","2 (#19)","1","1","0","-0.56","41.13","58.04"
"[*:1]NN[*:2]","2 (#20)","1","1","0","-0.62","-0.66","2.02"
"[*:1]NO[*:2]","2 (#21)","1","1","0","-0.77","-3.46","3.00"
"[*:1]c1ccc([*:2])cc1","2 (#22)","1","1","0","0.88","-24.72","48.08"
"[*:1]n1nnc([*:2])n1","2 (#23)","1","1","0","-0.37","18.88","40.03"
"CC([*:1])=NO[*:2]","2 (#24)","0","0","2","0.61","-3.13","29.04"
"CN([*:2])N(C)C(=O)O[*:1]","2 (#25)","0","1","1","-0.33","8.06","74.08"
"Cc1cccc(C=NN([*:2])C(=O)O[*:1])n1","2 (#26)","0","1","1","0.91","30.07","149.15"
"NC([*:1])=NO[*:2]","2 (#27)","0","1","1","-0.47","22.89","30.02"
"[*:1]C(=O)NN=N[*:2]","2 (#28)","0","1","1","-0.61","29.10","43.02"
"[*:1]CC[*:2]","2 (#29)","0","1","1","0.13","-24.72","0.04"
"[*:1]n1nnnc1[*:2]","2 (#30)","0","2","0","-1.34","18.88","40.02"
"[*:1]CO[*:2]","1 (#31)","0","1","0","-0.84","-15.49","2.01"
"[*:1]N=C[*:2]","1 (#32)","0","1","0","-0.53","-12.36","-0.99"
"[*:1]NC(=O)N[*:2]","1 (#33)","0","0","1","-1.26","16.41","30.03"
"[*:1]NN=C[*:2]","1 (#34)","0","1","0","-0.58","-0.33","14.03"
"[*:1]S[*:2]","1 (#35)","0","1","0","-0.22","-24.72","4.05"
These data have been generated by SwissBioisostere version 2021, 09.08.2024.
SwissBioisostere is available under the CC-BY 4.0 Creative Commons 4.0 International License.
