Query fragment: F[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"Cl[*:1]","21150 (#1)","4199","14211","2740","0.46","0.00","16.46"
"C[*:1]","12539 (#2)","2141","8101","2297","0.37","0.00","-3.96"
"CO[*:1]","12141 (#3)","1965","7443","2733","-0.30","9.23","12.03"
"FC(F)(F)[*:1]","6456 (#4)","1251","3489","1716","0.73","0.00","50.01"
"Br[*:1]","5228 (#5)","1249","3216","763","0.62","0.00","60.91"
"[*:1]C#N","4233 (#6)","697","2544","992","-0.29","23.79","7.02"
"O[*:1]","3882 (#7)","784","2141","957","-0.45","20.23","-1.99"
"[O-][N+]([*:1])=O","2241 (#8)","366","1362","513","-0.20","43.14","27.01"
"I[*:1]","1287 (#9)","336","734","217","0.78","0.00","107.90"
"FC(F)(F)O[*:1]","1259 (#10)","252","715","292","1.29","9.23","66.00"
"N[*:1]","1123 (#11)","168","558","397","-0.98","26.02","-2.97"
"CC[*:1]","952 (#12)","262","484","206","0.81","0.00","10.07"
"[*:1]c1ccccc1","941 (#13)","224","428","289","1.50","0.00","58.11"
"CS([*:1])(=O)=O","757 (#14)","121","373","263","-1.30","34.14","60.10"
"CCO[*:1]","709 (#15)","170","376","163","0.06","9.23","26.06"
"CN(C)[*:1]","686 (#16)","125","334","227","0.00","0.00","25.08"
"CC(C)[*:1]","622 (#17)","163","314","145","1.10","0.00","24.09"
"CC(C)(C)[*:1]","538 (#18)","123","225","190","1.40","0.00","38.12"
"CS[*:1]","524 (#19)","153","284","87","0.49","0.00","28.11"
"OC[*:1]","517 (#20)","71","294","152","-0.91","20.23","12.04"
"NC([*:1])=O","472 (#21)","111","224","137","-1.29","43.09","25.04"
"OC([*:1])=O","448 (#22)","81","178","189","-0.49","37.30","26.02"
"CC(=O)N[*:1]","443 (#23)","65","227","151","-0.90","29.10","39.06"
"COC([*:1])=O","427 (#24)","56","234","137","-0.14","26.30","40.05"
"CC([*:1])=O","347 (#25)","69","187","91","-0.59","17.07","24.05"
"[*:1]N1CCOCC1","326 (#26)","71","164","91","-0.26","12.47","67.11"
"FC(F)O[*:1]","305 (#27)","87","159","59","0.63","9.23","48.01"
"[*:1]Oc1ccccc1","280 (#28)","68","121","91","1.35","9.23","74.10"
"[*:1]OCc1ccccc1","246 (#29)","68","111","67","1.42","9.23","88.13"
"CC(C)O[*:1]","234 (#30)","63","99","72","0.47","9.23","40.09"
"[*:1]C1CC1","219 (#31)","70","98","51","0.63","0.00","22.08"
"FC(F)[*:1]","208 (#32)","44","121","43","-0.27","0.00","32.02"
"CS(=O)(=O)N[*:1]","205 (#33)","37","116","52","-1.77","46.17","75.12"
"FCCO[*:1]","201 (#34)","35","125","41","0.09","9.23","44.05"
"NS([*:1])(=O)=O","198 (#35)","54","93","51","-1.54","60.16","61.09"
"CCC[*:1]","193 (#36)","56","81","56","1.26","0.00","24.09"
"CN[*:1]","189 (#37)","36","94","59","-0.67","12.03","11.05"
"CNC([*:1])=O","162 (#38)","43","75","44","-1.07","29.10","39.06"
"CN1CCN([*:1])CC1","130 (#39)","45","56","29","-0.18","6.48","80.16"
"CCOC([*:1])=O","128 (#40)","18","77","33","0.22","26.30","54.07"
"CN(C)C([*:1])=O","124 (#41)","15","57","52","-0.85","20.31","53.09"
"COC[*:1]","120 (#42)","13","76","31","-0.27","9.23","26.06"
"COCCO[*:1]","118 (#43)","15","67","36","-0.34","18.46","56.09"
"[*:1]C#C","111 (#44)","23","63","25","0.00","0.00","6.03"
"CC(C)(O)[*:1]","109 (#45)","20","64","25","-0.22","20.23","40.09"
"[*:1]C=C","100 (#46)","25","52","23","0.47","0.00","8.05"
"[*:1]N1CCCCC1","98 (#47)","28","48","22","0.67","3.24","65.15"
"Fc1cccc(CO[*:1])c1","96 (#48)","28","35","33","1.57","9.23","106.12"
"OCCO[*:1]","94 (#49)","22","52","20","-1.03","29.46","42.06"
"[*:1]N1CCCC1","94 (#50)","21","40","33","0.38","3.24","51.12"
"[*:1]n1cccn1","94 (#51)","18","54","22","-0.05","17.82","48.07"
"CCCO[*:1]","93 (#52)","24","48","21","0.58","9.23","40.09"
"FC(F)(F)CO[*:1]","91 (#53)","29","42","20","0.66","9.23","80.03"
"CCCC[*:1]","87 (#54)","20","40","27","1.71","0.00","38.12"
"Fc1ccc([*:1])cc1","84 (#55)","32","33","19","1.64","0.00","76.10"
"FC(F)(F)C(F)(F)C(F)(F)[*:1]","83 (#56)","44","38","1","1.20","0.00","150.02"
"[*:1]c1ccncc1","81 (#57)","25","42","14","0.29","12.89","59.09"
"CCCCO[*:1]","77 (#58)","25","31","21","1.02","9.23","54.12"
"NC[*:1]","76 (#59)","16","29","31","-1.02","26.02","11.05"
"[*:1]Cc1ccccc1","75 (#60)","13","37","25","1.95","0.00","72.13"
"[*:1]c1cccnc1","75 (#61)","12","52","11","0.29","12.89","59.09"
"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[*:1]","72 (#62)","8","59","5","2.81","0.00","200.02"
"[*:1]C=O","69 (#63)","16","44","9","-0.43","17.07","10.02"
"[*:1][N+]#[C-]","69 (#64)","9","41","19","-2.20","4.36","7.02"
"FC(F)(F)S([*:1])(=O)=O","68 (#65)","36","26","6","0.87","34.14","114.07"
"[*:1]c1cccs1","68 (#66)","28","27","13","1.56","0.00","64.14"
"CN(C)C[*:1]","67 (#67)","10","26","31","-0.21","3.24","39.10"
"OC([*:1])C(F)(F)F","65 (#68)","51","12","2","0.10","20.23","80.03"
"Cn1cc([*:1])cn1","63 (#69)","31","23","9","-0.07","17.82","62.10"
"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[*:1]","62 (#70)","35","26","1","4.01","0.00","350.04"
"[*:1]n1ccnc1","61 (#71)","13","36","12","-0.38","17.82","48.07"
"[*:1]N=[N+]=[N-]","57 (#72)","9","32","16","0.28","48.76","23.03"
"FCCOCCO[*:1]","57 (#73)","7","30","20","-0.10","18.46","88.11"
"CC(O)[*:1]","56 (#74)","10","29","17","-0.50","20.23","26.06"
"CC(C)(C)OC(=O)N[*:1]","56 (#75)","6","27","23","0.77","38.33","97.14"
"[*:1]c1ccccn1","55 (#76)","17","28","10","0.70","12.89","59.10"
"CC(=O)O[*:1]","55 (#77)","9","31","15","-0.45","26.30","40.05"
"CCN([*:1])CC","54 (#78)","16","20","18","0.68","3.24","53.14"
"FC[*:1]","53 (#79)","11","31","11","-0.02","0.00","14.03"
"[*:1]N1CCNCC1","51 (#80)","28","19","4","-0.57","15.27","66.13"
"[*:1]C(=O)N1CCOCC1","50 (#81)","13","20","17","-1.06","29.54","95.12"
"[*:1]NC1CCCCCCC1","50 (#82)","12","13","25","2.02","12.03","107.23"
"C[S@@+]([O-])[*:1]","48 (#83)","7","27","14","-1.40","17.07","44.10"
"[*:1]CN1CCOCC1","46 (#84)","16","21","9","-0.42","12.47","81.14"
"[*:1]c1ccsc1","46 (#85)","13","25","8","1.29","0.00","64.13"
"[*:1]C1CCCCC1","45 (#86)","15","18","12","1.98","0.00","64.16"
"CNS([*:1])(=O)=O","44 (#87)","18","18","8","-1.32","46.17","75.12"
