Query fragment: [*:1]SC([*:2])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"[*:1]OC([*:2])=O","28 (#1)","6","18","4","-0.65","9.23","-16.06"
"[*:1]NC([*:2])=O","24 (#2)","4","15","5","-1.38","12.03","-17.05"
"CN([*:1])[*:2]","10 (#3)","0","0","5","-0.23","-13.83","-31.03"
"OC([*:2])CN[*:1]","8 (#4)","0","1","7","-1.04","15.19","-1.01"
"[*:1]NC[*:2]","7 (#5)","0","2","5","-0.94","-5.04","-31.04"
"CN([*:1])CCO[*:2]","6 (#6)","3","0","3","-2.88","-4.60","13.02"
"COCCN([*:1])[*:2]","6 (#7)","3","0","3","-2.88","-4.60","13.02"
"[*:1]O[*:2]","6 (#8)","1","1","4","-0.45","-7.84","-44.07"
"[*:1]NS([*:2])(=O)=O","5 (#9)","1","4","0","-1.62","29.10","19.00"
"[*:1]OC([*:2])=N","5 (#10)","1","2","2","-0.77","16.01","-17.05"
"CN([*:2])C1CCN([*:1])C1","5 (#11)","0","0","5","-0.42","-10.59","38.07"
"[*:1]N1CCC(C1)NC([*:2])=O","5 (#12)","0","0","5","-1.42","15.27","52.05"
"[*:1]N[*:2]","5 (#13)","0","1","4","-0.61","-5.04","-45.06"
"OC(=O)C([*:1])C[*:2]","4 (#14)","3","0","1","-0.28","20.23","11.99"
"[*:1]COS(=O)(=O)C=C[*:2]","4 (#15)","3","1","0","-0.62","26.30","60.06"
"[*:1]S(=O)(=O)C=C[*:2]","4 (#16)","2","2","0","-1.70","17.07","30.03"
"[*:1]NCc1ccc(O[*:2])cc1","4 (#17)","1","0","3","0.80","4.19","61.06"
"[*:1]NCc1ccc([*:2])s1","4 (#18)","1","1","2","1.51","-5.04","51.09"
"[*:1]NCc1ccc(cc1)S([*:2])(=O)=O","4 (#19)","1","0","3","-0.21","29.10","109.13"
"[*:1]OC(=N)C[*:2]","4 (#20)","1","3","0","-0.99","16.01","-3.02"
"CC(C)([*:2])OC(=O)NC1CCN([*:1])C1","4 (#21)","0","0","4","0.26","24.50","110.13"
"CC([*:2])N[*:1]","4 (#22)","0","1","3","0.00","-5.04","-17.00"
"CC1([*:2])CC1N[*:1]","4 (#23)","0","0","4","0.44","-5.04","9.03"
"CN([*:2])S([*:1])(=O)=O","4 (#24)","0","1","3","-1.51","20.31","33.03"
"Fc1ccc(cc1F)C([*:2])N[*:1]","4 (#25)","0","3","1","1.66","-5.04","81.04"
"[*:1]C(=O)OC[*:2]","4 (#26)","0","0","4","-0.11","9.23","-2.04"
"[*:1]COC(=O)C=C[*:2]","4 (#27)","0","3","1","0.14","9.23","24.00"
"[*:1]N(Cc1ccc([*:2])o1)C(=O)CC#N","4 (#28)","0","0","4","-0.23","40.17","102.07"
"[*:1]N([*:2])CCC#N","4 (#29)","0","0","4","-0.61","9.96","8.00"
"[*:1]N([*:2])c1ccc(cc1)C#N","4 (#30)","0","0","4","1.36","9.96","56.05"
"[*:1]N1CCc2cc(ccc12)S([*:2])(=O)=O","4 (#31)","0","0","4","0.38","20.31","121.14"
"[*:1]NC1(CO[*:2])CC1","4 (#32)","0","0","4","-0.43","4.19","25.03"
"[*:1]NC1([*:2])CC1","4 (#33)","0","0","4","-0.02","-5.04","-5.00"
"[*:1]NC1CC1[*:2]","4 (#34)","0","0","4","0.06","-5.04","-5.00"
"[*:1]NCc1ccc([*:2])o1","4 (#35)","0","1","3","0.21","8.10","35.02"
