Query fragment: FC(F)(F)[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"C[*:1]","10280 (#1)","2394","5791","2095","-0.36","0.00","-53.97"
"Cl[*:1]","9098 (#2)","2089","5810","1199","-0.27","0.00","-33.55"
"F[*:1]","6456 (#3)","1716","3489","1251","-0.73","0.00","-50.01"
"CO[*:1]","4812 (#4)","1073","2673","1066","-1.04","9.23","-37.98"
"[*:1]C#N","2529 (#5)","555","1306","668","-1.03","23.79","-42.99"
"Br[*:1]","2370 (#6)","636","1498","236","-0.11","0.00","10.90"
"FC(F)(F)O[*:1]","2013 (#7)","232","1510","271","0.55","9.23","16.00"
"CC[*:1]","1773 (#8)","433","1080","260","0.08","0.00","-39.94"
"[*:1]c1ccccc1","1629 (#9)","425","831","373","0.77","0.00","8.10"
"CC(C)[*:1]","1578 (#10)","331","938","309","0.37","0.00","-25.92"
"FC(F)[*:1]","1413 (#11)","246","928","239","-0.71","0.00","-17.99"
"[*:1]C1CC1","1353 (#12)","314","855","184","-0.10","0.00","-27.93"
"CC(C)(C)[*:1]","1331 (#13)","295","750","286","0.67","0.00","-11.89"
"[O-][N+]([*:1])=O","1208 (#14)","265","731","212","-0.94","43.14","-23.00"
"O[*:1]","942 (#15)","244","438","260","-1.18","20.23","-52.00"
"CS([*:1])(=O)=O","604 (#16)","115","259","230","-2.04","34.14","10.10"
"N[*:1]","564 (#17)","174","231","159","-1.71","26.02","-52.98"
"CCO[*:1]","485 (#18)","103","287","95","-0.68","9.23","-23.94"
"OC[*:1]","477 (#19)","99","250","128","-1.64","20.23","-37.97"
"CS[*:1]","472 (#20)","126","260","86","-0.25","0.00","-21.91"
"COC[*:1]","455 (#21)","73","298","84","-1.30","9.23","-23.95"
"I[*:1]","440 (#22)","121","274","45","0.05","0.00","57.90"
"CCC[*:1]","434 (#23)","80","276","78","0.53","0.00","-25.92"
"CN(C)[*:1]","429 (#24)","66","214","149","-0.77","3.24","-24.93"
"COC([*:1])=O","415 (#25)","89","213","113","-0.88","26.30","-9.96"
"NC([*:1])=O","384 (#26)","102","152","130","-2.03","43.09","-24.97"
"FC(F)O[*:1]","352 (#27)","86","206","60","-0.10","9.23","-1.99"
"CC([*:1])=O","334 (#28)","76","179","79","-1.32","17.07","-25.96"
"OC([*:1])=O","321 (#29)","60","112","149","-3.70","37.30","-23.98"
"[*:1]Oc1ccccc1","283 (#30)","69","153","61","0.62","9.23","24.10"
"Fc1ccc([*:1])cc1","267 (#31)","77","136","54","0.91","0.00","26.10"
"FC(F)(F)C[*:1]","259 (#32)","43","165","51","-0.64","0.00","14.03"
"CC(C)O[*:1]","253 (#33)","63","127","63","-0.26","9.23","-9.92"
"[*:1]Cc1ccccc1","239 (#34)","46","127","66","1.22","0.00","22.13"
"Clc1ccc([*:1])cc1","198 (#35)","75","95","28","1.37","0.00","42.55"
"[*:1]c1cccnc1","196 (#36)","52","107","37","-0.45","12.89","9.09"
"[*:1]N1CCOCC1","179 (#37)","46","74","59","-0.99","12.47","17.11"
"CCOC([*:1])=O","174 (#38)","48","83","43","-0.52","26.30","4.07"
"CC(C)(O)[*:1]","172 (#39)","31","93","48","-0.94","20.23","-9.92"
"CCCC[*:1]","172 (#40)","23","110","39","0.97","0.00","-11.89"
"CC(=O)N[*:1]","169 (#41)","42","59","68","-1.64","29.10","-10.94"
"CC(F)(F)[*:1]","167 (#42)","27","129","11","-0.24","0.00","-3.96"
"FC(F)(F)CO[*:1]","163 (#43)","35","109","19","-0.08","9.23","30.02"
"[*:1]c1ccncc1","156 (#44)","42","88","26","-0.45","12.89","9.09"
"[*:1]C1CCC1","156 (#45)","37","93","26","-0.67","0.00","-13.91"
"FC[*:1]","155 (#46)","36","60","59","-0.75","0.00","-35.98"
"FC(F)(F)S([*:1])(=O)=O","152 (#47)","54","80","18","0.07","34.14","64.06"
"[*:1]C1CCCCC1","149 (#48)","36","74","39","0.21","0.00","14.15"
"FC(F)(F)C(F)(F)[*:1]","147 (#49)","20","94","33","0.70","0.00","50.00"
"[*:1]c1ccccn1","146 (#50)","41","71","34","-0.06","12.89","9.09"
"CN(C)C([*:1])=O","139 (#51)","23","67","49","-1.58","20.31","3.08"
"[*:1]C1CCCO1","138 (#52)","34","83","21","-0.53","9.23","2.10"
"CNC([*:1])=O","137 (#53)","34","66","37","-1.80","29.10","-10.95"
"FC(F)(Cl)[*:1]","135 (#54)","49","83","3","0.21","0.00","16.46"
"CC(O)[*:1]","133 (#55)","39","56","38","-1.38","20.23","-23.95"
"CC(C)C[*:1]","130 (#56)","31","65","34","0.81","0.00","-11.89"
"[*:1]OCc1ccccc1","128 (#57)","34","64","30","0.68","9.23","38.12"
"[*:1]c1cccs1","124 (#58)","35","60","29","0.55","0.00","14.13"
"[*:1]C1CCCC1","122 (#59)","39","65","18","-0.23","0.00","0.12"
"COCC[*:1]","121 (#60)","39","63","19","-1.63","9.23","-9.92"
"CS(=O)(=O)N[*:1]","120 (#61)","25","64","31","-3.01","46.17","25.11"
"OC([*:1])C(F)(F)F","115 (#62)","52","54","9","-0.62","20.23","30.02"
"COc1ccc([*:1])cc1","111 (#63)","39","50","22","0.62","9.23","38.13"
"[*:1]C1CCOCC1","110 (#64)","29","63","18","-1.63","9.23","16.12"
"[*:1]c1ccco1","106 (#65)","40","51","15","-0.17","13.14","-1.94"
"CNC[*:1]","105 (#66)","15","73","17","-1.32","12.03","-24.93"
"[*:1]C#C","101 (#67)","25","62","14","-0.73","0.00","-43.98"
"FC(F)(F)c1ccc([*:1])cc1","100 (#68)","30","45","25","1.65","0.00","76.10"
"[*:1]CC#N","99 (#69)","29","49","21","-1.18","23.79","-28.96"
"Fc1cccc([*:1])c1","94 (#70)","31","45","18","0.91","0.00","26.10"
"[*:1]CC1CC1","91 (#71)","27","46","18","0.35","0.00","-13.90"
"[*:1]c1ccc(cc1)C#N","89 (#72)","20","54","15","0.62","23.79","33.12"
"[*:1]C=O","88 (#73)","23","49","16","-0.88","17.07","-39.99"
"NS([*:1])(=O)=O","87 (#74)","32","33","22","-2.27","60.16","11.09"
"Cc1ccc([*:1])cc1","86 (#75)","24","44","18","1.28","0.00","22.13"
"NC[*:1]","86 (#76)","24","38","24","-1.75","26.02","-38.96"
"CN(C)C[*:1]","85 (#77)","17","37","31","-1.07","3.24","-10.90"
"[*:1]N1CCCC1","84 (#78)","13","39","32","-0.36","3.24","1.11"
"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[*:1]","83 (#79)","44","38","1","1.20","0.00","150.02"
"FC(F)(F)S[*:1]","83 (#80)","13","58","12","1.09","0.00","32.06"
"CC(O)([*:1])C(F)(F)F","82 (#81)","42","38","2","-0.34","20.23","44.05"
"COCCO[*:1]","82 (#82)","23","33","26","-1.08","18.46","6.08"
"CN[*:1]","80 (#83)","27","27","26","-1.20","12.03","-38.95"
"CC(C)([*:1])C#N","80 (#84)","9","56","15","-0.09","23.79","-0.91"
"CCCO[*:1]","79 (#85)","30","35","14","-0.16","9.23","-9.92"
"[*:1]C=C","79 (#86)","27","38","14","-0.23","0.00","-41.96"
"OCC[*:1]","77 (#87)","26","41","10","-1.35","20.23","-23.94"
"Fc1c(F)c(F)c([*:1])c(F)c1F","76 (#88)","56","20","0","0.72","0.00","98.05"
"CCCCO[*:1]","74 (#89)","22","40","12","0.29","9.23","4.11"
"CC(C)NC[*:1]","74 (#90)","3","60","11","-0.54","12.03","3.12"
"FC(F)(F)CNC[*:1]","74 (#91)","1","58","15","-0.36","12.03","43.06"
"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[*:1]","72 (#92)","8","59","5","2.81","0.00","200.02"
"Fc1ccccc1[*:1]","71 (#93)","28","34","9","1.18","0.00","26.09"
"[*:1]N1CCCCC1","70 (#94)","16","34","20","-1.24","3.24","15.14"
"Clc1ccccc1[*:1]","67 (#95)","24","32","11","0.61","0.00","42.55"
"[*:1]CN1CCOCC1","66 (#96)","12","37","17","-1.73","12.47","31.14"
"CC1([*:1])COC1","65 (#97)","13","41","11","-0.73","9.23","2.09"
"[*:1]n1cccn1","64 (#98)","14","39","11","-0.79","17.82","-1.93"
"FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[*:1]","62 (#99)","35","26","1","4.01","0.00","350.04"
"CN1CCN([*:1])CC1","59 (#100)","17","29","13","-1.51","6.48","30.15"
"FC(F)C(F)(F)[*:1]","55 (#101)","12","33","10","-0.27","0.00","32.02"
"CS(=O)(=O)C[*:1]","53 (#102)","16","30","7","-2.28","34.14","24.13"
"[*:1]CN1CCC(C1)C#N","53 (#103)","6","33","14","-1.09","27.03","40.14"
"CCS[*:1]","52 (#104)","19","30","3","0.31","0.00","-7.88"
"[*:1]C(=O)c1ccccc1","52 (#105)","14","27","11","0.58","17.07","36.11"
"FC(F)(F)c1cccc([*:1])c1","51 (#106)","14","25","12","1.65","0.00","76.10"
"Clc1cccc([*:1])c1","50 (#107)","14","29","7","0.61","0.00","42.55"
"CN(C)S([*:1])(=O)=O","48 (#108)","14","22","12","-1.83","37.38","39.13"
"[*:1]CCc1ccccc1","47 (#109)","8","17","22","1.81","0.00","36.16"
"OCCO[*:1]","46 (#110)","18","16","12","-1.72","29.46","-7.95"
"Cc1ccccc1[*:1]","46 (#111)","14","25","7","0.52","0.00","22.13"
"COC(C)[*:1]","46 (#112)","11","26","9","-0.58","9.23","-9.92"
"[*:1]OCC1CC1","45 (#113)","14","24","7","-0.26","9.23","2.10"
"[*:1]c1nccs1","45 (#114)","9","23","13","-0.19","12.89","15.12"
"Cn1cc([*:1])cn1","44 (#115)","18","13","13","-1.56","17.82","12.09"
"[*:1]C1COCCO1","44 (#116)","5","35","4","-1.16","18.46","18.09"
"[*:1]c1ccsc1","43 (#117)","19","14","10","0.55","0.00","14.13"
"[*:1]c1ncco1","43 (#118)","13","19","11","-0.91","26.03","-0.95"
"[*:1]C(=O)N1CCOCC1","43 (#119)","11","21","11","-1.80","29.54","45.12"
"[*:1]OC1CC1","42 (#120)","18","18","6","-0.57","9.23","-11.93"
"CCCCC[*:1]","42 (#121)","8","17","17","1.42","0.00","2.14"
"CCC(CO)NC([*:1])=O","42 (#122)","7","12","23","-1.55","49.33","47.14"
"[*:1]C1COC1","42 (#123)","2","30","10","-1.23","9.23","-11.93"
"COc1cccc([*:1])c1","41 (#124)","22","15","4","0.62","9.23","38.13"
"[*:1]C1CCOC1","41 (#125)","9","23","9","-1.69","9.23","2.09"
"CC(C)(C)O[*:1]","40 (#126)","6","29","5","0.02","9.23","4.11"
"FC(F)(F)CC[*:1]","40 (#127)","6","30","4","0.56","0.00","28.05"
"[*:1]c1cccc(c1)C#N","39 (#128)","10","24","5","0.62","23.79","33.11"
"OC(=O)C[*:1]","39 (#129)","5","19","15","-3.76","37.30","-9.96"
"[*:1]CC1COCCO1","39 (#130)","2","37","0","0.01","18.46","32.12"
"CS(=O)(=O)c1ccc([*:1])cc1","38 (#131)","14","17","7","-0.39","34.14","86.19"
"Cc1cc([*:1])on1","38 (#132)","4","32","2","-0.81","26.03","13.07"
