Query fragment: [*:1]N[*:2]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"CN([*:1])[*:2]","5596 (#1)","1009","2018","1006","0.63","-8.79","14.03"
"[*:1]O[*:2]","2771 (#2)","655","1446","670","0.24","-2.80","0.99"
"[*:1]CN[*:2]","1331 (#3)","356","728","247","0.16","0.00","14.02"
"[*:1]NC[*:2]","1269 (#4)","259","752","258","0.16","0.00","14.03"
"[*:1]S[*:2]","793 (#5)","244","357","192","1.39","-12.03","17.06"
"CCN([*:1])[*:2]","603 (#6)","97","237","102","0.62","-8.79","28.05"
"CC([*:2])N[*:1]","446 (#7)","113","228","105","0.76","0.00","28.06"
"[*:1]C(=O)N[*:2]","437 (#8)","96","237","104","-0.61","17.07","28.01"
"[*:1]NCC[*:2]","405 (#9)","105","212","88","0.87","0.00","28.05"
"CCCN([*:1])[*:2]","402 (#10)","94","99","69","1.14","-8.79","42.08"
"[*:1]NC([*:2])=O","363 (#11)","64","181","118","-0.12","17.07","28.01"
"[*:1]CCN[*:2]","319 (#12)","88","174","57","0.05","0.00","28.05"
"[*:1]C[*:2]","317 (#13)","79","145","93","0.76","-12.03","-0.99"
"[*:1]N1CCN([*:2])CC1","305 (#14)","68","172","65","0.11","-5.55","69.11"
"CCN([*:1])C[*:2]","238 (#15)","30","138","70","0.97","-8.79","42.08"
"[*:1]N([*:2])Cc1ccccc1","188 (#16)","41","68","79","1.95","-8.79","90.13"
"[*:1]OC[*:2]","155 (#17)","36","79","40","0.84","-2.80","15.01"
"CC(=O)N([*:1])[*:2]","144 (#18)","24","69","51","-0.37","8.28","42.04"
"OCCN([*:1])[*:2]","143 (#19)","34","56","36","-0.05","11.44","44.05"
"[*:1]NCCO[*:2]","137 (#20)","17","85","35","-0.04","9.23","44.05"
"CC([*:1])N[*:2]","136 (#21)","30","62","44","0.50","0.00","28.06"
"CC(C)N([*:1])[*:2]","128 (#22)","19","67","40","1.16","-8.79","42.09"
"CN([*:2])C[*:1]","113 (#23)","34","44","35","0.47","-8.79","28.05"
"[*:1]N([*:2])CC1CC1","112 (#24)","40","41","31","1.17","-8.79","54.09"
"CN([*:1])C[*:2]","107 (#25)","32","49","26","0.61","-8.79","28.06"
"COCCN([*:1])[*:2]","107 (#26)","22","40","26","0.58","0.44","58.08"
"NC(=N)N([*:1])[*:2]","104 (#27)","4","84","16","-0.60","41.08","42.04"
"CC([*:1])[*:2]","101 (#28)","13","21","23","1.31","-12.03","13.04"
"CC([*:2])CN[*:1]","99 (#29)","35","51","13","1.24","0.00","42.08"
"[*:1]S([*:2])(=O)=O","99 (#30)","21","45","33","-0.05","22.11","49.05"
"[*:1]NCCC[*:2]","98 (#31)","46","42","10","1.32","0.00","42.08"
"[*:1]NCCN[*:2]","95 (#32)","7","72","16","-0.36","12.03","43.07"
"[*:1]NC(=O)N[*:2]","90 (#33)","28","39","23","-0.30","29.10","43.02"
"[*:1]S(=O)(=O)N[*:2]","88 (#34)","27","38","23","-1.41","34.14","64.07"
"[*:1]CO[*:2]","81 (#35)","15","43","23","-0.09","-2.80","15.01"
"OC(=O)CN([*:1])[*:2]","80 (#36)","5","67","8","-1.31","28.51","58.04"
"[*:1]NS([*:2])(=O)=O","78 (#37)","26","38","14","-0.64","34.14","64.07"
"[*:1]C([*:2])=O","78 (#38)","18","34","26","0.02","5.04","12.99"
"[*:1]OC(=O)N[*:2]","74 (#39)","25","37","12","0.01","26.30","44.01"
"CC(C)([*:2])N[*:1]","73 (#40)","20","30","23","0.91","0.00","42.08"
"CCCCN([*:1])[*:2]","64 (#41)","17","17","15","1.71","-8.79","56.10"
"[*:1]NC(=O)O[*:2]","64 (#42)","15","28","21","0.39","26.30","44.01"
"[*:1]N([*:2])C=O","64 (#43)","2","35","27","-0.44","8.28","28.01"
"CS(=O)(=O)N([*:1])[*:2]","63 (#44)","14","32","17","-0.89","25.35","78.09"
"OC(=O)CN(CCN([*:1])[*:2])CC(O)=O","60 (#45)","14","46","0","-0.86","69.05","159.14"
"OC(=O)CN([*:1])CCN([*:2])CC(O)=O","60 (#46)","14","46","0","-0.86","69.05","159.14"
"CN([*:1])CC[*:2]","59 (#47)","13","26","20","1.14","-8.79","42.08"
"[*:1]N([*:2])CC=C","58 (#48)","22","25","5","1.60","-8.79","40.06"
"[*:1]N([*:2])CC#C","55 (#49)","29","16","10","0.86","-8.79","38.04"
"CN([*:1])CCN(C)[*:2]","54 (#50)","3","15","12","0.65","-5.55","71.12"
"[*:1]C(=O)O[*:2]","53 (#51)","5","30","18","0.53","14.27","28.99"
"CCC([*:2])N[*:1]","51 (#52)","27","19","5","1.30","0.00","42.08"
"CC([*:2])N(C)[*:1]","51 (#53)","3","28","20","1.16","-8.79","42.09"
"[*:1]NC([*:2])C1CC1","50 (#54)","14","20","16","1.20","0.00","54.09"
"[O-][S+]([*:1])[*:2]","49 (#55)","7","28","14","-0.28","5.04","33.05"
"CC(C)(C)OC(=O)N([*:1])[*:2]","44 (#56)","5","19","20","1.30","17.51","100.12"
"[*:1]Nc1ccc(O[*:2])cc1","43 (#57)","25","15","3","1.81","9.23","92.09"
"[*:1]OCCO[*:2]","42 (#58)","10","17","15","0.49","6.43","45.04"
"[*:1]NNC([*:2])=O","41 (#59)","12","20","9","-0.91","29.10","43.02"
"CCCCCCCCCN([*:1])[*:2]","38 (#60)","6","6","8","4.18","-8.79","126.24"
"[*:1]C1(CC1)N[*:2]","37 (#61)","22","13","2","0.68","0.00","40.07"
"[*:1]NCCCC[*:2]","37 (#62)","16","16","5","1.76","0.00","56.11"
"[*:1]NCc1ccc(O[*:2])cc1","37 (#63)","13","11","13","1.57","9.23","106.12"
"[*:1]CC[*:2]","37 (#64)","7","27","3","1.88","-12.03","13.04"
"CC(C)([*:1])[*:2]","37 (#65)","0","9","11","2.12","-12.03","27.07"
"OC([*:1])[*:2]","36 (#66)","8","18","10","-0.19","8.20","15.01"
"OC([*:2])CN[*:1]","36 (#67)","5","23","8","-0.28","20.23","44.05"
"CN([*:1])CCO[*:2]","36 (#68)","4","18","14","0.33","0.44","58.08"
"[*:1]SC[*:2]","35 (#69)","18","13","4","1.41","-12.03","31.07"
"CC(C[*:2])N[*:1]","35 (#70)","17","16","2","1.30","0.00","42.08"
"[*:1]C1CCN([*:2])CC1","35 (#71)","12","19","4","1.46","-8.79","68.12"
"[*:1]CNC[*:2]","34 (#72)","18","15","1","-0.89","0.00","28.05"
"[*:1]c1ccc(N[*:2])cc1","34 (#73)","13","5","16","2.18","0.00","76.10"
"CN([*:2])CCN[*:1]","34 (#74)","2","11","21","0.02","3.24","57.09"
"[*:1]N1CCC(CC1)N[*:2]","32 (#75)","11","16","5","0.02","3.24","83.13"
"[*:1]CCCN[*:2]","32 (#76)","10","12","10","-0.11","0.00","42.08"
"[*:1]N([*:2])c1ccccc1","32 (#77)","7","9","16","2.19","-8.79","76.10"
"[*:1]Oc1ccc(N[*:2])cc1","31 (#78)","14","14","3","1.50","9.23","92.10"
"CCCN([*:1])CC[*:2]","31 (#79)","2","16","13","1.75","-8.79","70.14"
"CN(C)CCN([*:1])[*:2]","31 (#80)","2","16","13","0.65","-5.55","71.12"
"[*:1]N1CCC([*:2])CC1","30 (#81)","12","15","3","1.37","-8.79","68.12"
"[*:1]C(=O)NC[*:2]","30 (#82)","6","16","8","-0.35","17.07","42.04"
"[*:1]N([*:2])CCc1ccccc1","29 (#83)","12","13","4","2.40","-8.79","104.15"
"CC(C)CN([*:1])[*:2]","29 (#84)","11","8","9","1.63","-8.79","56.11"
"[*:1]CNCC[*:2]","29 (#85)","11","16","2","0.68","0.00","42.08"
"[*:1]N([*:2])C1CCCCC1","29 (#86)","6","10","13","2.18","-8.79","82.15"
"[*:1]NN[*:2]","29 (#87)","1","25","3","0.35","12.03","15.02"
"CN([*:2])C([*:1])=O","28 (#88)","6","16","6","-0.37","8.28","42.04"
"OCC([*:2])N[*:1]","28 (#89)","5","15","8","-0.16","20.23","44.05"
"[*:1]ON[*:2]","28 (#90)","2","13","13","0.41","9.23","16.00"
"[*:1]N([*:2])CCc1cccs1","27 (#91)","20","5","2","2.31","-8.79","110.18"
"CC(C)([*:2])OC(=O)N[*:1]","27 (#92)","13","11","3","1.00","26.30","86.09"
"CC([*:2])O[*:1]","27 (#93)","3","14","10","1.05","-2.80","29.04"
"[*:1]CC(=O)N[*:2]","26 (#94)","8","12","6","-0.17","17.07","42.03"
"[*:1]N([*:2])CCC#N","26 (#95)","8","11","1","0.40","15.00","53.06"
"FC(F)(F)C([*:1])N[*:2]","26 (#96)","0","6","20","1.33","0.00","82.02"
"CC1(C)CC(=O)N(CCCCN([*:1])[*:2])C(=O)C1","25 (#97)","8","13","4","1.05","28.59","195.26"
"[*:1]NC1([*:2])CC1","25 (#98)","3","17","5","0.59","0.00","40.06"
"[*:1]NS(=O)(=O)C[*:2]","24 (#99)","8","7","9","-0.84","34.14","78.09"
"CCC(=O)N([*:1])[*:2]","24 (#100)","6","11","7","0.33","8.28","56.07"
"[*:1]NS(=O)(=O)c1ccc(N[*:2])cc1","24 (#101)","5","19","0","0.84","46.17","155.18"
"FC(F)(F)CN([*:1])[*:2]","24 (#102)","4","8","9","1.34","-8.79","82.02"
"[*:1]N1CCN(CC1)C([*:2])=O","24 (#103)","4","16","4","-0.29","11.52","97.12"
"CC(C)([*:1])N[*:2]","24 (#104)","3","16","5","0.78","0.00","42.08"
"[*:1]NCC(=O)N[*:2]","24 (#105)","2","11","11","-1.11","29.10","57.05"
"[*:1]CN1CCN([*:2])CC1","23 (#106)","8","14","1","0.31","-5.55","83.13"
"[*:1]NC1CCN([*:2])CC1","23 (#107)","5","13","5","0.03","3.24","83.14"
"[*:1]OCCN[*:2]","23 (#108)","1","17","5","-0.69","9.23","44.06"
