Query fragment: Cl[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"F[*:1]","21150 (#1)","2740","14211","4199","-0.46","0.00","-16.46"
"C[*:1]","15897 (#2)","1770","11238","2889","-0.09","0.00","-20.42"
"CO[*:1]","12972 (#3)","1877","7863","3232","-0.43","9.23","-4.42"
"FC(F)(F)[*:1]","9098 (#4)","1199","5810","2089","0.27","0.00","33.55"
"Br[*:1]","9006 (#5)","966","7178","862","0.16","0.00","44.45"
"[*:1]C#N","4526 (#6)","560","2578","1388","-0.75","23.79","-9.44"
"[O-][N+]([*:1])=O","2772 (#7)","396","1756","620","-0.66","43.14","10.55"
"O[*:1]","2267 (#8)","463","1086","718","-0.91","20.23","-18.45"
"I[*:1]","1936 (#9)","378","1293","265","0.32","0.00","91.45"
"FC(F)(F)O[*:1]","1783 (#10)","288","1066","429","0.83","9.23","49.55"
"CC[*:1]","1489 (#11)","250","872","367","0.35","0.00","-6.39"
"[*:1]c1ccccc1","1302 (#12)","263","604","435","1.04","0.00","41.65"
"N[*:1]","1159 (#13)","209","521","429","-1.43","26.02","-19.43"
"CCO[*:1]","990 (#14)","213","495","282","-0.08","9.23","9.61"
"CC(C)[*:1]","871 (#15)","138","478","255","0.64","0.00","7.63"
"CS[*:1]","817 (#16)","150","480","187","0.03","0.00","11.65"
"CC(C)(C)[*:1]","790 (#17)","143","373","274","0.94","0.00","21.66"
"CN(C)[*:1]","760 (#18)","129","379","252","-0.50","3.24","8.63"
"CS([*:1])(=O)=O","620 (#19)","92","230","298","-1.76","34.14","43.65"
"[*:1]C1CC1","614 (#20)","198","294","122","0.17","0.00","5.62"
"COC([*:1])=O","495 (#21)","57","268","170","-0.60","26.30","23.59"
"OC([*:1])=O","488 (#22)","78","184","226","-1.11","37.30","9.57"
"CC([*:1])=O","482 (#23)","75","252","155","-1.05","17.07","7.60"
"NC([*:1])=O","469 (#24)","82","189","198","-1.76","43.09","8.58"
"OC[*:1]","423 (#25)","61","205","157","-1.37","20.23","-4.42"
"[*:1]Oc1ccccc1","418 (#26)","80","195","143","0.89","9.23","57.65"
"CC(=O)N[*:1]","383 (#27)","61","181","141","-0.99","29.10","22.61"
"FC(F)O[*:1]","378 (#28)","60","250","68","0.17","9.23","31.56"
