Query fragment: O[*:1]
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"CO[*:1]","10906 (#1)","1979","6085","2842","0.65","-11.00","14.03"
"C[*:1]","4502 (#2)","1330","2358","814","1.37","-20.23","-1.97"
"N[*:1]","4213 (#3)","848","2229","1136","-0.71","5.79","-0.98"
"F[*:1]","3882 (#4)","957","2141","784","0.45","-20.23","1.99"
"Cl[*:1]","2267 (#5)","718","1086","463","0.91","-20.23","18.45"
"CN(C)[*:1]","1680 (#6)","262","861","557","-1.88","-16.99","27.07"
"OC([*:1])=O","1176 (#7)","189","570","417","-0.46","17.07","28.01"
"[*:1]C#N","1152 (#8)","266","565","321","0.16","3.56","9.01"
"NC([*:1])=O","1144 (#9)","165","661","318","-0.40","22.86","27.02"
"OC[*:1]","1137 (#10)","228","675","234","0.00","0.00","14.02"
"CC(=O)O[*:1]","1028 (#11)","126","654","248","0.44","6.07","42.03"
"FC(F)(F)[*:1]","942 (#12)","260","438","244","1.18","-20.23","52.00"
"[*:1]c1ccccc1","907 (#13)","291","391","225","1.95","-20.23","60.10"
"CCO[*:1]","866 (#14)","272","428","166","1.00","-11.00","28.05"
"[*:1]N1CCOCC1","854 (#15)","123","511","220","0.49","-7.76","69.11"
"Br[*:1]","837 (#16)","297","387","153","1.07","-20.23","62.90"
"[*:1]OCc1ccccc1","835 (#17)","262","385","188","2.37","-11.00","90.13"
"CC(=O)N[*:1]","744 (#18)","104","385","255","-0.46","8.87","41.05"
"CN[*:1]","740 (#19)","147","420","173","-0.22","-8.20","13.05"
"[O-][N+]([*:1])=O","728 (#20)","140","420","168","0.25","22.91","29.00"
"CS(=O)(=O)N[*:1]","601 (#21)","93","337","171","-0.79","25.94","77.11"
"CS([*:1])(=O)=O","579 (#22)","76","355","148","-0.86","13.91","62.09"
"COC([*:1])=O","576 (#23)","97","300","179","0.31","6.07","42.03"
"CC[*:1]","481 (#24)","194","204","83","1.26","-20.23","12.06"
"CC(C)[*:1]","471 (#25)","116","244","111","2.23","-20.23","26.08"
"[*:1]N1CCCC1","462 (#26)","111","245","106","1.12","-16.99","53.11"
"CC(C)N[*:1]","424 (#27)","116","265","43","0.59","-8.20","41.10"
"CS[*:1]","404 (#28)","117","188","99","0.94","-20.23","30.09"
"[*:1]N1CCCCC1","367 (#29)","98","183","86","1.56","-16.99","67.13"
"CN1CCN([*:1])CC1","295 (#30)","52","165","78","0.56","-13.75","82.15"
"OCCO[*:1]","295 (#31)","46","199","50","-0.54","9.23","44.05"
"CC(C)O[*:1]","283 (#32)","106","107","70","0.92","-11.00","42.08"
"CC([*:1])=O","273 (#33)","58","129","86","0.78","-3.16","26.04"
"CCCO[*:1]","272 (#34)","112","112","48","1.03","-11.00","42.08"
"I[*:1]","260 (#35)","90","115","55","1.23","-20.23","109.89"
"FC(F)(F)O[*:1]","260 (#36)","67","106","87","1.74","-11.00","67.99"
"NC[*:1]","258 (#37)","56","122","80","-0.57","5.79","13.04"
"CCN([*:1])CC","245 (#38)","63","111","71","1.43","-16.99","55.13"
"[*:1]Oc1ccccc1","243 (#39)","91","93","59","1.80","-11.00","76.09"
"FC(F)(F)CN[*:1]","222 (#40)","19","146","57","1.28","-8.20","81.04"
"CNC([*:1])=O","210 (#41)","25","113","72","0.21","8.87","41.05"
"Nc1ccc(cc1)S(=O)(=O)N[*:1]","207 (#42)","86","98","23","0.49","51.96","154.19"
"CCOC([*:1])=O","200 (#43)","35","107","58","0.91","6.07","56.06"
"COCCO[*:1]","182 (#44)","39","104","39","0.10","-1.77","58.08"
"[*:1]N1CCC1","180 (#45)","28","101","51","0.60","-16.99","39.08"
"CCN[*:1]","179 (#46)","42","86","51","0.13","-8.20","27.07"
"CC(C)(C)[*:1]","177 (#47)","47","76","54","1.85","-20.23","40.11"
"[*:1]NCc1ccccc1","169 (#48)","19","71","79","2.05","-8.20","89.14"
"[*:1]OCC1CC1","163 (#49)","54","58","51","0.92","-11.00","54.09"
"OC(=O)CO[*:1]","162 (#50)","30","69","63","-0.70","26.30","58.04"
"NS([*:1])(=O)=O","162 (#51)","26","89","47","-1.09","39.93","63.08"
"CC(C)(O)[*:1]","158 (#52)","19","106","33","1.15","0.00","42.08"
"OCC1OC(O[*:1])C(O)C(O)C1O","150 (#53)","35","80","35","-2.27","79.15","162.14"
"S[*:1]","142 (#54)","41","64","37","0.58","-20.23","16.07"
"[*:1]OC(=O)c1ccccc1","141 (#55)","33","55","53","2.50","6.07","104.11"
"CC(C)(C)OC(=O)N[*:1]","141 (#56)","25","65","51","1.39","18.10","99.14"
"[*:1]OCC=C","135 (#57)","27","73","35","0.88","-11.00","40.06"
"COC[*:1]","133 (#58)","30","76","27","0.18","-11.00","28.06"
"CCCCO[*:1]","130 (#59)","46","57","27","0.82","-11.00","56.11"
"CN(C)C([*:1])=O","128 (#60)","19","66","43","-0.40","0.08","55.08"
"Oc1ccc([*:1])cc1","125 (#61)","22","82","21","2.24","0.00","76.10"
"C[S@@+]([O-])[*:1]","125 (#62)","13","92","20","-0.83","-3.16","46.09"
"[O-][N+](=O)O[*:1]","122 (#63)","35","71","16","0.70","32.14","45.00"
"[*:1]n1ccnc1","122 (#64)","28","61","33","0.07","-2.41","50.06"
"[*:1]N=[N+]=[N-]","120 (#65)","41","55","24","0.82","28.53","25.01"
"COCO[*:1]","119 (#66)","24","70","25","0.70","-1.77","44.05"
"OCC[*:1]","118 (#67)","23","63","32","-0.18","0.00","28.06"
"[*:1]N1CCNCC1","117 (#68)","22","65","30","-0.10","-4.96","68.12"
"OCCN[*:1]","116 (#69)","20","64","32","-0.36","12.03","43.07"
"[*:1]C1CC1","115 (#70)","42","53","20","1.44","-20.23","24.07"
"FC(F)O[*:1]","114 (#71)","22","64","28","1.07","-11.00","50.01"
"OP(O)(=O)O[*:1]","110 (#72)","49","25","36","-2.32","46.53","79.98"
"CN(C)CCO[*:1]","110 (#73)","20","57","33","0.16","-7.76","71.12"
"CCC[*:1]","109 (#74)","41","38","30","1.71","-20.23","26.08"
"CS(=O)(=O)O[*:1]","108 (#75)","13","51","44","-0.06","23.14","78.09"
"[*:1]OCCN1CCOCC1","105 (#76)","21","65","19","-0.05","1.47","113.16"
"FCCO[*:1]","98 (#77)","21","61","16","0.60","-11.00","46.05"
"CN(C)C[*:1]","98 (#78)","15","51","32","0.24","-16.99","41.10"
"[*:1]NC(=O)c1ccccc1","93 (#79)","27","42","24","1.57","8.87","103.13"
"[*:1]C=O","92 (#80)","23","52","17","0.02","-3.16","12.01"
"CC(N[*:1])C1CC1","92 (#81)","2","38","52","1.52","-8.20","67.13"
"[*:1]N1CCC(C1)C#N","91 (#82)","6","78","7","0.55","6.80","78.12"
"CC1(C)CN([*:1])C1","89 (#83)","23","40","26","1.56","-16.99","67.14"
"[*:1]N1CCCC1=O","89 (#84)","22","35","32","0.16","0.08","67.09"
"COC(=O)N[*:1]","88 (#85)","10","53","25","0.33","18.10","57.05"
"[*:1]CC#N","86 (#86)","21","38","27","0.70","3.56","23.04"
"CC(C)(C)O[*:1]","85 (#87)","28","37","20","1.20","-11.00","56.11"
"NS(=O)(=O)O[*:1]","85 (#88)","27","37","21","-1.05","49.16","79.08"
"[*:1]Nc1ccccc1","84 (#89)","20","23","41","1.73","-8.20","75.11"
"CCC(=O)O[*:1]","84 (#90)","11","45","28","1.14","6.07","56.06"
"FC(F)CN[*:1]","83 (#91)","9","66","8","0.79","-8.20","63.05"
"FC(F)(F)S(=O)(=O)O[*:1]","81 (#92)","19","32","30","1.77","23.14","132.06"
"OC1CCN([*:1])C1","80 (#93)","12","41","27","-0.03","3.24","69.11"
"CC(C)CN[*:1]","79 (#94)","22","28","29","1.41","-8.20","55.13"
"[*:1]NC1CC1","79 (#95)","15","45","19","0.80","-8.20","39.09"
"NC(=O)N[*:1]","76 (#96)","7","31","38","-0.62","34.89","42.04"
