Query fragment: [*:1]C([*:2])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"OC([*:1])[*:2]","1113 (#1)","245","562","298","-0.09","3.16","2.01"
"[*:1]O[*:2]","828 (#2)","184","486","158","0.07","-7.84","-12.01"
"[*:1]C[*:2]","497 (#3)","167","227","103","0.63","-17.07","-13.99"
"[*:1]S([*:2])(=O)=O","285 (#4)","39","175","71","-0.72","17.07","36.05"
"CC([*:1])[*:2]","233 (#5)","47","78","27","1.44","-17.07","0.05"
"[*:1]C(=O)N[*:2]","217 (#6)","29","137","51","-0.48","12.03","15.01"
"[*:1]S[*:2]","216 (#7)","76","101","39","0.73","-17.07","4.06"
"[*:1]C(=O)O[*:2]","215 (#8)","45","133","37","0.10","9.23","16.00"
"CC(O)([*:1])[*:2]","180 (#9)","25","81","35","0.20","3.16","16.04"
"[*:1]C(=O)OC[*:2]","179 (#10)","29","119","31","0.81","9.23","30.02"
"CN([*:1])[*:2]","176 (#11)","22","65","22","0.55","-13.83","1.03"
"[*:1]C([*:2])=C","166 (#12)","100","54","12","0.91","-17.07","-1.98"
"[*:1]NC([*:2])=O","164 (#13)","28","95","41","-0.49","12.03","15.01"
"ON=C([*:1])[*:2]","151 (#14)","36","79","36","0.01","15.52","15.01"
"[*:1]C(=O)C[*:2]","150 (#15)","17","116","17","0.41","0.00","14.03"
"CC(C)([*:1])[*:2]","148 (#16)","35","48","14","1.73","-17.07","14.07"
"[*:1]CC([*:2])=O","133 (#17)","21","91","21","0.41","0.00","14.03"
"CN([*:2])C([*:1])=O","90 (#18)","10","46","34","-0.26","3.24","29.04"
"[*:1]OC[*:2]","80 (#19)","25","41","14","-0.19","-7.84","2.01"
"[*:1]CO[*:2]","79 (#20)","17","47","15","0.14","-7.84","2.01"
"[*:1]N[*:2]","78 (#21)","26","34","18","-0.02","-5.04","-12.99"
"[O-][S+]([*:1])[*:2]","66 (#22)","9","26","31","-0.59","0.00","20.06"
"[*:1]OC([*:2])=O","61 (#23)","7","38","16","0.45","9.23","15.99"
"[*:1]c1ccc(cc1)C([*:2])=O","60 (#24)","21","20","19","1.64","0.00","76.09"
"[*:1]CC[*:2]","53 (#25)","18","27","8","1.85","-17.07","0.04"
"CON=C([*:1])[*:2]","44 (#26)","10","21","13","0.39","4.52","29.04"
"FC(F)([*:1])[*:2]","41 (#27)","8","22","11","0.89","-17.07","22.00"
"CN([*:1])C([*:2])=O","41 (#28)","4","20","17","-0.26","3.24","29.04"
"CC([*:1])([*:2])C(O)=O","41 (#29)","3","9","11","-1.55","20.23","44.05"
"NC([*:1])[*:2]","40 (#30)","19","11","10","-0.37","8.95","1.03"
"[*:1]CCC([*:2])=O","39 (#31)","17","20","2","0.37","0.00","28.06"
"[*:1]COC([*:2])=O","35 (#32)","6","19","10","0.80","9.23","30.02"
"CC([*:2])C([*:1])=O","34 (#33)","5","18","11","1.24","0.00","28.06"
"[*:1]S(=O)(=O)N[*:2]","32 (#34)","8","14","10","-1.38","29.10","51.07"
"[*:1]C([*:2])C#N","32 (#35)","1","28","3","0.42","6.72","11.03"
"OC([*:1])([*:2])C(F)(F)F","31 (#36)","11","19","1","0.44","3.16","70.02"
"[*:1]CCC[*:2]","30 (#37)","7","13","10","2.29","-17.07","14.08"
"[*:1]C(=O)CC[*:2]","29 (#38)","9","17","3","1.14","0.00","28.05"
"FC(F)(F)c1ccc(OC([*:1])[*:2])cc1","27 (#39)","0","10","17","2.90","-7.84","146.11"
"CC([*:2])O[*:1]","26 (#40)","6","15","5","1.06","-7.84","16.04"
"[*:1]NS([*:2])(=O)=O","25 (#41)","4","11","10","-1.69","29.10","51.07"
"[*:1]C1([*:2])OCCO1","23 (#42)","12","8","3","0.61","1.39","44.05"
"[*:1]C1([*:2])CC1","22 (#43)","15","6","1","1.27","-17.07","12.05"
"[*:1]C=C[*:2]","22 (#44)","11","8","3","0.88","-17.07","-1.97"
