Query fragment: OC([*:1])=O
"Candidate Fragments","Frequency","# Better","# Similar","# Worse","Δ logP","Δ tPSA","Δ MW"
"COC([*:1])=O","2794 (#1)","872","1227","695","2.62","-11.00","14.03"
"NC([*:1])=O","1940 (#2)","689","913","338","-0.65","5.79","-0.99"
"CCOC([*:1])=O","1824 (#3)","512","743","569","3.15","-11.00","28.06"
"C[*:1]","1236 (#4)","528","487","221","0.72","-37.30","-29.98"
"O[*:1]","1176 (#5)","417","570","189","0.46","-17.07","-28.01"
"OC[*:1]","782 (#6)","289","347","146","-0.43","-17.07","-13.98"
"OC(=O)C[*:1]","680 (#7)","185","367","128","-0.02","0.00","14.02"
"ONC([*:1])=O","671 (#8)","475","122","74","-0.81","12.03","15.02"
"CO[*:1]","608 (#9)","262","246","100","-0.01","-28.07","-13.98"
"[*:1]C#N","574 (#10)","238","208","128","0.20","-13.51","-19.00"
"N[*:1]","543 (#11)","158","265","120","-0.97","-11.28","-29.00"
"[*:1]c1nnn[nH]1","521 (#12)","98","315","108","0.36","17.16","24.03"
"CNC([*:1])=O","514 (#13)","189","253","72","2.15","-8.20","13.04"
"[*:1]c1ccccc1","490 (#14)","211","199","80","3.83","-37.30","32.09"
"Cl[*:1]","488 (#15)","226","184","78","1.11","-37.30","-9.57"
"F[*:1]","448 (#16)","189","178","81","0.49","-37.30","-26.02"
"CN(C)C([*:1])=O","432 (#17)","144","206","82","2.37","-16.99","27.07"
"[O-][N+]([*:1])=O","340 (#18)","146","144","50","0.28","5.84","0.99"
"FC(F)(F)[*:1]","321 (#19)","149","112","60","3.70","-37.30","23.98"
"[*:1]c1nn[nH]n1","303 (#20)","105","143","55","0.16","17.16","24.03"
"Br[*:1]","288 (#21)","128","109","51","1.27","-37.30","34.89"
"OC(=O)CC[*:1]","271 (#22)","87","151","33","0.42","0.00","28.06"
"NS([*:1])(=O)=O","265 (#23)","89","135","41","1.03","22.86","35.07"
"CS(=O)(=O)NC([*:1])=O","234 (#24)","25","131","78","-1.32","25.94","77.11"
"CC([*:1])=O","231 (#25)","104","84","43","0.06","-20.23","-1.97"
"OCCNC([*:1])=O","229 (#26)","82","110","37","0.74","12.03","43.07"
"[*:1]C(=O)N1CCOCC1","227 (#27)","63","114","50","-0.58","-7.76","69.10"
"[*:1]C(=O)NCc1ccccc1","223 (#28)","115","85","23","2.34","-8.20","89.14"
"CS([*:1])(=O)=O","215 (#29)","84","96","35","-0.35","-3.16","34.08"
"CC(=O)N[*:1]","215 (#30)","70","94","51","-0.42","-8.20","13.04"
"CN(C)[*:1]","213 (#31)","78","74","61","-1.17","-34.06","-0.94"
"OP(O)([*:1])=O","209 (#32)","75","79","55","-0.58","20.23","35.97"
"[*:1]C(=O)OCc1ccccc1","203 (#33)","73","80","50","4.14","-11.00","90.12"
"NC[*:1]","201 (#34)","65","70","66","-0.76","-11.28","-14.96"
"CCCCNC([*:1])=O","181 (#35)","104","56","21","1.74","-8.20","55.13"
"OC(=O)CNC([*:1])=O","176 (#36)","46","95","35","-1.10","29.10","57.05"
"CC(C)(C)OC([*:1])=O","167 (#37)","49","75","43","1.20","-11.00","56.10"
"CC(C)[*:1]","159 (#38)","62","77","20","1.58","-37.30","-1.93"
"OS([*:1])(=O)=O","149 (#39)","9","111","29","-3.95","17.07","36.06"
"[*:1]N1CCOCC1","146 (#40)","46","60","40","2.50","-24.83","41.10"
"NNC([*:1])=O","143 (#41)","24","100","19","1.06","17.82","14.03"
"CC(C)OC([*:1])=O","142 (#42)","72","47","23","0.92","-11.00","42.08"
"CN1CCN(CC1)C([*:1])=O","135 (#43)","38","63","34","-0.51","-13.75","82.15"
"OCC[*:1]","133 (#44)","19","91","23","-0.14","-17.07","0.05"
"COCCNC([*:1])=O","132 (#45)","49","61","22","2.09","1.03","57.09"
"CS(=O)(=O)N[*:1]","130 (#46)","49","53","28","-1.29","8.87","49.09"
"OC(=O)CO[*:1]","130 (#47)","31","77","22","-0.34","9.23","30.03"
"CCNC([*:1])=O","129 (#48)","44","63","22","2.51","-8.20","27.07"
"[*:1]C(=O)N1CCCC1","123 (#49)","49","48","26","2.41","-16.99","53.11"
"[*:1]C=O","122 (#50)","48","45","29","0.06","-20.23","-16.00"
"[*:1]C(=O)Nc1ccccc1","111 (#51)","52","42","17","3.60","-8.20","75.11"
"NCC[*:1]","111 (#52)","14","55","42","-0.55","-11.28","-0.94"
"OC(=O)CC(NC([*:1])=O)C(O)=O","108 (#53)","20","76","12","-1.18","66.40","115.09"
"CC(=O)O[*:1]","107 (#54)","29","59","19","-0.05","-11.00","14.02"
"CN(C)CCNC([*:1])=O","106 (#55)","42","35","29","-0.56","-4.96","70.13"
"[*:1]C(=O)NS(=O)(=O)c1ccccc1","106 (#56)","34","44","28","0.79","25.94","139.18"
"Nc1nccc(N[*:1])n1","98 (#57)","54","38","6","0.30","26.53","64.10"
"[*:1]c1ccccn1","97 (#58)","54","35","8","1.06","-24.41","33.08"
"OCCCNC([*:1])=O","96 (#59)","45","37","14","-1.21","12.03","57.10"
"CCN(CC)C([*:1])=O","96 (#60)","35","47","14","2.83","-16.99","55.12"
"[*:1]C(=O)N1CCCCC1","96 (#61)","35","40","21","2.75","-16.99","67.14"
"CC[*:1]","95 (#62)","63","24","8","1.93","-37.30","-15.96"
"CC(O)[*:1]","93 (#63)","53","31","9","0.18","-17.07","0.05"
"CC(C)NC([*:1])=O","92 (#64)","35","40","17","2.92","-8.20","41.10"
"Nc1ccc(cc1)S(=O)(=O)NCC[*:1]","92 (#65)","35","48","9","0.35","34.89","154.24"
"OC(=O)CCCNC([*:1])=O","92 (#66)","26","52","14","-0.49","29.10","85.10"
"OCC(O)[*:1]","91 (#67)","50","35","6","0.94","3.16","16.05"
"CS[*:1]","91 (#68)","46","35","10","0.97","-37.30","2.08"
"CC(NC([*:1])=O)C(O)=O","91 (#69)","19","40","32","-0.54","29.10","71.08"
"CC(C)(O)[*:1]","90 (#70)","40","41","9","0.53","-17.07","14.07"
"Nc1ccc(cc1)S(=O)(=O)NC[*:1]","90 (#71)","33","48","9","0.06","34.89","140.21"
"CC(C)([*:1])C(O)=O","88 (#72)","21","48","19","1.33","0.00","42.08"
"[*:1]C(=O)NC1CCCCC1","87 (#73)","30","48","9","3.95","-8.20","81.16"
"OC(=O)C(Cc1ccccc1)NC([*:1])=O","86 (#74)","33","49","4","1.12","29.10","147.18"
"Clc1c[nH]c2c(NS([*:1])(=O)=O)cccc12","83 (#75)","54","28","1","1.53","24.66","184.65"
"FC(F)(F)O[*:1]","82 (#76)","46","18","18","1.77","-28.07","39.98"
"[*:1]C(=O)NN=Cc1ccccc1","78 (#77)","36","40","2","1.33","4.16","102.14"
"[*:1]c1cccnc1","77 (#78)","44","23","10","0.77","-24.41","33.08"
"COC[*:1]","72 (#79)","33","21","18","0.33","-28.07","0.04"
"I[*:1]","70 (#80)","33","21","16","1.22","-37.30","81.88"
"COC(=O)CCCNC([*:1])=O","70 (#81)","32","27","11","-0.43","18.10","99.13"
"[*:1]c1c[nH]cn1","70 (#82)","23","41","6","0.16","-8.62","22.05"
"Oc1ccc([*:1])cc1","70 (#83)","18","39","13","2.00","-17.07","48.09"
"[*:1]C1CC1","68 (#84)","36","20","12","1.12","-37.30","-3.94"
"CN1CCN([*:1])CC1","67 (#85)","25","30","12","0.70","-30.82","54.14"
"CCO[*:1]","65 (#86)","29","26","10","0.04","-28.07","0.04"
"Cc1ccc(cc1)-c1cc(nn1[*:1])C(F)(F)F","65 (#87)","20","31","14","3.77","-19.48","180.18"
"NS(=O)(=O)c1ccc(CCNC([*:1])=O)cc1","63 (#88)","37","26","0","0.31","51.96","182.24"
"Cc1onc(c1[*:1])-c1ccccc1","63 (#89)","6","45","12","2.58","-11.27","113.17"
"[*:1]C(=O)NC1CC1","62 (#90)","28","19","15","2.62","-8.20","39.08"
"[*:1]c1ccncc1","62 (#91)","25","30","7","0.77","-24.41","33.08"
"[*:1]N1CCCC1","61 (#92)","28","21","12","1.25","-34.06","25.09"
"[*:1]N1CCCCS1(=O)=O","60 (#93)","44","11","5","-0.51","0.08","89.17"
"NCCNC([*:1])=O","60 (#94)","26","28","6","-1.38","17.82","42.08"
"OC(=O)C=C[*:1]","59 (#95)","12","38","9","0.51","0.00","26.04"
"OC(=O)CCC(NC([*:1])=O)C(O)=O","58 (#96)","12","35","11","-0.88","66.40","129.12"
"CN(C)C[*:1]","57 (#97)","27","17","13","3.12","-34.06","13.09"
"CCCCOC([*:1])=O","57 (#98)","16","22","19","1.46","-11.00","56.11"
"Nc1ccc(cc1)S(=O)(=O)N[*:1]","55 (#99)","19","28","8","-0.07","34.89","126.18"
"[O-][N+](=O)c1ccc(C=NNC([*:1])=O)cc1","54 (#100)","20","34","0","1.28","47.30","147.13"
"CC(C)(C)[*:1]","53 (#101)","26","20","7","1.99","-37.30","12.10"
"[*:1]C(=O)NS(=O)(=O)c1cccs1","53 (#102)","21","27","5","0.74","25.94","145.20"
"CC([*:1])C(O)=O","53 (#103)","18","28","7","0.48","0.00","28.06"
"CC(C)C(NC([*:1])=O)C(O)=O","53 (#104)","5","25","23","0.35","29.10","99.14"
"CC(=O)OCCCNC([*:1])=O","50 (#105)","18","20","12","-0.77","18.10","99.13"
"OC(=O)CCC(=O)N[*:1]","50 (#106)","6","18","26","-0.60","29.10","71.07"
"[*:1]N1CCCCC1","49 (#107)","24","21","4","3.41","-34.06","39.12"
"OC(=O)C1CCCN1C([*:1])=O","49 (#108)","10","31","8","-0.27","20.31","97.12"
"COC(=O)C[*:1]","48 (#109)","18","16","14","0.13","-11.00","28.05"
"Fc1ccc([*:1])cc1","47 (#110)","25","19","3","2.13","-37.30","50.08"
"[*:1]C(=O)NCCc1ccccc1","47 (#111)","12","24","11","1.43","-8.20","103.17"
"OC(=O)CCNC([*:1])=O","47 (#112)","9","31","7","-0.83","29.10","71.08"
"[*:1]Oc1ccccc1","46 (#113)","21","16","9","1.84","-28.07","48.09"
"CCCNC([*:1])=O","44 (#114)","19","18","7","3.03","-8.20","41.10"
"[*:1]c1noc(=O)[nH]1","44 (#115)","5","26","13","0.03","21.59","40.02"
"NN[*:1]","44 (#116)","3","31","10","-0.27","0.75","-13.98"
"CN[*:1]","43 (#117)","22","16","5","-0.18","-25.27","-14.96"
"OC([*:1])C(F)(F)F","42 (#118)","26","12","4","0.86","-17.07","54.01"
"[*:1]C(=O)NCCN1CCOCC1","42 (#119)","21","11","10","1.38","4.27","112.17"
"ON=C[*:1]","42 (#120)","15","10","17","2.05","-4.71","-0.99"
"COC(=O)CNC([*:1])=O","42 (#121)","12","22","8","-0.96","18.10","71.08"
"CC(C)(C)OC(=O)N[*:1]","42 (#122)","9","19","14","3.53","1.03","71.12"
"OS(=O)(=O)CCNC([*:1])=O","42 (#123)","9","21","12","-2.65","46.17","107.13"
"CN(C)CCCNC([*:1])=O","42 (#124)","8","24","10","0.68","-4.96","84.17"
"CCN(CC)CCNC([*:1])=O","40 (#125)","21","16","3","0.15","-4.96","98.20"
"Fc1ccc(NC([*:1])=O)cc1","38 (#126)","26","8","4","1.57","-8.20","93.10"
"OC(=O)c1ccc([*:1])cc1","38 (#127)","21","6","11","1.99","0.00","76.10"
"CC(C)(C)NC([*:1])=O","37 (#128)","14","17","6","2.83","-8.20","55.13"
"[*:1]c1cnc[nH]1","37 (#129)","12","20","5","0.89","-8.62","22.05"
"Brc1ccc(C=NNC([*:1])=O)cc1","36 (#130)","16","14","6","2.10","4.16","181.04"
"Clc1ccc([*:1])cc1","36 (#131)","15","16","5","3.69","-37.30","66.54"
"CN(C)S([*:1])(=O)=O","36 (#132)","11","20","5","1.44","0.08","63.12"
"[*:1]n1cnnn1","36 (#133)","11","19","6","2.32","6.30","24.03"
"CC(C)COC([*:1])=O","36 (#134)","10","8","18","1.59","-11.00","56.11"
"OCC(NC([*:1])=O)C(O)=O","36 (#135)","4","29","3","-1.59","49.33","87.08"
"[*:1]n1ccnc1","35 (#136)","12","13","10","0.08","-19.48","22.05"
"[*:1]c1n[nH]c(=S)o1","35 (#137)","6","29","0","0.92","4.52","56.09"
"[*:1]c1n[nH]c(=S)n1-c1ccccc1","34 (#138)","23","11","0","2.43","-3.69","131.21"
"[*:1]C(=O)NNC(=S)Nc1ccccc1","34 (#139)","21","13","0","1.40","15.86","149.22"
"COc1ccc(C=NNC([*:1])=O)cc1","34 (#140)","20","14","0","1.17","13.39","132.17"
"[*:1]C1CCCCC1","34 (#141)","19","9","6","2.77","-37.30","38.14"
"CCCOC([*:1])=O","34 (#142)","18","10","6","3.74","-11.00","42.09"
"COc1ccc([*:1])cc1","34 (#143)","14","16","4","1.83","-28.07","62.12"
"Cc1cc(C)n(NC([*:1])=O)n1","34 (#144)","14","18","2","-0.43","9.62","93.14"
"[*:1]OCc1ccccc1","34 (#145)","13","10","11","2.17","-28.07","62.12"
"[*:1]c1c[nH]c2ccccc12","34 (#146)","12","20","2","3.72","-21.51","71.13"
"NS(=O)(=O)c1ccc(NC([*:1])=O)cc1","34 (#147)","10","19","5","2.12","51.96","154.19"
"CONC([*:1])=O","34 (#148)","6","15","13","0.77","1.03","29.04"
"CCN([*:1])CC","33 (#149)","16","11","6","1.16","-34.06","27.12"
"FC(F)(F)CNC([*:1])=O","33 (#150)","16","14","3","2.84","-8.20","81.04"
"[*:1]c1cccs1","33 (#151)","16","15","2","1.76","-37.30","38.12"
"[*:1]C1CCCO1","33 (#152)","14","15","4","0.95","-28.07","26.08"
"Cc1noc([*:1])n1","33 (#153)","11","17","5","2.78","1.62","38.06"
"Cc1cc(C)n(n1)C([*:1])=O","32 (#154)","14","18","0","0.16","-2.41","78.12"
"NC(=O)N[*:1]","32 (#155)","14","12","6","-0.75","17.82","14.03"
"[*:1]CN1CCOCC1","32 (#156)","9","13","10","0.20","-24.83","55.12"
"CNS([*:1])(=O)=O","31 (#157)","16","12","3","-0.83","8.87","49.10"
"OC(=O)CCC[*:1]","31 (#158)","14","14","3","0.87","0.00","42.08"
"Clc1ccc(C=NNC([*:1])=O)cc1","30 (#159)","13","17","0","1.93","4.16","136.59"
"CN(C)CCOC([*:1])=O","30 (#160)","12","16","2","0.17","-7.76","71.12"
"[*:1]n1cccn1","30 (#161)","10","12","8","1.02","-19.48","22.05"
"NS(=O)(=O)c1ccc(CNC([*:1])=O)cc1","30 (#162)","8","21","1","1.79","51.96","168.22"
"NC([*:1])C(O)=O","30 (#163)","6","10","14","-2.79","26.02","29.05"
"CCC[*:1]","29 (#164)","18","9","2","1.74","-37.30","-1.93"
"[*:1]c1ncc[nH]1","29 (#165)","13","10","6","1.95","-8.62","22.06"
"OCCOC([*:1])=O","29 (#166)","11","16","2","-0.34","9.23","44.06"
"CC(C)CNC([*:1])=O","29 (#167)","10","11","8","3.13","-8.20","55.12"
"FC(F)[*:1]","29 (#168)","9","10","10","3.72","-37.30","6.00"
"Cc1nnc([*:1])o1","29 (#169)","7","15","7","-0.63","1.62","38.05"
