name;smarts;id;queries;type
"Amide";"[#6,H][N,n]([#6,H])[CX3](=[OX1])[#6]";1;[*]C(=O)N([*])[*];functional-group
"Ether";"[$([#6][O][#6]);!$([#6][O][CX3]=[O]);!$([#6][OX2][CX4][OX2][#6])]";2;[*]O[*];functional-group
"Tertiarty Amine";"[$([ND3;!$(N[!#6]);!$(NC=O);!$(cnc)]),$([ND3+;H1;!$(N[!#6]);!$(NC=O);!$(cnc)])]";3;[*]N([*])[*];functional-group
"Fluoro";"[#6][F]";4;F[*];functional-group
"Secondary Amine";"[$([ND2;H1;!$(N[!#6]);!$(NC=O);!$(cnc)]),$([ND2+;H2;!$(N[!#6]);!$(NC=O);!$(cnc)])]";5;[*]N[*];functional-group
"Chloro";"[#6][Cl]";6;Cl[*];functional-group
"Aliphatic Hydroxyl";"[$([OH][C]);!$([CX3](=O)[OX1H0-,OX2H1])]";7;O[*];functional-group
"Aromatic Carbonyl";"[$([c]=[O]);!$([#7][c]=[O])]";8;[*]C([*])=O;functional-group
"Carboxlylic Acid";"[#6][CX3](=O)[OX1H0-,OX2H1]";9;OC([*])=O;functional-group
"Aromatic Alcohol";"[OX2H][c]";None;None;functional-group
"Sulfonamide";"[SX4](=[OX1])(=[OX1])([#6])[NX3]";10;[*]N([*])S([*])(=O)=O;functional-group
"Primary Aromatic Amine";"[c][NH2]";11;N[*];functional-group
"Primary Aliphatic Amine";"[$([ND1;H2;!$(N[!#6]);!$(NC=O);!$(nc)]),$([ND1+;H3;!$(N[!#6]);!$(NC=O);!$(nc)])]";None;None;functional-group
"Urea";"[#6,H][NX3]([#6,H])[C](=O)[NX3]([#6,H])[#6,H]";12;[*]N([*])C(=O)N[*];functional-group
"Ester";"[#6][CX3](=O)[OX2H0][#6]";13;[*]C(=O)O[*];functional-group
"Nitrile";"[NX1]#[CX2]";14;[*]C#N;functional-group
"Aliphatic Carbonyl";"[C][CX3](=[OX1])[C]";None;None;functional-group
"Alkene";"[CX3]=[CX3]";15;[*]C=C[*];functional-group
"Thioether";"[#6][SX2][#6]";16;[*]S[*];functional-group
"Carbamate";[NX3,NX4+][CX3](=[OX1])[OX2,OX1-];17;[*]OC(=O)N([*])[*];functional-group
"Bromo";[#6][Br];18;Br[*];functional-group
"Carbo-Sulfoxide";[SX4](=[OX1])(=[OX1])([#6])[#6];19;[*]S([*])(=O)=O;functional-group
"Guanidine";[#6][NX3][C](=[NH1X3+,NX2+0])[NX3];20;[*]NC(N[*])=N[*];functional-group
"Nitro";[$([NX3](=O)=O),$([NX3+](=O)[O-])][#6];21;[O-][N+]([*])=O;functional-group
"Alkyne";[CX2]#[CX2];22;[*]C#C[*];functional-group
"Hydroxylamide";[OX2H][NX3]([#6])[CX3](=[OX1])[#6];23;ON([*])C([*])=O;functional-group
"Acetal";[#6][OX2][CX4][OX2][#6];24;[*]OCO[*];functional-group
"Amidine";[#6][NX3]([#6])[CX3]([#6])=[NX2][#6];25;[*]N([*])C=N[*];functional-group
"Acryl Amide";[#6][NX3]([#6])[CX3](=[OX1])([CX3]=[CX3]);26;[*]NC(=O)C=C[*];functional-group
"Iodo";[#6][I];27;I[*];functional-group
"Disulfide";[#6][SX2][SX2][#6];28;[*]SS[*];functional-group
"Thiol";[#6][SX2H];29;S[*];functional-group
"Enone";[CX3](=[OX1])([#6])([CX3]=[CX3]);30;[*]C([*])=CC([*])=O;functional-group
"Sulfonylamide";[SX4](=[OX1])(=[OX1])([#6])[NX3]([#6])[CX3](=[OX1])[#6];None;None;functional-group
"Phosphate";P(=[OX1])([#6])([$([OX2H]),$([OX1-])])[$([OX2H]),$([OX1-])];31;OP(O)(=O)O[*];functional-group
"Imine";[#6,H][C]([#6])=[$([NX2][#6]),$([NX2H])];32;[*]C([*])=N[*];functional-group
"Oxoamide";[#6][NX3]([#6,H])[CX3](=[OX1])[CX3](=[OX1])[#6];33;[*]N([*])C(=O)C(=O)N[*];functional-group
"Acrylate";[#6][OX2][CX3](=[OX1])([CX3]=[CX3]);34;[*]OC(=O)C([*])=C[*];functional-group
"Imide";[#6][CX3](=[OX1])[NX3]([#6,H])[CX3](=[OX1])[#6];35;[*]C(=O)N([*])C([*])=O;functional-group
"Oxime";[OX2H][NX3]=[C];36;ON=C([*])[*];functional-group
"Azide";[$([#6]-[NX2-]-[NX2+]#[NX1]),$([#6]-[NX2]=[NX2+]=[NX1-])];37;[*]N=[N+]=[N-];functional-group
"Azo";[#6][N]=[N][#6];38;[*]N=N[*];functional-group
"Thioketone";[#6][CX3]([#6])=S;39;[*]C([*])=S;functional-group
"Thioester";[#6][CX3]([SX])=O;40;[*]C(=O)S[*];functional-group
"Trifluoro";[#6](F)(F)F;41;FC(F)(F)[*];functional-group
